ailuropoda_melanoleuca ENSAMEG00000016346
ursus_americanus ENSUAMG00000021373
mustela_putorius_furo ENSMPUG00000010666
neovison_vison ENSNVIG00000000108
canis_lupus_dingo ENSCAFG00020010595
canis_lupus_familiaris ENSCAFG00000015973
vulpes_vulpes ENSVVUG00000027609
panthera_pardus ENSPPRG00000001405
panthera_tigris_altaica ENSPTIG00000001119
felis_catus ENSFCAG00000001354
capra_hircus ENSCHIG00000019140
ovis_aries ENSOARG00000009838
bos_mutus ENSBMUG00000004593
bos_taurus ENSBTAG00000020852
bison_bison_bison ENSBBBG00000014363
tursiops_truncatus ENSTTRG00000003986
sus_scrofa ENSSSCG00000017925
erinaceus_europaeus ENSEEUG00000001700
equus_caballus ENSECAG00000023791
equus_asinus_asinus ENSEASG00005017919
pteropus_vampyrus ENSPVAG00000015203
choloepus_hoffmanni ENSCHOG00000002007
dasypus_novemcinctus ENSDNOG00000036613
loxodonta_africana ENSLAFG00000001191
echinops_telfairi ENSETEG00000015447
procavia_capensis ENSPCAG00000013643
myotis_lucifugus ENSMLUG00000010921
notamacropus_eugenii ENSMEUG00000000306
phascolarctos_cinereus ENSPCIG00000009637
monodelphis_domestica ENSMODG00000027461
sarcophilus_harrisii ENSSHAG00000001029
piliocolobus_tephrosceles ENSPTEG00000017416
colobus_angolensis_palliatus ENSCANG00000036063
rhinopithecus_bieti ENSRBIG00000040249
rhinopithecus_roxellana ENSRROG00000041729
cercocebus_atys ENSCATG00000028441
mandrillus_leucophaeus ENSMLEG00000040831
papio_anubis ENSPANG00000024203
theropithecus_gelada ENSTGEG00000022245
chlorocebus_sabaeus ENSCSAG00000012139
macaca_fascicularis ENSMFAG00000045121
macaca_mulatta ENSMMUG00000021176
macaca_nemestrina ENSMNEG00000044695
pan_troglodytes ENSPTRG00000008658
pan_paniscus ENSPPAG00000041737
homo_sapiens ENSG00000174326
gorilla_gorilla ENSGGOG00000001277
pongo_abelii ENSPPYG00000007893
nomascus_leucogenys ENSNLEG00000009349
cebus_capucinus ENSCCAG00000033233
saimiri_boliviensis_boliviensis ENSSBOG00000028639
callithrix_jacchus ENSCJAG00000016855
aotus_nancymaae ENSANAG00000023371
carlito_syrichta ENSTSYG00000002416
prolemur_simus ENSPSMG00000020683
microcebus_murinus ENSMICG00000005931
propithecus_coquereli ENSPCOG00000018552
otolemur_garnettii ENSOGAG00000004373
castor_canadensis ENSCCNG00000007956
dipodomys_ordii ENSDORG00000005540
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017456
mus_spicilegus ENSMSIG00000019917
mus_musculus ENSMUSG00000040938
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016620
mus_pahari MGP_PahariEiJ_G0017751
rattus_norvegicus ENSRNOG00000018748
meriones_unguiculatus ENSMUGG00000022942
cricetulus_griseus_crigri-picr ENSCGRG00015006804
cricetulus_griseus_chok1gshd ENSCGRG00001002856
mesocricetus_auratus ENSMAUG00000020604
microtus_ochrogaster ENSMOCG00000019282
peromyscus_maniculatus_bairdii ENSPEMG00000008237
nannospalax_galili ENSNGAG00000024329
jaculus_jaculus ENSJJAG00000016016
heterocephalus_glaber_female ENSHGLG00000012038
heterocephalus_glaber_male ENSHGLG00100012827
fukomys_damarensis ENSFDAG00000011638
chinchilla_lanigera ENSCLAG00000010002
octodon_degus ENSODEG00000017518
cavia_porcellus ENSCPOG00000005851
urocitellus_parryii ENSUPAG00010018435
ictidomys_tridecemlineatus ENSSTOG00000024724
spermophilus_dauricus ENSSDAG00000012251
marmota_marmota_marmota ENSMMMG00000018851
oryctolagus_cuniculus ENSOCUG00000007017
ochotona_princeps ENSOPRG00000001866
tupaia_belangeri ENSTBEG00000006255
sphenodon_punctatus ENSSPUG00000017904
