anabas_testudineus ENSATEG00000001120
cynoglossus_semilaevis ENSCSEG00000004460
seriola_dumerili ENSSDUG00000006030
seriola_lalandi_dorsalis ENSSLDG00000003188
scophthalmus_maximus ENSSMAG00000006327
tetraodon_nigroviridis ENSTNIG00000013003
takifugu_rubripes ENSTRUG00000015344
mola_mola ENSMMOG00000012715
gasterosteus_aculeatus ENSGACG00000019255
labrus_bergylta ENSLBEG00000028502
xiphophorus_maculatus ENSXMAG00000028038
xiphophorus_maculatus ENSXMAG00000021377
gambusia_affinis ENSGAFG00000003942
poecilia_formosa ENSPFOG00000012848
poecilia_mexicana ENSPMEG00000016534
poecilia_latipinna ENSPLAG00000002642
poecilia_reticulata ENSPREG00000010715
fundulus_heteroclitus ENSFHEG00000017104
cyprinodon_variegatus ENSCVAG00000007390
kryptolebias_marmoratus ENSKMAG00000019540
amphiprion_ocellaris ENSAOCG00000022226
amphiprion_percula ENSAPEG00000006590
acanthochromis_polyacanthus ENSAPOG00000005792
stegastes_partitus ENSSPAG00000013592
astatotilapia_calliptera ENSACLG00000009663
pundamilia_nyererei ENSPNYG00000021486
maylandia_zebra ENSMZEG00005021244
haplochromis_burtoni ENSHBUG00000019833
neolamprologus_brichardi ENSNBRG00000023973
amphilophus_citrinellus ENSACIG00000019809
mastacembelus_armatus ENSMAMG00000000430
periophthalmus_magnuspinnatus ENSPMGG00000008247
gadus_morhua ENSGMOG00000013530
esox_lucius ENSELUG00000019315
astyanax_mexicanus ENSAMXG00000011248
pygocentrus_nattereri ENSPNAG00000020031
ictalurus_punctatus ENSIPUG00000003442
danio_rerio ENSDARG00000036426
paramormyrops_kingsleyae ENSPKIG00000006828
lepisosteus_oculatus ENSLOCG00000013999
