theropithecus_gelada ENSTGEG00000000999
piliocolobus_tephrosceles ENSPTEG00000019231
prolemur_simus ENSPSMG00000008935
marmota_marmota_marmota ENSMMMG00000008015
urocitellus_parryii ENSUPAG00010001818
bos_mutus ENSBMUG00000003710
bison_bison_bison ENSBBBG00000017478
canis_lupus_dingo ENSCAFG00020021158
salvator_merianae ENSSMRG00000000021
pogona_vitticeps ENSPVIG00000020404
crocodylus_porosus ENSCPRG00005008318
chelonoidis_abingdonii ENSCABG00000004841
calidris_pygmaea ENSCPGG00000002636
calidris_pugnax ENSCPUG00000015783
anser_brachyrhynchus ENSABRG00000005085
anas_platyrhynchos_platyrhynchos ENSAPLG00000018793
coturnix_japonica ENSCJPG00005018063
numida_meleagris ENSNMEG00000014029
parus_major ENSPMJG00000005779
lonchura_striata_domestica ENSLSDG00000006510
apteryx_haastii ENSAHAG00000006864
apteryx_owenii ENSAOWG00000015541
apteryx_rowi ENSARWG00000000282
dromaius_novaehollandiae ENSDNVG00000009142
equus_asinus_asinus ENSEASG00005018675
equus_caballus ENSECAG00000036457
chrysemys_picta_bellii ENSCPBG00000018313
