labrus_bergylta ENSLBEG00000004903
gasterosteus_aculeatus ENSGACG00000018144
mola_mola ENSMMOG00000004203
mola_mola ENSMMOG00000005988
seriola_lalandi_dorsalis ENSSLDG00000014353
seriola_dumerili ENSSDUG00000005127
scophthalmus_maximus ENSSMAG00000004281
anabas_testudineus ENSATEG00000006357
mastacembelus_armatus ENSMAMG00000008387
monopterus_albus ENSMALG00000004247
hippocampus_comes ENSHCOG00000003110
fundulus_heteroclitus ENSFHEG00000012789
cyprinodon_variegatus ENSCVAG00000019302
poecilia_formosa ENSPFOG00000009050
poecilia_mexicana ENSPMEG00000024369
poecilia_latipinna ENSPLAG00000005330
poecilia_reticulata ENSPREG00000004355
xiphophorus_maculatus ENSXMAG00000009007
xiphophorus_couchianus ENSXCOG00000004207
gambusia_affinis ENSGAFG00000007953
kryptolebias_marmoratus ENSKMAG00000005625
oryzias_latipes_asm223469v1 ENSORLG00015002040
oryzias_latipes ENSORLG00000005505
oryzias_latipes ENSORLG00020011665
oryzias_melastigma ENSOMEG00000006235
maylandia_zebra ENSMZEG00005012180
pundamilia_nyererei ENSPNYG00000000289
pundamilia_nyererei ENSPNYG00000024087
haplochromis_burtoni ENSHBUG00000002296
astatotilapia_calliptera ENSACLG00000007273
pundamilia_nyererei ENSPNYG00000004141
oreochromis_niloticus ENSONIG00000012957
amphilophus_citrinellus ENSACIG00000005652
amphiprion_percula ENSAPEG00000018095
acanthochromis_polyacanthus ENSAPOG00000011660
stegastes_partitus ENSSPAG00000014100
takifugu_rubripes ENSTRUG00000001335
tetraodon_nigroviridis ENSTNIG00000009677
cynoglossus_semilaevis ENSCSEG00000015522
periophthalmus_magnuspinnatus ENSPMGG00000015695
gadus_morhua ENSGMOG00000016207
esox_lucius ENSELUG00000022607
pygocentrus_nattereri ENSPNAG00000006885
astyanax_mexicanus ENSAMXG00000002404
ictalurus_punctatus ENSIPUG00000017949
danio_rerio ENSDARG00000038870
paramormyrops_kingsleyae ENSPKIG00000009367
scleropages_formosus ENSSFOG00015015923
lepisosteus_oculatus ENSLOCG00000009410
anolis_carolinensis ENSACAG00000003144
pogona_vitticeps ENSPVIG00000013165
