ailuropoda_melanoleuca ENSAMEG00000004448
ursus_americanus ENSUAMG00000002750
neovison_vison ENSNVIG00000009706
vulpes_vulpes ENSVVUG00000014145
canis_lupus_dingo ENSCAFG00020006486
canis_lupus_familiaris ENSCAFG00000004631
panthera_pardus ENSPPRG00000014444
panthera_tigris_altaica ENSPTIG00000016687
felis_catus ENSFCAG00000000094
equus_caballus ENSECAG00000013614
ovis_aries ENSOARG00000014155
capra_hircus ENSCHIG00000015286
bos_taurus ENSBTAG00000001812
tursiops_truncatus ENSTTRG00000011276
sus_scrofa ENSSSCG00000011591
vicugna_pacos ENSVPAG00000006672
pteropus_vampyrus ENSPVAG00000007110
myotis_lucifugus ENSMLUG00000025226
castor_canadensis ENSCCNG00000005410
dipodomys_ordii ENSDORG00000026967
peromyscus_maniculatus_bairdii ENSPEMG00000011381
microtus_ochrogaster ENSMOCG00000005594
cricetulus_griseus_crigri ENSCGRG00000003309
cricetulus_griseus_chok1gshd ENSCGRG00001024504
cricetulus_griseus_crigri-picr ENSCGRG00015004838
mesocricetus_auratus ENSMAUG00000011359
mus_spicilegus ENSMSIG00000001367
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029791
mus_musculus ENSMUSG00000042279
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028763
mus_pahari MGP_PahariEiJ_G0022514
rattus_norvegicus ENSRNOG00000025251
meriones_unguiculatus ENSMUGG00000021500
nannospalax_galili ENSNGAG00000023630
jaculus_jaculus ENSJJAG00000014828
marmota_marmota_marmota ENSMMMG00000011299
urocitellus_parryii ENSUPAG00010023069
heterocephalus_glaber_female ENSHGLG00000006737
heterocephalus_glaber_male ENSHGLG00100005046
fukomys_damarensis ENSFDAG00000019354
cavia_porcellus ENSCPOG00000023300
cavia_porcellus ENSCPOG00000039830
cavia_porcellus ENSCPOG00000026323
cavia_aperea ENSCAPG00000004048
cavia_aperea ENSCAPG00000008823
cavia_porcellus ENSCPOG00000038748
cavia_aperea ENSCAPG00000010350
cavia_aperea ENSCAPG00000011210
oryctolagus_cuniculus ENSOCUG00000029379
ochotona_princeps ENSOPRG00000010371
homo_sapiens ENSG00000178804
gorilla_gorilla ENSGGOG00000000735
pan_paniscus ENSPPAG00000026022
pan_troglodytes ENSPTRG00000015380
pongo_abelii ENSPPYG00000013414
nomascus_leucogenys ENSNLEG00000005285
papio_anubis ENSPANG00000017383
mandrillus_leucophaeus ENSMLEG00000039762
cercocebus_atys ENSCATG00000040635
theropithecus_gelada ENSTGEG00000013294
macaca_fascicularis ENSMFAG00000017755
macaca_mulatta ENSMMUG00000012736
macaca_nemestrina ENSMNEG00000045142
chlorocebus_sabaeus ENSCSAG00000009112
rhinopithecus_roxellana ENSRROG00000037123
rhinopithecus_bieti ENSRBIG00000033982
colobus_angolensis_palliatus ENSCANG00000029238
piliocolobus_tephrosceles ENSPTEG00000012830
saimiri_boliviensis_boliviensis ENSSBOG00000020996
cebus_capucinus ENSCCAG00000028548
callithrix_jacchus ENSCJAG00000017209
aotus_nancymaae ENSANAG00000027239
aotus_nancymaae ENSANAG00000026706
chlorocebus_sabaeus ENSCSAG00000011601
carlito_syrichta ENSTSYG00000012036
propithecus_coquereli ENSPCOG00000024479
prolemur_simus ENSPSMG00000002466
microcebus_murinus ENSMICG00000030377
echinops_telfairi ENSETEG00000002743
echinops_telfairi ENSETEG00000005271
procavia_capensis ENSPCAG00000013200
monodelphis_domestica ENSMODG00000028422
ornithorhynchus_anatinus ENSOANG00000003777
serinus_canaria ENSSCAG00000016208
lonchura_striata_domestica ENSLSDG00000016467
junco_hyemalis ENSJHYG00000018350
zonotrichia_albicollis ENSZALG00000003316
parus_major ENSPMJG00000006034
ficedula_albicollis ENSFALG00000013675
calidris_pygmaea ENSCPGG00000003114
gallus_gallus ENSGALG00000054270
numida_meleagris ENSNMEG00000009613
coturnix_japonica ENSCJPG00005020822
anser_brachyrhynchus ENSABRG00000005508
anas_platyrhynchos_platyrhynchos ENSAPLG00000005857
apteryx_haastii ENSAHAG00000007020
apteryx_owenii ENSAOWG00000018174
apteryx_rowi ENSARWG00000014584
dromaius_novaehollandiae ENSDNVG00000004008
nothoprocta_perdicaria ENSNPEG00000006362
crocodylus_porosus ENSCPRG00005012577
chelonoidis_abingdonii ENSCABG00000004148
gopherus_agassizii ENSGAGG00000017601
chrysemys_picta_bellii ENSCPBG00000014657
notechis_scutatus ENSNSUG00000009095
pogona_vitticeps ENSPVIG00000014081
xenopus_tropicalis ENSXETG00000001466
latimeria_chalumnae ENSLACG00000012953
scleropages_formosus ENSSFOG00015006242
paramormyrops_kingsleyae ENSPKIG00000004269
mola_mola ENSMMOG00000021727
gasterosteus_aculeatus ENSGACG00000001643
seriola_lalandi_dorsalis ENSSLDG00000023536
seriola_lalandi_dorsalis ENSSLDG00000008824
seriola_dumerili ENSSDUG00000013487
poecilia_mexicana ENSPMEG00000017668
poecilia_latipinna ENSPLAG00000016907
poecilia_formosa ENSPFOG00000018991
poecilia_reticulata ENSPREG00000005806
gambusia_affinis ENSGAFG00000021554
xiphophorus_couchianus ENSXCOG00000004718
xiphophorus_maculatus ENSXMAG00000016940
takifugu_rubripes ENSTRUG00000002714
takifugu_rubripes ENSTRUG00000012532
cynoglossus_semilaevis ENSCSEG00000001837
oryzias_latipes ENSORLG00000024434
oryzias_latipes ENSORLG00020002158
oryzias_latipes_asm223469v1 ENSORLG00015020158
oryzias_melastigma ENSOMEG00000004940
monopterus_albus ENSMALG00000005789
mastacembelus_armatus ENSMAMG00000023825
anabas_testudineus ENSATEG00000008187
amphiprion_percula ENSAPEG00000019032
amphiprion_ocellaris ENSAOCG00000015530
stegastes_partitus ENSSPAG00000012059
labrus_bergylta ENSLBEG00000001385
periophthalmus_magnuspinnatus ENSPMGG00000002799
gadus_morhua ENSGMOG00000017664
esox_lucius ENSELUG00000008189
danio_rerio ENSDARG00000102892
