equus_asinus_asinus ENSEASG00005009115
equus_caballus ENSECAG00000040125
bos_mutus ENSBMUG00000000825
bos_taurus ENSBTAG00000049612
bison_bison_bison ENSBBBG00000023825
pan_troglodytes ENSPTRG00000051659
pan_paniscus ENSPPAG00000022100
homo_sapiens ENSG00000146049
pongo_abelii ENSPPYG00000016277
nomascus_leucogenys ENSNLEG00000031303
chlorocebus_sabaeus ENSCSAG00000019103
theropithecus_gelada ENSTGEG00000019608
piliocolobus_tephrosceles ENSPTEG00000006658
aotus_nancymaae ENSANAG00000037263
prolemur_simus ENSPSMG00000010154
loxodonta_africana ENSLAFG00000008302
