notechis_scutatus ENSNSUG00000006925
pogona_vitticeps ENSPVIG00000013923
anolis_carolinensis ENSACAG00000012032
salvator_merianae ENSSMRG00000021669
sphenodon_punctatus ENSSPUG00000011942
meleagris_gallopavo ENSMGAG00000010045
coturnix_japonica ENSCJPG00005019751
lonchura_striata_domestica ENSLSDG00000005358
taeniopygia_guttata ENSTGUG00000009911
parus_major ENSPMJG00000004479
lepidothrix_coronata ENSLCOG00000016489
manacus_vitellinus ENSMVIG00005018604
gallus_gallus ENSGALG00000007666
numida_meleagris ENSNMEG00000013580
junco_hyemalis ENSJHYG00000001612
zonotrichia_albicollis ENSZALG00000006772
cyanistes_caeruleus ENSCCEG00000022356
ficedula_albicollis ENSFALG00000008575
serinus_canaria ENSSCAG00000016561
dromaius_novaehollandiae ENSDNVG00000014801
calidris_pygmaea ENSCPGG00000005634
calidris_pugnax ENSCPUG00000010660
melopsittacus_undulatus ENSMUNG00000010898
cyanistes_caeruleus ENSCCEG00000022354
anser_brachyrhynchus ENSABRG00000007767
apteryx_owenii ENSAOWG00000005211
apteryx_haastii ENSAHAG00000006935
apteryx_rowi ENSARWG00000000823
nothoprocta_perdicaria ENSNPEG00000010202
anas_platyrhynchos_platyrhynchos ENSAPLG00000019510
crocodylus_porosus ENSCPRG00005013176
chelonoidis_abingdonii ENSCABG00000002327
gopherus_agassizii ENSGAGG00000017858
chrysemys_picta_bellii ENSCPBG00000003838
pelodiscus_sinensis ENSPSIG00000009761
heterocephalus_glaber_female ENSHGLG00000019185
heterocephalus_glaber_male ENSHGLG00100017930
fukomys_damarensis ENSFDAG00000012408
octodon_degus ENSODEG00000007199
chinchilla_lanigera ENSCLAG00000000954
cavia_porcellus ENSCPOG00000011918
cavia_aperea ENSCAPG00000015185
spermophilus_dauricus ENSSDAG00000022451
marmota_marmota_marmota ENSMMMG00000023225
ictidomys_tridecemlineatus ENSSTOG00000021030
urocitellus_parryii ENSUPAG00010009866
cricetulus_griseus_crigri-picr ENSCGRG00015022345
cricetulus_griseus_chok1gshd ENSCGRG00001019478
cricetulus_griseus_crigri ENSCGRG00000005246
peromyscus_maniculatus_bairdii ENSPEMG00000015045
mus_musculus ENSMUSG00000025221
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023943
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023022
mus_pahari MGP_PahariEiJ_G0014512
rattus_norvegicus ENSRNOG00000050450
rattus_norvegicus ENSRNOG00000018018
meriones_unguiculatus ENSMUGG00000014671
nannospalax_galili ENSNGAG00000024132
jaculus_jaculus ENSJJAG00000019358
dipodomys_ordii ENSDORG00000003495
oryctolagus_cuniculus ENSOCUG00000026348
cebus_capucinus ENSCCAG00000020733
callithrix_jacchus ENSCJAG00000017676
aotus_nancymaae ENSANAG00000020362
saimiri_boliviensis_boliviensis ENSSBOG00000029268
gorilla_gorilla ENSGGOG00000006534
homo_sapiens ENSG00000120049
pan_paniscus ENSPPAG00000029455
pan_troglodytes ENSPTRG00000002878
pongo_abelii ENSPPYG00000002591
nomascus_leucogenys ENSNLEG00000014924
colobus_angolensis_palliatus ENSCANG00000008816
piliocolobus_tephrosceles ENSPTEG00000026301
rhinopithecus_roxellana ENSRROG00000029744
rhinopithecus_bieti ENSRBIG00000036933
macaca_nemestrina ENSMNEG00000033420
macaca_mulatta ENSMMUG00000015776
macaca_fascicularis ENSMFAG00000046056
theropithecus_gelada ENSTGEG00000020007
cercocebus_atys ENSCATG00000037631
mandrillus_leucophaeus ENSMLEG00000040604
papio_anubis ENSPANG00000021049
chlorocebus_sabaeus ENSCSAG00000005501
prolemur_simus ENSPSMG00000022640
microcebus_murinus ENSMICG00000011754
propithecus_coquereli ENSPCOG00000024556
otolemur_garnettii ENSOGAG00000010006
equus_caballus ENSECAG00000010104
equus_asinus_asinus ENSEASG00005007921
sorex_araneus ENSSARG00000010182
ailuropoda_melanoleuca ENSAMEG00000017648
ursus_maritimus ENSUMAG00000023021
vulpes_vulpes ENSVVUG00000001064
canis_lupus_familiaris ENSCAFG00000009952
neovison_vison ENSNVIG00000018034
mustela_putorius_furo ENSMPUG00000016892
panthera_pardus ENSPPRG00000008687
panthera_tigris_altaica ENSPTIG00000009209
felis_catus ENSFCAG00000013243
erinaceus_europaeus ENSEEUG00000002682
capra_hircus ENSCHIG00000023969
ovis_aries ENSOARG00000017061
bos_mutus ENSBMUG00000002276
bison_bison_bison ENSBBBG00000022027
tursiops_truncatus ENSTTRG00000014952
sus_scrofa ENSSSCG00000010570
pteropus_vampyrus ENSPVAG00000004042
dasypus_novemcinctus ENSDNOG00000018883
procavia_capensis ENSPCAG00000011723
echinops_telfairi ENSETEG00000013641
echinops_telfairi ENSETEG00000006315
loxodonta_africana ENSLAFG00000016066
myotis_lucifugus ENSMLUG00000004987
bos_taurus ENSBTAG00000016343
canis_lupus_dingo ENSCAFG00020009192
tupaia_belangeri ENSTBEG00000000148
castor_canadensis ENSCCNG00000016443
mesocricetus_auratus ENSMAUG00000019652
microtus_ochrogaster ENSMOCG00000022254
mus_spicilegus ENSMSIG00000011884
monodelphis_domestica ENSMODG00000011638
carlito_syrichta ENSTSYG00000028510
notamacropus_eugenii ENSMEUG00000003506
phascolarctos_cinereus ENSPCIG00000029025
ornithorhynchus_anatinus ENSOANG00000005214
xenopus_tropicalis ENSXETG00000014462
latimeria_chalumnae ENSLACG00000011175
xiphophorus_couchianus ENSXCOG00000012145
xiphophorus_maculatus ENSXMAG00000013446
poecilia_latipinna ENSPLAG00000006537
poecilia_formosa ENSPFOG00000014204
poecilia_reticulata ENSPREG00000020551
poecilia_mexicana ENSPMEG00000016363
gambusia_affinis ENSGAFG00000009216
cyprinodon_variegatus ENSCVAG00000000097
fundulus_heteroclitus ENSFHEG00000003779
kryptolebias_marmoratus ENSKMAG00000020980
oryzias_latipes ENSORLG00020002676
oryzias_latipes_asm223469v1 ENSORLG00015007249
oryzias_latipes ENSORLG00000008321
oryzias_melastigma ENSOMEG00000002878
takifugu_rubripes ENSTRUG00000025958
tetraodon_nigroviridis ENSTNIG00000016515
neolamprologus_brichardi ENSNBRG00000009383
oreochromis_niloticus ENSONIG00000009494
maylandia_zebra ENSMZEG00005002882
astatotilapia_calliptera ENSACLG00000008053
haplochromis_burtoni ENSHBUG00000001271
pundamilia_nyererei ENSPNYG00000009028
mastacembelus_armatus ENSMAMG00000002419
monopterus_albus ENSMALG00000016980
anabas_testudineus ENSATEG00000000183
amphilophus_citrinellus ENSACIG00000022478
seriola_lalandi_dorsalis ENSSLDG00000002465
seriola_dumerili ENSSDUG00000022763
scophthalmus_maximus ENSSMAG00000003627
labrus_bergylta ENSLBEG00000016123
mola_mola ENSMMOG00000010633
cynoglossus_semilaevis ENSCSEG00000008183
amphiprion_percula ENSAPEG00000015223
amphiprion_ocellaris ENSAOCG00000019242
acanthochromis_polyacanthus ENSAPOG00000020916
stegastes_partitus ENSSPAG00000002912
hippocampus_comes ENSHCOG00000019056
periophthalmus_magnuspinnatus ENSPMGG00000020404
gadus_morhua ENSGMOG00000018120
esox_lucius ENSELUG00000011605
gasterosteus_aculeatus ENSGACG00000007366
danio_rerio ENSDARG00000113766
oryzias_latipes_asm223469v1 ENSORLG00015002765
oryzias_latipes ENSORLG00020004262
oryzias_latipes ENSORLG00000012486
oryzias_melastigma ENSOMEG00000011905
kryptolebias_marmoratus ENSKMAG00000019986
astatotilapia_calliptera ENSACLG00000019119
maylandia_zebra ENSMZEG00005008364
haplochromis_burtoni ENSHBUG00000019621
oreochromis_niloticus ENSONIG00000018800
pundamilia_nyererei ENSPNYG00000002869
neolamprologus_brichardi ENSNBRG00000000096
amphilophus_citrinellus ENSACIG00000008119
seriola_lalandi_dorsalis ENSSLDG00000011824
scophthalmus_maximus ENSSMAG00000006111
anabas_testudineus ENSATEG00000020347
monopterus_albus ENSMALG00000004766
mastacembelus_armatus ENSMAMG00000011011
seriola_dumerili ENSSDUG00000001121
xiphophorus_couchianus ENSXCOG00000014362
xiphophorus_maculatus ENSXMAG00000000215
poecilia_latipinna ENSPLAG00000010575
poecilia_formosa ENSPFOG00000003270
poecilia_mexicana ENSPMEG00000014727
