macaca_fascicularis ENSMFAG00000044276
macaca_mulatta ENSMMUG00000059089
macaca_nemestrina ENSMNEG00000036142
papio_anubis ENSPANG00000035210
mandrillus_leucophaeus ENSMLEG00000029877
cercocebus_atys ENSCATG00000037548
theropithecus_gelada ENSTGEG00000001185
rhinopithecus_bieti ENSRBIG00000043165
rhinopithecus_roxellana ENSRROG00000043973
colobus_angolensis ENSCANG00000041331
piliocolobus_tephrosceles ENSPTEG00000025065
pan_troglodytes ENSPTRG00000052823
pan_paniscus ENSPPAG00000000962
homo_sapiens ENSG00000241224
gorilla_gorilla ENSGGOG00000040144
nomascus_leucogenys ENSNLEG00000030932
cebus_capucinus ENSCCAG00000019508
callithrix_jacchus ENSCJAG00000038975
saimiri_boliviensis ENSSBOG00000026097
aotus_nancymaae ENSANAG00000024971
carlito_syrichta ENSTSYG00000034703
microcebus_murinus ENSMICG00000048813
propithecus_coquereli ENSPCOG00000022832
prolemur_simus ENSPSMG00000011773
castor_canadensis ENSCCNG00000008020
dipodomys_ordii ENSDORG00000028101
mus_spicilegus ENSMSIG00000032024
mus_musculus ENSMUSG00000110573
meriones_unguiculatus ENSMUGG00000013486
cricetulus_griseus ENSCGRG00000011289
cricetulus_griseus ENSCGRG00015014200
cricetulus_griseus ENSCGRG00001022522
mesocricetus_auratus ENSMAUG00000013620
microtus_ochrogaster ENSMOCG00000015659
peromyscus_maniculatus ENSPEMG00000012775
nannospalax_galili ENSNGAG00000022995
jaculus_jaculus ENSJJAG00000024232
ictidomys_tridecemlineatus ENSSTOG00000029915
spermophilus_dauricus ENSSDAG00000006209
urocitellus_parryii ENSUPAG00010019073
marmota_marmota ENSMMMG00000011797
chinchilla_lanigera ENSCLAG00000011289
octodon_degus ENSODEG00000000404
cavia_porcellus ENSCPOG00000040560
fukomys_damarensis ENSFDAG00000005336
heterocephalus_glaber ENSHGLG00000011970
bos_indicus ENSBIXG00005002537
bos_indicus ENSBIXG00000021464
bos_mutus ENSBMUG00000020182
bison_bison ENSBBBG00000011854
capra_hircus ENSCHIG00000014250
sus_scrofa ENSSSCG00000032588
equus_caballus ENSECAG00000036371
panthera_pardus ENSPPRG00000024866
panthera_tigris ENSPTIG00000006694
felis_catus ENSFCAG00000041428
canis_lupus ENSCAFG00000034613
