latimeria_chalumnae ENSLACG00000000592
xenopus_tropicalis ENSXETG00000019130
oryzias_latipes ENSORLG00015022466
oryzias_latipes ENSORLG00020008877
oryzias_latipes ENSORLG00000016495
callorhinchus_milii ENSCMIG00000002422
callorhinchus_milii ENSCMIG00000002570
pygocentrus_nattereri ENSPNAG00000029921
electrophorus_electricus ENSEEEG00000004470
clupea_harengus ENSCHAG00000025190
esox_lucius ENSELUG00000000332
hucho_hucho ENSHHUG00000034408
paramormyrops_kingsleyae ENSPKIG00000002112
lepisosteus_oculatus ENSLOCG00000016507
eptatretus_burgeri ENSEBUG00000001880
pogona_vitticeps ENSPVIG00000008764
anolis_carolinensis ENSACAG00000010849
notechis_scutatus ENSNSUG00000003340
salvator_merianae ENSSMRG00000014075
sphenodon_punctatus ENSSPUG00000004795
gopherus_agassizii ENSGAGG00000019330
chelonoidis_abingdonii ENSCABG00000001294
chrysemys_picta ENSCPBG00000005853
pelodiscus_sinensis ENSPSIG00000015627
apteryx_haastii ENSAHAG00000002655
apteryx_owenii ENSAOWG00000017757
apteryx_rowi ENSARWG00000016455
dromaius_novaehollandiae ENSDNVG00000006001
nothoprocta_perdicaria ENSNPEG00000008305
anser_brachyrhynchus ENSABRG00000015825
anas_platyrhynchos ENSAPLG00000003396
gallus_gallus ENSGALG00000011727
coturnix_japonica ENSCJPG00005008385
meleagris_gallopavo ENSMGAG00000011798
numida_meleagris ENSNMEG00000011055
calidris_pygmaea ENSCPGG00000002486
calidris_pugnax ENSCPUG00000001446
vombatus_ursinus ENSVURG00010022533
vombatus_ursinus ENSVURG00010022535
notamacropus_eugenii ENSMEUG00000014376
monodelphis_domestica ENSMODG00000037793
sarcophilus_harrisii ENSSHAG00000011958
ornithorhynchus_anatinus ENSOANG00000005002
pan_troglodytes ENSPTRG00000019722
pan_paniscus ENSPPAG00000042375
homo_sapiens ENSG00000146856
gorilla_gorilla ENSGGOG00000024585
pongo_abelii ENSPPYG00000018021
nomascus_leucogenys ENSNLEG00000013163
rhinopithecus_bieti ENSRBIG00000043358
rhinopithecus_roxellana ENSRROG00000028613
piliocolobus_tephrosceles ENSPTEG00000033947
colobus_angolensis ENSCANG00000032818
macaca_mulatta ENSMMUG00000006530
macaca_fascicularis ENSMFAG00000029365
macaca_nemestrina ENSMNEG00000043627
papio_anubis ENSPANG00000010207
mandrillus_leucophaeus ENSMLEG00000031423
cercocebus_atys ENSCATG00000042873
theropithecus_gelada ENSTGEG00000024765
chlorocebus_sabaeus ENSCSAG00000009168
cebus_capucinus ENSCCAG00000028348
callithrix_jacchus ENSCJAG00000012370
saimiri_boliviensis ENSSBOG00000003499
aotus_nancymaae ENSANAG00000032622
carlito_syrichta ENSTSYG00000008172
prolemur_simus ENSPSMG00000022060
microcebus_murinus ENSMICG00000014568
otolemur_garnettii ENSOGAG00000030615
oryctolagus_cuniculus ENSOCUG00000014749
ochotona_princeps ENSOPRG00000012780
castor_canadensis ENSCCNG00000011743
equus_caballus ENSECAG00000008743
equus_asinus ENSEASG00005014671
pteropus_vampyrus ENSPVAG00000006351
ursus_maritimus ENSUMAG00000015035
ursus_americanus ENSUAMG00000027860
ailuropoda_melanoleuca ENSAMEG00000012164
mustela_putorius ENSMPUG00000004266
neovison_vison ENSNVIG00000022664
canis_lupus ENSCAFG00000003177
vulpes_vulpes ENSVVUG00000005826
panthera_tigris ENSPTIG00000012266
panthera_pardus ENSPPRG00000023662
felis_catus ENSFCAG00000022109
ovis_aries ENSOARG00000008035
capra_hircus ENSCHIG00000015475
bos_indicus ENSBIXG00000021239
bos_indicus ENSBIXG00005026807
bos_taurus ENSBTAG00000013976
bos_mutus ENSBMUG00000004815
bison_bison ENSBBBG00000003794
tursiops_truncatus ENSTTRG00000003110
vicugna_pacos ENSVPAG00000004094
sorex_araneus ENSSARG00000008384
procavia_capensis ENSPCAG00000003434
echinops_telfairi ENSETEG00000006003
loxodonta_africana ENSLAFG00000009753
choloepus_hoffmanni ENSCHOG00000012275
tupaia_belangeri ENSTBEG00000005922
spermophilus_dauricus ENSSDAG00000022800
marmota_marmota ENSMMMG00000001455
urocitellus_parryii ENSUPAG00010009051
chinchilla_lanigera ENSCLAG00000001045
mesocricetus_auratus ENSMAUG00000010596
nannospalax_galili ENSNGAG00000012095
castor_canadensis ENSCCNG00000011746
dipodomys_ordii ENSDORG00000027778
octodon_degus ENSODEG00000013754
jaculus_jaculus ENSJJAG00000016972
meriones_unguiculatus ENSMUGG00000024379
cavia_porcellus ENSCPOG00000037702
cavia_aperea ENSCAPG00000012401
fukomys_damarensis ENSFDAG00000007253
ictidomys_tridecemlineatus ENSSTOG00000030672
pogona_vitticeps ENSPVIG00000008765
mus_spicilegus ENSMSIG00000029214
mus_spretus MGP_SPRETEiJ_G0029210
mus_musculus ENSMUSG00000038836
mus_caroli MGP_CAROLIEiJ_G0028211
mus_pahari MGP_PahariEiJ_G0021968
rattus_norvegicus ENSRNOG00000010397
meriones_unguiculatus ENSMUGG00000009809
microtus_ochrogaster ENSMOCG00000005552
microtus_ochrogaster ENSMOCG00000012743
cricetulus_griseus ENSCGRG00001001010
cricetulus_griseus ENSCGRG00015027329
cricetulus_griseus ENSCGRG00000017655
mesocricetus_auratus ENSMAUG00000002354
peromyscus_maniculatus ENSPEMG00000027578
oryzias_melastigma ENSOMEG00000023291
ciona_savignyi ENSCSAVG00000000011
