ursus_americanus ENSUAMG00000021648
ursus_maritimus ENSUMAG00000016450
ailuropoda_melanoleuca ENSAMEG00000016943
canis_lupus_dingo ENSCAFG00020025254
canis_lupus_familiaris ENSCAFG00000032376
vulpes_vulpes ENSVVUG00000021253
panthera_pardus ENSPPRG00000002559
panthera_tigris_altaica ENSPTIG00000007729
felis_catus ENSFCAG00000038778
tursiops_truncatus ENSTTRG00000014332
vicugna_pacos ENSVPAG00000012403
sorex_araneus ENSSARG00000011849
rhinopithecus_roxellana ENSRROG00000029289
rhinopithecus_bieti ENSRBIG00000035108
colobus_angolensis_palliatus ENSCANG00000028309
piliocolobus_tephrosceles ENSPTEG00000018718
macaca_fascicularis ENSMFAG00000031517
macaca_nemestrina ENSMNEG00000033503
macaca_mulatta ENSMMUG00000022436
theropithecus_gelada ENSTGEG00000010345
papio_anubis ENSPANG00000022662
cercocebus_atys ENSCATG00000036522
mandrillus_leucophaeus ENSMLEG00000032792
chlorocebus_sabaeus ENSCSAG00000010928
pan_troglodytes ENSPTRG00000024138
pan_paniscus ENSPPAG00000021996
homo_sapiens ENSG00000198298
gorilla_gorilla ENSGGOG00000008276
pongo_abelii ENSPPYG00000002215
nomascus_leucogenys ENSNLEG00000015899
cebus_capucinus ENSCCAG00000022688
saimiri_boliviensis_boliviensis ENSSBOG00000036222
callithrix_jacchus ENSCJAG00000016280
aotus_nancymaae ENSANAG00000026662
propithecus_coquereli ENSPCOG00000018982
urocitellus_parryii ENSUPAG00010022167
choloepus_hoffmanni ENSCHOG00000004244
