monopterus_albus ENSMALG00000015317
mastacembelus_armatus ENSMAMG00000020959
anabas_testudineus ENSATEG00000015144
mola_mola ENSMMOG00000016853
takifugu_rubripes ENSTRUG00000025970
labrus_bergylta ENSLBEG00000026572
periophthalmus_magnuspinnatus ENSPMGG00000002085
seriola_lalandi_dorsalis ENSSLDG00000019996
seriola_dumerili ENSSDUG00000012434
cynoglossus_semilaevis ENSCSEG00000018392
poecilia_latipinna ENSPLAG00000006589
poecilia_mexicana ENSPMEG00000013502
poecilia_reticulata ENSPREG00000021745
xiphophorus_couchianus ENSXCOG00000019229
xiphophorus_maculatus ENSXMAG00000023160
gambusia_affinis ENSGAFG00000001270
cyprinodon_variegatus ENSCVAG00000015033
kryptolebias_marmoratus ENSKMAG00000007172
oryzias_latipes_asm223469v1 ENSORLG00015020088
oryzias_latipes ENSORLG00000028490
oryzias_latipes ENSORLG00020012587
oryzias_melastigma ENSOMEG00000011740
haplochromis_burtoni ENSHBUG00000021458
pundamilia_nyererei ENSPNYG00000023252
maylandia_zebra ENSMZEG00005026969
astatotilapia_calliptera ENSACLG00000011220
oreochromis_niloticus ENSONIG00000005071
amphilophus_citrinellus ENSACIG00000008846
amphiprion_ocellaris ENSAOCG00000018297
amphiprion_percula ENSAPEG00000009728
stegastes_partitus ENSSPAG00000006028
esox_lucius ENSELUG00000018492
astyanax_mexicanus ENSAMXG00000043247
pygocentrus_nattereri ENSPNAG00000025707
ictalurus_punctatus ENSIPUG00000004398
