manacus_vitellinus ENSMVIG00005014176
lepidothrix_coronata ENSLCOG00000001862
parus_major ENSPMJG00000011222
cyanistes_caeruleus ENSCCEG00000010529
ficedula_albicollis ENSFALG00000004139
taeniopygia_guttata ENSTGUG00000007276
lonchura_striata ENSLSDG00000006501
serinus_canaria ENSSCAG00000015664
junco_hyemalis ENSJHYG00000009673
zonotrichia_albicollis ENSZALG00000018173
calidris_pygmaea ENSCPGG00000005710
calidris_pugnax ENSCPUG00000008766
anser_brachyrhynchus ENSABRG00000008293
anas_platyrhynchos ENSAPLG00000012028
gallus_gallus ENSGALG00000054564
coturnix_japonica ENSCJPG00005017264
meleagris_gallopavo ENSMGAG00000014650
numida_meleagris ENSNMEG00000018528
melopsittacus_undulatus ENSMUNG00000004086
apteryx_haastii ENSAHAG00000015553
apteryx_owenii ENSAOWG00000012216
apteryx_rowi ENSARWG00000007483
nothoprocta_perdicaria ENSNPEG00000000349
dromaius_novaehollandiae ENSDNVG00000006556
crocodylus_porosus ENSCPRG00005003907
gopherus_agassizii ENSGAGG00000002169
chelonoidis_abingdonii ENSCABG00000010817
chrysemys_picta ENSCPBG00000006784
pogona_vitticeps ENSPVIG00000023157
anolis_carolinensis ENSACAG00000007405
salvator_merianae ENSSMRG00000022830
notechis_scutatus ENSNSUG00000011941
phascolarctos_cinereus ENSPCIG00000024016
vombatus_ursinus ENSVURG00010010959
notamacropus_eugenii ENSMEUG00000014410
monodelphis_domestica ENSMODG00000025253
sarcophilus_harrisii ENSSHAG00000007725
loxodonta_africana ENSLAFG00000011049
procavia_capensis ENSPCAG00000014693
dasypus_novemcinctus ENSDNOG00000010294
carlito_syrichta ENSTSYG00000028487
ochotona_princeps ENSOPRG00000009490
bos_indicus ENSBIXG00000008006
bos_indicus ENSBIXG00005023551
bos_taurus ENSBTAG00000020561
bos_mutus ENSBMUG00000022056
ovis_aries ENSOARG00000016967
capra_hircus ENSCHIG00000021632
vicugna_pacos ENSVPAG00000010671
sus_scrofa ENSSSCG00000027652
tursiops_truncatus ENSTTRG00000012468
pteropus_vampyrus ENSPVAG00000002532
erinaceus_europaeus ENSEEUG00000005114
sorex_araneus ENSSARG00000010246
ursus_maritimus ENSUMAG00000011554
ursus_americanus ENSUAMG00000021216
ailuropoda_melanoleuca ENSAMEG00000012739
neovison_vison ENSNVIG00000000417
mustela_putorius ENSMPUG00000000107
canis_lupus ENSCAFG00000013398
canis_lupus ENSCAFG00020005384
vulpes_vulpes ENSVVUG00000012733
panthera_pardus ENSPPRG00000016181
panthera_tigris ENSPTIG00000010552
felis_catus ENSFCAG00000022049
equus_caballus ENSECAG00000015946
equus_asinus ENSEASG00005017768
mus_spicilegus ENSMSIG00000024319
mus_musculus ENSMUSG00000043929
mus_spretus MGP_SPRETEiJ_G0034402
mus_caroli MGP_CAROLIEiJ_G0033235
mus_pahari MGP_PahariEiJ_G0031776
rattus_norvegicus ENSRNOG00000006515
meriones_unguiculatus ENSMUGG00000008974
cricetulus_griseus ENSCGRG00015014761
cricetulus_griseus ENSCGRG00000003476
cricetulus_griseus ENSCGRG00001012393
mesocricetus_auratus ENSMAUG00000001738
microtus_ochrogaster ENSMOCG00000004308
peromyscus_maniculatus ENSPEMG00000027980
nannospalax_galili ENSNGAG00000014767
dipodomys_ordii ENSDORG00000028113
oryctolagus_cuniculus ENSOCUG00000006668
microcebus_murinus ENSMICG00000038607
prolemur_simus ENSPSMG00000010060
propithecus_coquereli ENSPCOG00000019009
pan_paniscus ENSPPAG00000040506
pan_troglodytes ENSPTRG00000021744
homo_sapiens ENSG00000174010
gorilla_gorilla ENSGGOG00000028200
pongo_abelii ENSPPYG00000020193
nomascus_leucogenys ENSNLEG00000010036
colobus_angolensis ENSCANG00000033420
piliocolobus_tephrosceles ENSPTEG00000003589
rhinopithecus_roxellana ENSRROG00000030039
macaca_fascicularis ENSMFAG00000037877
macaca_mulatta ENSMMUG00000037633
macaca_nemestrina ENSMNEG00000006144
cercocebus_atys ENSCATG00000030150
theropithecus_gelada ENSTGEG00000022958
papio_anubis ENSPANG00000010573
mandrillus_leucophaeus ENSMLEG00000012848
chlorocebus_sabaeus ENSCSAG00000014371
cebus_capucinus ENSCCAG00000029197
saimiri_boliviensis ENSSBOG00000011468
callithrix_jacchus ENSCJAG00000051881
aotus_nancymaae ENSANAG00000028322
otolemur_garnettii ENSOGAG00000026827
heterocephalus_glaber ENSHGLG00100008833
heterocephalus_glaber ENSHGLG00000006205
fukomys_damarensis ENSFDAG00000006513
chinchilla_lanigera ENSCLAG00000001609
octodon_degus ENSODEG00000013753
cavia_porcellus ENSCPOG00000040332
spermophilus_dauricus ENSSDAG00000008922
urocitellus_parryii ENSUPAG00010000081
ictidomys_tridecemlineatus ENSSTOG00000002209
jaculus_jaculus ENSJJAG00000014191
tupaia_belangeri ENSTBEG00000016205
myotis_lucifugus ENSMLUG00000001675
sarcophilus_harrisii ENSSHAG00000002126
sarcophilus_harrisii ENSSHAG00000000607
cavia_aperea ENSCAPG00000011812
echinops_telfairi ENSETEG00000015382
ornithorhynchus_anatinus ENSOANG00000009137
marmota_marmota ENSMMMG00000000487
jaculus_jaculus ENSJJAG00000024014
