scophthalmus_maximus ENSSMAG00000020484
gasterosteus_aculeatus ENSGACG00000008162
oryzias_latipes ENSORLG00020022008
oryzias_latipes ENSORLG00000013205
oryzias_latipes_asm223469v1 ENSORLG00015010467
oryzias_melastigma ENSOMEG00000011540
cynoglossus_semilaevis ENSCSEG00000009458
periophthalmus_magnuspinnatus ENSPMGG00000016648
seriola_dumerili ENSSDUG00000001744
seriola_lalandi_dorsalis ENSSLDG00000017149
xiphophorus_maculatus ENSXMAG00000012070
xiphophorus_couchianus ENSXCOG00000003516
gambusia_affinis ENSGAFG00000000409
poecilia_formosa ENSPFOG00000012470
poecilia_latipinna ENSPLAG00000020662
poecilia_mexicana ENSPMEG00000017703
poecilia_reticulata ENSPREG00000014957
cyprinodon_variegatus ENSCVAG00000014668
fundulus_heteroclitus ENSFHEG00000005048
kryptolebias_marmoratus ENSKMAG00000011432
amphiprion_ocellaris ENSAOCG00000006007
amphiprion_percula ENSAPEG00000004860
acanthochromis_polyacanthus ENSAPOG00000008934
stegastes_partitus ENSSPAG00000000766
monopterus_albus ENSMALG00000016482
mastacembelus_armatus ENSMAMG00000003191
anabas_testudineus ENSATEG00000010163
maylandia_zebra ENSMZEG00005021423
maylandia_zebra ENSMZEG00005016836
astatotilapia_calliptera ENSACLG00000009932
pundamilia_nyererei ENSPNYG00000005620
haplochromis_burtoni ENSHBUG00000009914
neolamprologus_brichardi ENSNBRG00000021899
oreochromis_niloticus ENSONIG00000007627
amphilophus_citrinellus ENSACIG00000002898
mola_mola ENSMMOG00000021279
mola_mola ENSMMOG00000021280
takifugu_rubripes ENSTRUG00000012527
labrus_bergylta ENSLBEG00000005088
hippocampus_comes ENSHCOG00000021002
esox_lucius ENSELUG00000011490
pygocentrus_nattereri ENSPNAG00000024997
astyanax_mexicanus ENSAMXG00000026320
danio_rerio ENSDARG00000100462
paramormyrops_kingsleyae ENSPKIG00000014044
lepisosteus_oculatus ENSLOCG00000018279
