caenorhabditis_elegans WBGene00015703
drosophila_melanogaster FBgn0029833
astyanax_mexicanus ENSAMXG00000034833
astyanax_mexicanus ENSAMXG00000039064
astyanax_mexicanus ENSAMXG00005007599
pygocentrus_nattereri ENSPNAG00000003671
electrophorus_electricus ENSEEEG00000014603
ictalurus_punctatus ENSIPUG00000019053
danio_rerio ENSDARG00000025972
denticeps_clupeoides ENSDCDG00000026409
poecilia_mexicana ENSPMEG00000023805
poecilia_latipinna ENSPLAG00000020181
poecilia_formosa ENSPFOG00000017218
poecilia_reticulata ENSPREG00000011974
xiphophorus_couchianus ENSXCOG00000016543
xiphophorus_maculatus ENSXMAG00000023339
gambusia_affinis ENSGAFG00000000561
fundulus_heteroclitus ENSFHEG00000017670
cyprinodon_variegatus ENSCVAG00000005236
kryptolebias_marmoratus ENSKMAG00000000443
oryzias_latipes ENSORLG00020003467
oryzias_latipes ENSORLG00000030590
oryzias_latipes ENSORLG00015012756
oryzias_melastigma ENSOMEG00000000379
cynoglossus_semilaevis ENSCSEG00000002120
astatotilapia_calliptera ENSACLG00000001364
maylandia_zebra ENSMZEG00005007740
haplochromis_burtoni ENSHBUG00000017135
pundamilia_nyererei ENSPNYG00000010081
neolamprologus_brichardi ENSNBRG00000002861
oreochromis_niloticus ENSONIG00000002566
amphilophus_citrinellus ENSACIG00000013270
seriola_lalandi ENSSLDG00000010308
larimichthys_crocea ENSLCRG00005017956
scophthalmus_maximus ENSSMAG00000013065
amphiprion_percula ENSAPEG00000005866
amphiprion_ocellaris ENSAOCG00000000691
acanthochromis_polyacanthus ENSAPOG00000012469
stegastes_partitus ENSSPAG00000009797
seriola_lalandi ENSSLDG00000002831
seriola_dumerili ENSSDUG00000005874
lates_calcarifer ENSLCAG00010025335
parambassis_ranga ENSPRNG00000013973
cottoperca_gobio ENSCGOG00000018174
tetraodon_nigroviridis ENSTNIG00000000134
takifugu_rubripes ENSTRUG00000009679
labrus_bergylta ENSLBEG00000028699
mola_mola ENSMMOG00000004204
hippocampus_comes ENSHCOG00000015082
gouania_willdenowi ENSGWIG00000021081
anabas_testudineus ENSATEG00000018544
betta_splendens ENSBSLG00000023733
monopterus_albus ENSMALG00000008278
mastacembelus_armatus ENSMAMG00000020164
periophthalmus_magnuspinnatus ENSPMGG00000016319
gadus_morhua ENSGMOG00000005450
hucho_hucho ENSHHUG00000027806
hucho_hucho ENSHHUG00000051714
esox_lucius ENSELUG00000020077
scleropages_formosus ENSSFOG00015005757
paramormyrops_kingsleyae ENSPKIG00000021497
lepisosteus_oculatus ENSLOCG00000015255
erpetoichthys_calabaricus ENSECRG00000012244
bos_indicus ENSBIXG00005000064
bos_taurus ENSBTAG00000034992
bos_mutus ENSBMUG00000022484
bison_bison ENSBBBG00000005735
capra_hircus ENSCHIG00000016396
ovis_aries ENSOARG00000013384
tursiops_truncatus ENSTTRG00000007208
sus_scrofa ENSSSCG00000030833
vicugna_pacos ENSVPAG00000001801
myotis_lucifugus ENSMLUG00000015101
equus_caballus ENSECAG00000014597
equus_asinus ENSEASG00005023018
ursus_americanus ENSUAMG00000007558
ursus_maritimus ENSUMAG00000022978
mustela_putorius ENSMPUG00000001407
neovison_vison ENSNVIG00000022979
canis_lupus ENSCAFG00020003887
vulpes_vulpes ENSVVUG00000028136
canis_lupus ENSCAFG00000018545
vulpes_vulpes ENSVVUG00000028523
panthera_pardus ENSPPRG00000023309
panthera_tigris ENSPTIG00000011124
felis_catus ENSFCAG00000038539
erinaceus_europaeus ENSEEUG00000007258
pteropus_vampyrus ENSPVAG00000013249
panthera_pardus ENSPPRG00000011672
oryctolagus_cuniculus ENSOCUG00000014315
oryctolagus_cuniculus ENSOCUG00000013711
ochotona_princeps ENSOPRG00000009991
ictidomys_tridecemlineatus ENSSTOG00000019938
octodon_degus ENSODEG00000000920
octodon_degus ENSODEG00000001941
chinchilla_lanigera ENSCLAG00000000154
cavia_porcellus ENSCPOG00000005502
heterocephalus_glaber ENSHGLG00100011793
heterocephalus_glaber ENSHGLG00000000956
fukomys_damarensis ENSFDAG00000009644
castor_canadensis ENSCCNG00000008760
dipodomys_ordii ENSDORG00000027394
meriones_unguiculatus ENSMUGG00000003110
meriones_unguiculatus ENSMUGG00000023167
mus_spretus MGP_SPRETEiJ_G0034177
mus_musculus ENSMUSG00000000355
mus_spicilegus ENSMSIG00000023448
mus_caroli MGP_CAROLIEiJ_G0033019
mus_pahari MGP_PahariEiJ_G0031565
rattus_norvegicus ENSRNOG00000002563
cricetulus_griseus ENSCGRG00000007931
cricetulus_griseus ENSCGRG00001022838
cricetulus_griseus ENSCGRG00015015061
mesocricetus_auratus ENSMAUG00000000385
peromyscus_maniculatus ENSPEMG00000014914
microtus_ochrogaster ENSMOCG00000018373
nannospalax_galili ENSNGAG00000010362
jaculus_jaculus ENSJJAG00000000514
ictidomys_tridecemlineatus ENSSTOG00000011496
ictidomys_tridecemlineatus ENSSTOG00000033476
urocitellus_parryii ENSUPAG00010000749
spermophilus_dauricus ENSSDAG00000013226
spermophilus_dauricus ENSSDAG00000006259
marmota_marmota ENSMMMG00000006488
saimiri_boliviensis ENSSBOG00000031550
cebus_capucinus ENSCCAG00000024986
cebus_capucinus ENSCCAG00000024478
callithrix_jacchus ENSCJAG00000002593
aotus_nancymaae ENSANAG00000033714
carlito_syrichta ENSTSYG00000001440
prolemur_simus ENSPSMG00000012280
propithecus_coquereli ENSPCOG00000020584
microcebus_murinus ENSMICG00000014551
cebus_capucinus ENSCCAG00000035857
aotus_nancymaae ENSANAG00000024745
rhinopithecus_bieti ENSRBIG00000035074
pan_paniscus ENSPPAG00000040584
pan_troglodytes ENSPTRG00000022241
gorilla_gorilla ENSGGOG00000009420
homo_sapiens ENSG00000232119
nomascus_leucogenys ENSNLEG00000015021
macaca_mulatta ENSMMUG00000009043
macaca_nemestrina ENSMNEG00000041580
macaca_fascicularis ENSMFAG00000032574
cercocebus_atys ENSCATG00000045065
theropithecus_gelada ENSTGEG00000020714
papio_anubis ENSPANG00000011471
mandrillus_leucophaeus ENSMLEG00000040575
colobus_angolensis ENSCANG00000043353
piliocolobus_tephrosceles ENSPTEG00000026308
chlorocebus_sabaeus ENSCSAG00000018337
rhinopithecus_roxellana ENSRROG00000039816
pongo_abelii ENSPPYG00000020687
microcebus_murinus ENSMICG00000035625
microcebus_murinus ENSMICG00000045427
prolemur_simus ENSPSMG00000013969
tupaia_belangeri ENSTBEG00000010666
heterocephalus_glaber ENSHGLG00100009458
octodon_degus ENSODEG00000011493
ictidomys_tridecemlineatus ENSSTOG00000028611
pan_troglodytes ENSPTRG00000047770
pan_troglodytes ENSPTRG00000047072
homo_sapiens ENSG00000101898
callithrix_jacchus ENSCJAG00000032451
carlito_syrichta ENSTSYG00000036289
echinops_telfairi ENSETEG00000015462
echinops_telfairi ENSETEG00000012151
dasypus_novemcinctus ENSDNOG00000046770
loxodonta_africana ENSLAFG00000015272
myotis_lucifugus ENSMLUG00000024089
panthera_tigris ENSPTIG00000010906
panthera_pardus ENSPPRG00000002628
felis_catus ENSFCAG00000029331
bos_indicus ENSBIXG00000019254
bos_indicus ENSBIXG00005012253
bos_mutus ENSBMUG00000003996
bison_bison ENSBBBG00000021105
ovis_aries ENSOARG00000004635
capra_hircus ENSCHIG00000021551
sus_scrofa ENSSSCG00000039612
equus_caballus ENSECAG00000020565
equus_asinus ENSEASG00005019107
ursus_maritimus ENSUMAG00000012117
ursus_americanus ENSUAMG00000007223
ailuropoda_melanoleuca ENSAMEG00000019372
neovison_vison ENSNVIG00000009968
mustela_putorius ENSMPUG00000019567
canis_lupus ENSCAFG00020004450
canis_lupus ENSCAFG00000005346
vulpes_vulpes ENSVVUG00000007626
monodelphis_domestica ENSMODG00000025135
sarcophilus_harrisii ENSSHAG00000008366
phascolarctos_cinereus ENSPCIG00000020929
vombatus_ursinus ENSVURG00010001703
jaculus_jaculus ENSJJAG00000014683
mus_musculus ENSMUSG00000042814
mus_caroli MGP_CAROLIEiJ_G0024470
