xiphophorus_couchianus ENSXCOG00000012610
xiphophorus_maculatus ENSXMAG00000018663
poecilia_reticulata ENSPREG00000000893
poecilia_latipinna ENSPLAG00000019687
fundulus_heteroclitus ENSFHEG00000006330
oryzias_latipes ENSORLG00000028302
gasterosteus_aculeatus ENSGACG00000009792
seriola_dumerili ENSSDUG00000018487
scophthalmus_maximus ENSSMAG00000013683
mastacembelus_armatus ENSMAMG00000011630
acanthochromis_polyacanthus ENSAPOG00000016692
monopterus_albus ENSMALG00000012152
cynoglossus_semilaevis ENSCSEG00000016998
neolamprologus_brichardi ENSNBRG00000004286
pundamilia_nyererei ENSPNYG00000006293
oreochromis_niloticus ENSONIG00000003711
tetraodon_nigroviridis ENSTNIG00000007735
takifugu_rubripes ENSTRUG00000010593
mola_mola ENSMMOG00000012517
amphiprion_ocellaris ENSAOCG00000005778
amphiprion_percula ENSAPEG00000024418
amphilophus_citrinellus ENSACIG00000014071
seriola_lalandi ENSSLDG00000020838
labrus_bergylta ENSLBEG00000020922
poecilia_mexicana ENSPMEG00000016247
poecilia_formosa ENSPFOG00000010300
gambusia_affinis ENSGAFG00000012265
cyprinodon_variegatus ENSCVAG00000003915
kryptolebias_marmoratus ENSKMAG00000021052
oryzias_latipes ENSORLG00015000982
oryzias_latipes ENSORLG00020003113
oryzias_melastigma ENSOMEG00000013238
stegastes_partitus ENSSPAG00000008529
astatotilapia_calliptera ENSACLG00000016103
maylandia_zebra ENSMZEG00005016726
haplochromis_burtoni ENSHBUG00000001982
anabas_testudineus ENSATEG00000013600
hippocampus_comes ENSHCOG00000007461
periophthalmus_magnuspinnatus ENSPMGG00000014109
gadus_morhua ENSGMOG00000008522
esox_lucius ENSELUG00000014466
astyanax_mexicanus ENSAMXG00000037476
pygocentrus_nattereri ENSPNAG00000019210
ictalurus_punctatus ENSIPUG00000012056
danio_rerio ENSDARG00000055751
scleropages_formosus ENSSFOG00015006443
paramormyrops_kingsleyae ENSPKIG00000011100
lepisosteus_oculatus ENSLOCG00000014630
gopherus_agassizii ENSGAGG00000008398
chelonoidis_abingdonii ENSCABG00000008056
chrysemys_picta ENSCPBG00000015311
pelodiscus_sinensis ENSPSIG00000005821
pogona_vitticeps ENSPVIG00000020541
anolis_carolinensis ENSACAG00000007426
salvator_merianae ENSSMRG00000017601
calidris_pygmaea ENSCPGG00000000405
lonchura_striata ENSLSDG00000005581
gallus_gallus ENSGALG00000041280
coturnix_japonica ENSCJPG00005002598
anser_brachyrhynchus ENSABRG00000014864
numida_meleagris ENSNMEG00000006351
nothoprocta_perdicaria ENSNPEG00000008967
apteryx_haastii ENSAHAG00000000220
apteryx_rowi ENSARWG00000001504
apteryx_owenii ENSAOWG00000019316
anser_brachyrhynchus ENSABRG00000014863
calidris_pugnax ENSCPUG00000008169
anas_platyrhynchos ENSAPLG00000019378
junco_hyemalis ENSJHYG00000015222
crocodylus_porosus ENSCPRG00005015469
notechis_scutatus ENSNSUG00000002434
pan_paniscus ENSPPAG00000035998
pan_troglodytes ENSPTRG00000046160
homo_sapiens ENSG00000125740
gorilla_gorilla ENSGGOG00000010952
pongo_abelii ENSPPYG00000010121
nomascus_leucogenys ENSNLEG00000002090
papio_anubis ENSPANG00000002665
theropithecus_gelada ENSTGEG00000020835
chlorocebus_sabaeus ENSCSAG00000003176
macaca_mulatta ENSMMUG00000014430
macaca_fascicularis ENSMFAG00000038029
macaca_nemestrina ENSMNEG00000038931
mandrillus_leucophaeus ENSMLEG00000033569
cercocebus_atys ENSCATG00000042659
piliocolobus_tephrosceles ENSPTEG00000037030
colobus_angolensis ENSCANG00000041553
rhinopithecus_roxellana ENSRROG00000014678
rhinopithecus_bieti ENSRBIG00000028796
saimiri_boliviensis ENSSBOG00000001761
callithrix_jacchus ENSCJAG00000012636
cebus_capucinus ENSCCAG00000025333
aotus_nancymaae ENSANAG00000035322
carlito_syrichta ENSTSYG00000036018
jaculus_jaculus ENSJJAG00000013651
cricetulus_griseus ENSCGRG00000009126
cavia_aperea ENSCAPG00000006578
ursus_americanus ENSUAMG00000020207
ursus_maritimus ENSUMAG00000023589
ailuropoda_melanoleuca ENSAMEG00000012405
neovison_vison ENSNVIG00000008682
mustela_putorius ENSMPUG00000005914
canis_lupus ENSCAFG00000004443
canis_lupus ENSCAFG00020011287
vulpes_vulpes ENSVVUG00000004082
panthera_pardus ENSPPRG00000004058
panthera_tigris ENSPTIG00000015177
felis_catus ENSFCAG00000030571
equus_caballus ENSECAG00000018002
equus_asinus ENSEASG00005014191
capra_hircus ENSCHIG00000003296
ovis_aries ENSOARG00000009983
bos_taurus ENSBTAG00000008182
bos_mutus ENSBMUG00000020469
bison_bison ENSBBBG00000003755
tursiops_truncatus ENSTTRG00000008316
vicugna_pacos ENSVPAG00000010030
pteropus_vampyrus ENSPVAG00000001332
myotis_lucifugus ENSMLUG00000009003
octodon_degus ENSODEG00000009394
chinchilla_lanigera ENSCLAG00000001320
cavia_porcellus ENSCPOG00000015608
heterocephalus_glaber ENSHGLG00100012437
heterocephalus_glaber ENSHGLG00000004044
fukomys_damarensis ENSFDAG00000010768
spermophilus_dauricus ENSSDAG00000011025
urocitellus_parryii ENSUPAG00010021666
ictidomys_tridecemlineatus ENSSTOG00000028949
marmota_marmota ENSMMMG00000014298
castor_canadensis ENSCCNG00000021634
dipodomys_ordii ENSDORG00000008112
mus_spicilegus ENSMSIG00000005600
mus_spretus MGP_SPRETEiJ_G0030367
mus_musculus ENSMUSG00000003545
mus_caroli MGP_CAROLIEiJ_G0029283
mus_pahari MGP_PahariEiJ_G0021143
rattus_norvegicus ENSRNOG00000046667
meriones_unguiculatus ENSMUGG00000001755
cricetulus_griseus ENSCGRG00015007331
cricetulus_griseus ENSCGRG00001009723
mesocricetus_auratus ENSMAUG00000000999
peromyscus_maniculatus ENSPEMG00000016150
microtus_ochrogaster ENSMOCG00000001596
nannospalax_galili ENSNGAG00000020712
tupaia_belangeri ENSTBEG00000010222
propithecus_coquereli ENSPCOG00000008886
microcebus_murinus ENSMICG00000001809
