serinus_canaria ENSSCAG00000009096
cyanistes_caeruleus ENSCCEG00000010258
lepidothrix_coronata ENSLCOG00000008716
calidris_pygmaea ENSCPGG00000005797
calidris_pugnax ENSCPUG00000019915
melopsittacus_undulatus ENSMUNG00000013948
anser_brachyrhynchus ENSABRG00000012007
anas_platyrhynchos_platyrhynchos ENSAPLG00000025800
apteryx_owenii ENSAOWG00000007723
apteryx_rowi ENSARWG00000014129
apteryx_haastii ENSAHAG00000014641
dromaius_novaehollandiae ENSDNVG00000014978
apteryx_haastii ENSAHAG00000002324
apteryx_rowi ENSARWG00000014508
apteryx_owenii ENSAOWG00000014499
chelonoidis_abingdonii ENSCABG00000009934
gopherus_agassizii ENSGAGG00000008399
chrysemys_picta_bellii ENSCPBG00000020110
pogona_vitticeps ENSPVIG00000018420
salvator_merianae ENSSMRG00000000284
chinchilla_lanigera ENSCLAG00000006911
castor_canadensis ENSCCNG00000028687
nannospalax_galili ENSNGAG00000005342
meriones_unguiculatus ENSMUGG00000004668
neovison_vison ENSNVIG00000015746
ursus_maritimus ENSUMAG00000010733
bos_mutus ENSBMUG00000008905
bos_taurus ENSBTAG00000051640
bison_bison_bison ENSBBBG00000020109
sus_scrofa ENSSSCG00000035275
equus_asinus_asinus ENSEASG00005009794
equus_caballus ENSECAG00000035660
