microcebus_murinus ENSMICG00000012418
prolemur_simus ENSPSMG00000004245
propithecus_coquereli ENSPCOG00000007468
homo_sapiens ENSG00000186599
homo_sapiens ENSG00000186562
pan_troglodytes ENSPTRG00000019960
gorilla_gorilla ENSGGOG00000007021
nomascus_leucogenys ENSNLEG00000010485
pongo_abelii ENSPPYG00000018333
nomascus_leucogenys ENSNLEG00000029350
rhinopithecus_bieti ENSRBIG00000042423
rhinopithecus_roxellana ENSRROG00000035306
colobus_angolensis_palliatus ENSCANG00000040950
papio_anubis ENSPANG00000008854
theropithecus_gelada ENSTGEG00000014421
mandrillus_leucophaeus ENSMLEG00000041011
cercocebus_atys ENSCATG00000010422
chlorocebus_sabaeus ENSCSAG00000016968
macaca_nemestrina ENSMNEG00000029177
macaca_fascicularis ENSMFAG00000030679
saimiri_boliviensis_boliviensis ENSSBOG00000023448
cebus_capucinus ENSCCAG00000026918
callithrix_jacchus ENSCJAG00000003913
aotus_nancymaae ENSANAG00000027764
castor_canadensis ENSCCNG00000002064
dipodomys_ordii ENSDORG00000029585
cricetulus_griseus_crigri ENSCGRG00000002604
cricetulus_griseus_chok1gshd ENSCGRG00001016160
cricetulus_griseus_crigri-picr ENSCGRG00015027371
mesocricetus_auratus ENSMAUG00000003214
microtus_ochrogaster ENSMOCG00000011154
peromyscus_maniculatus_bairdii ENSPEMG00000027446
mus_musculus ENSMUSG00000043787
mus_spicilegus ENSMSIG00000029659
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031981
mus_spicilegus ENSMSIG00000022904
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031999
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030870
mus_pahari MGP_PahariEiJ_G0021336
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030871
mus_musculus ENSMUSG00000058052
mus_pahari MGP_PahariEiJ_G0021337
rattus_norvegicus ENSRNOG00000038155
meriones_unguiculatus ENSMUGG00000002927
jaculus_jaculus ENSJJAG00000010053
heterocephalus_glaber_male ENSHGLG00100001576
heterocephalus_glaber_female ENSHGLG00000000044
fukomys_damarensis ENSFDAG00000021202
chinchilla_lanigera ENSCLAG00000014084
octodon_degus ENSODEG00000002214
cavia_porcellus ENSCPOG00000020935
cavia_aperea ENSCAPG00000017931
spermophilus_dauricus ENSSDAG00000009294
marmota_marmota_marmota ENSMMMG00000023499
ictidomys_tridecemlineatus ENSSTOG00000005320
ochotona_princeps ENSOPRG00000002918
bos_mutus ENSBMUG00000008649
bison_bison_bison ENSBBBG00000021386
ovis_aries ENSOARG00000006433
capra_hircus ENSCHIG00000022241
sus_scrofa ENSSSCG00000032784
canis_lupus_dingo ENSCAFG00020008762
canis_lupus_dingo ENSCAFG00020012550
canis_lupus_familiaris ENSCAFG00000024791
canis_lupus_familiaris ENSCAFG00000031181
canis_lupus_familiaris ENSCAFG00000030824
vulpes_vulpes ENSVVUG00000029654
neovison_vison ENSNVIG00000008983
ursus_americanus ENSUAMG00000016546
ursus_maritimus ENSUMAG00000024905
ailuropoda_melanoleuca ENSAMEG00000012713
panthera_tigris_altaica ENSPTIG00000010272
panthera_pardus ENSPPRG00000009611
felis_catus ENSFCAG00000044715
myotis_lucifugus ENSMLUG00000024787
pteropus_vampyrus ENSPVAG00000012934
equus_asinus_asinus ENSEASG00005022324
equus_caballus ENSECAG00000028090
erinaceus_europaeus ENSEEUG00000007783
choloepus_hoffmanni ENSCHOG00000004035
procavia_capensis ENSPCAG00000003423
