sus_scrofa ENSSSCG00000040871
capra_hircus ENSCHIG00000019557
ursus_maritimus ENSUMAG00000011881
ursus_americanus ENSUAMG00000026244
neovison_vison ENSNVIG00000023721
vulpes_vulpes ENSVVUG00000012063
canis_lupus_dingo ENSCAFG00020021677
panthera_tigris_altaica ENSPTIG00000014652
panthera_pardus ENSPPRG00000023811
felis_catus ENSFCAG00000045044
castor_canadensis ENSCCNG00000025456
dipodomys_ordii ENSDORG00000030030
cricetulus_griseus_crigri ENSCGRG00000002535
cricetulus_griseus_chok1gshd ENSCGRG00001022474
cricetulus_griseus_crigri-picr ENSCGRG00015016403
peromyscus_maniculatus_bairdii ENSPEMG00000020456
mus_spicilegus ENSMSIG00000026482
marmota_marmota_marmota ENSMMMG00000013673
urocitellus_parryii ENSUPAG00010021256
propithecus_coquereli ENSPCOG00000023329
