neovison_vison ENSNVIG00000000769
mustela_putorius_furo ENSMPUG00000005724
canis_lupus_familiaris ENSCAFG00000032262
canis_lupus_dingo ENSCAFG00020001485
vulpes_vulpes ENSVVUG00000029201
ursus_americanus ENSUAMG00000024408
ursus_maritimus ENSUMAG00000022929
ailuropoda_melanoleuca ENSAMEG00000016122
panthera_tigris_altaica ENSPTIG00000020350
panthera_pardus ENSPPRG00000008589
felis_catus ENSFCAG00000005597
myotis_lucifugus ENSMLUG00000011611
vicugna_pacos ENSVPAG00000000233
sus_scrofa ENSSSCG00000001991
equus_asinus_asinus ENSEASG00005012096
equus_caballus ENSECAG00000021432
bos_mutus ENSBMUG00000008190
bos_taurus ENSBTAG00000010234
bison_bison_bison ENSBBBG00000021296
capra_hircus ENSCHIG00000008690
ovis_aries ENSOARG00000019131
tursiops_truncatus ENSTTRG00000008636
erinaceus_europaeus ENSEEUG00000009851
pteropus_vampyrus ENSPVAG00000007031
sorex_araneus ENSSARG00000008399
fukomys_damarensis ENSFDAG00000006463
loxodonta_africana ENSLAFG00000016267
procavia_capensis ENSPCAG00000010114
echinops_telfairi ENSETEG00000011511
choloepus_hoffmanni ENSCHOG00000005224
dasypus_novemcinctus ENSDNOG00000017780
propithecus_coquereli ENSPCOG00000018609
prolemur_simus ENSPSMG00000015116
microcebus_murinus ENSMICG00000001760
otolemur_garnettii ENSOGAG00000010663
gorilla_gorilla ENSGGOG00000004685
homo_sapiens ENSG00000157379
pan_paniscus ENSPPAG00000038068
pan_troglodytes ENSPTRG00000006211
pongo_abelii ENSPPYG00000005697
nomascus_leucogenys ENSNLEG00000015417
macaca_fascicularis ENSMFAG00000034466
macaca_nemestrina ENSMNEG00000028575
macaca_mulatta ENSMMUG00000010051
mandrillus_leucophaeus ENSMLEG00000035274
chlorocebus_sabaeus ENSCSAG00000015914
cercocebus_atys ENSCATG00000035900
papio_anubis ENSPANG00000005894
theropithecus_gelada ENSTGEG00000022519
colobus_angolensis_palliatus ENSCANG00000028641
piliocolobus_tephrosceles ENSPTEG00000021272
rhinopithecus_roxellana ENSRROG00000031787
rhinopithecus_bieti ENSRBIG00000031106
callithrix_jacchus ENSCJAG00000006700
saimiri_boliviensis_boliviensis ENSSBOG00000035073
cebus_capucinus ENSCCAG00000036891
aotus_nancymaae ENSANAG00000029249
peromyscus_maniculatus_bairdii ENSPEMG00000012363
microtus_ochrogaster ENSMOCG00000013094
cricetulus_griseus_chok1gshd ENSCGRG00001015405
cricetulus_griseus_crigri-picr ENSCGRG00015017438
cricetulus_griseus_crigri ENSCGRG00000008709
mesocricetus_auratus ENSMAUG00000017895
mus_musculus ENSMUSG00000002332
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020203
mus_spicilegus ENSMSIG00000031133
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019314
mus_pahari MGP_PahariEiJ_G0030331
rattus_norvegicus ENSRNOG00000020264
meriones_unguiculatus ENSMUGG00000009009
nannospalax_galili ENSNGAG00000015363
jaculus_jaculus ENSJJAG00000011393
castor_canadensis ENSCCNG00000000573
dipodomys_ordii ENSDORG00000012284
spermophilus_dauricus ENSSDAG00000022197
urocitellus_parryii ENSUPAG00010009316
ictidomys_tridecemlineatus ENSSTOG00000002399
marmota_marmota_marmota ENSMMMG00000011888
cavia_porcellus ENSCPOG00000014404
cavia_aperea ENSCAPG00000011718
chinchilla_lanigera ENSCLAG00000013144
octodon_degus ENSODEG00000003050
carlito_syrichta ENSTSYG00000008690
carlito_syrichta ENSTSYG00000033697
carlito_syrichta ENSTSYG00000014198
oryctolagus_cuniculus ENSOCUG00000002942
ochotona_princeps ENSOPRG00000016668
ornithorhynchus_anatinus ENSOANG00000028651
phascolarctos_cinereus ENSPCIG00000002082
notamacropus_eugenii ENSMEUG00000013241
sarcophilus_harrisii ENSSHAG00000005732
monodelphis_domestica ENSMODG00000003089
pogona_vitticeps ENSPVIG00000004360
pogona_vitticeps ENSPVIG00000004358
pogona_vitticeps ENSPVIG00000004365
pogona_vitticeps ENSPVIG00000004362
notechis_scutatus ENSNSUG00000003861
anolis_carolinensis ENSACAG00000013994
sphenodon_punctatus ENSSPUG00000016352
sphenodon_punctatus ENSSPUG00000016363
chelonoidis_abingdonii ENSCABG00000007365
gopherus_agassizii ENSGAGG00000010101
