rhinopithecus_roxellana ENSRROG00000030132
rhinopithecus_bieti ENSRBIG00000035591
piliocolobus_tephrosceles ENSPTEG00000015439
colobus_angolensis_palliatus ENSCANG00000036968
papio_anubis ENSPANG00000034141
theropithecus_gelada ENSTGEG00000019489
cercocebus_atys ENSCATG00000030655
mandrillus_leucophaeus ENSMLEG00000028841
macaca_mulatta ENSMMUG00000041022
macaca_fascicularis ENSMFAG00000000890
macaca_nemestrina ENSMNEG00000035207
pan_paniscus ENSPPAG00000029712
pan_troglodytes ENSPTRG00000043587
gorilla_gorilla ENSGGOG00000040290
