lepidothrix_coronata ENSLCOG00000000790
manacus_vitellinus ENSMVIG00005011907
lonchura_striata_domestica ENSLSDG00000008459
serinus_canaria ENSSCAG00000009549
junco_hyemalis ENSJHYG00000008571
ficedula_albicollis ENSFALG00000011337
parus_major ENSPMJG00000005885
cyanistes_caeruleus ENSCCEG00000014646
taeniopygia_guttata ENSTGUG00000007182
zonotrichia_albicollis ENSZALG00000014405
melopsittacus_undulatus ENSMUNG00000006138
calidris_pugnax ENSCPUG00000011882
calidris_pygmaea ENSCPGG00000017990
anas_platyrhynchos_platyrhynchos ENSAPLG00000010063
anser_brachyrhynchus ENSABRG00000019971
coturnix_japonica ENSCJPG00005010575
meleagris_gallopavo ENSMGAG00000011562
gallus_gallus ENSGALG00000013627
numida_meleagris ENSNMEG00000008665
apteryx_owenii ENSAOWG00000017286
apteryx_haastii ENSAHAG00000015257
apteryx_rowi ENSARWG00000016877
dromaius_novaehollandiae ENSDNVG00000009096
nothoprocta_perdicaria ENSNPEG00000013940
crocodylus_porosus ENSCPRG00005010807
gopherus_agassizii ENSGAGG00000015598
chelonoidis_abingdonii ENSCABG00000018364
chrysemys_picta_bellii ENSCPBG00000018883
pelodiscus_sinensis ENSPSIG00000014516
pogona_vitticeps ENSPVIG00000001158
anolis_carolinensis ENSACAG00000006443
salvator_merianae ENSSMRG00000009593
notechis_scutatus ENSNSUG00000009229
sphenodon_punctatus ENSSPUG00000017195
pteropus_vampyrus ENSPVAG00000007602
myotis_lucifugus ENSMLUG00000023069
vicugna_pacos ENSVPAG00000011949
fukomys_damarensis ENSFDAG00000020508
octodon_degus ENSODEG00000004488
cricetulus_griseus_crigri ENSCGRG00000017419
cricetulus_griseus_chok1gshd ENSCGRG00001017279
cricetulus_griseus_crigri-picr ENSCGRG00015023682
mus_spicilegus ENSMSIG00000019795
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032114
nannospalax_galili ENSNGAG00000020650
dipodomys_ordii ENSDORG00000007705
oryctolagus_cuniculus ENSOCUG00000011284
ochotona_princeps ENSOPRG00000000604
carlito_syrichta ENSTSYG00000005071
urocitellus_parryii ENSUPAG00010008755
marmota_marmota_marmota ENSMMMG00000009400
ictidomys_tridecemlineatus ENSSTOG00000011412
spermophilus_dauricus ENSSDAG00000018125
meriones_unguiculatus ENSMUGG00000007315
tupaia_belangeri ENSTBEG00000017316
sorex_araneus ENSSARG00000000440
ursus_americanus ENSUAMG00000026517
ailuropoda_melanoleuca ENSAMEG00000013690
neovison_vison ENSNVIG00000007442
mustela_putorius_furo ENSMPUG00000017968
canis_lupus_familiaris ENSCAFG00000006944
felis_catus ENSFCAG00000019317
equus_asinus_asinus ENSEASG00005017109
equus_caballus ENSECAG00000016856
canis_lupus_dingo ENSCAFG00020000235
vulpes_vulpes ENSVVUG00000007388
ursus_maritimus ENSUMAG00000020643
panthera_tigris_altaica ENSPTIG00000016705
panthera_pardus ENSPPRG00000004370
sus_scrofa ENSSSCG00000006987
erinaceus_europaeus ENSEEUG00000005237
propithecus_coquereli ENSPCOG00000019638
microcebus_murinus ENSMICG00000013150
prolemur_simus ENSPSMG00000006949
otolemur_garnettii ENSOGAG00000004227
homo_sapiens ENSG00000003989
pongo_abelii ENSPPYG00000018389
colobus_angolensis_palliatus ENSCANG00000038649
piliocolobus_tephrosceles ENSPTEG00000021252
rhinopithecus_roxellana ENSRROG00000032603
rhinopithecus_bieti ENSRBIG00000025446
theropithecus_gelada ENSTGEG00000019955
papio_anubis ENSPANG00000006555
cercocebus_atys ENSCATG00000015431
mandrillus_leucophaeus ENSMLEG00000037489
macaca_mulatta ENSMMUG00000022303
macaca_nemestrina ENSMNEG00000005735
pan_paniscus ENSPPAG00000016430
pan_troglodytes ENSPTRG00000020021
gorilla_gorilla ENSGGOG00000014449
nomascus_leucogenys ENSNLEG00000002678
macaca_fascicularis ENSMFAG00000030671
chlorocebus_sabaeus ENSCSAG00000016760
saimiri_boliviensis_boliviensis ENSSBOG00000021551
cebus_capucinus ENSCCAG00000036280
callithrix_jacchus ENSCJAG00000011665
aotus_nancymaae ENSANAG00000031940
chinchilla_lanigera ENSCLAG00000001438
cavia_porcellus ENSCPOG00000008648
heterocephalus_glaber_male ENSHGLG00100003188
heterocephalus_glaber_female ENSHGLG00000003793
castor_canadensis ENSCCNG00000023113
peromyscus_maniculatus_bairdii ENSPEMG00000000356
microtus_ochrogaster ENSMOCG00000002197
mesocricetus_auratus ENSMAUG00000018098
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031000
mus_musculus ENSMUSG00000031596
mus_pahari MGP_PahariEiJ_G0021469
rattus_norvegicus ENSRNOG00000011016
jaculus_jaculus ENSJJAG00000001903
echinops_telfairi ENSETEG00000008286
choloepus_hoffmanni ENSCHOG00000003671
dasypus_novemcinctus ENSDNOG00000011346
loxodonta_africana ENSLAFG00000001435
procavia_capensis ENSPCAG00000016191
capra_hircus ENSCHIG00000025670
ovis_aries ENSOARG00000009272
bos_mutus ENSBMUG00000023637
bos_taurus ENSBTAG00000010085
bison_bison_bison ENSBBBG00000013915
tursiops_truncatus ENSTTRG00000003423
myotis_lucifugus ENSMLUG00000007807
phascolarctos_cinereus ENSPCIG00000007667
notamacropus_eugenii ENSMEUG00000007289
sarcophilus_harrisii ENSSHAG00000010199
monodelphis_domestica ENSMODG00000019050
ornithorhynchus_anatinus ENSOANG00000005840
xenopus_tropicalis ENSXETG00000000683
latimeria_chalumnae ENSLACG00000004392
lepisosteus_oculatus ENSLOCG00000013912
