bos_mutus ENSBMUG00000019428
bos_taurus ENSBTAG00000031188
bison_bison_bison ENSBBBG00000000950
capra_hircus ENSCHIG00000025156
ovis_aries ENSOARG00000019100
tursiops_truncatus ENSTTRG00000007670
sus_scrofa ENSSSCG00000007346
equus_caballus ENSECAG00000019945
equus_asinus_asinus ENSEASG00005023477
ursus_maritimus ENSUMAG00000003449
mustela_putorius_furo ENSMPUG00000017738
canis_lupus_dingo ENSCAFG00020012710
vulpes_vulpes ENSVVUG00000029255
panthera_tigris_altaica ENSPTIG00000020713
panthera_pardus ENSPPRG00000001139
felis_catus ENSFCAG00000034815
erinaceus_europaeus ENSEEUG00000000450
myotis_lucifugus ENSMLUG00000023053
pteropus_vampyrus ENSPVAG00000010205
peromyscus_maniculatus_bairdii ENSPEMG00000025991
microtus_ochrogaster ENSMOCG00000004929
cricetulus_griseus_crigri ENSCGRG00000015467
cricetulus_griseus_chok1gshd ENSCGRG00001022518
cricetulus_griseus_crigri-picr ENSCGRG00015023976
mesocricetus_auratus ENSMAUG00000016178
rattus_norvegicus ENSRNOG00000058375
rattus_norvegicus ENSRNOG00000050625
mus_spicilegus ENSMSIG00000015625
mus_musculus ENSMUSG00000044405
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025511
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024589
mus_pahari MGP_PahariEiJ_G0026033
meriones_unguiculatus ENSMUGG00000020101
nannospalax_galili ENSNGAG00000004874
jaculus_jaculus ENSJJAG00000017005
spermophilus_dauricus ENSSDAG00000011526
marmota_marmota_marmota ENSMMMG00000015285
urocitellus_parryii ENSUPAG00010002464
ictidomys_tridecemlineatus ENSSTOG00000029991
chinchilla_lanigera ENSCLAG00000010538
castor_canadensis ENSCCNG00000004892
dipodomys_ordii ENSDORG00000027370
oryctolagus_cuniculus ENSOCUG00000026300
ochotona_princeps ENSOPRG00000013512
rhinopithecus_bieti ENSRBIG00000030999
rhinopithecus_roxellana ENSRROG00000031975
colobus_angolensis_palliatus ENSCANG00000042524
theropithecus_gelada ENSTGEG00000000490
papio_anubis ENSPANG00000000626
mandrillus_leucophaeus ENSMLEG00000043534
macaca_nemestrina ENSMNEG00000031231
macaca_fascicularis ENSMFAG00000043148
cercocebus_atys ENSCATG00000032643
chlorocebus_sabaeus ENSCSAG00000013855
pan_paniscus ENSPPAG00000034057
pan_troglodytes ENSPTRG00000013489
gorilla_gorilla ENSGGOG00000005042
homo_sapiens ENSG00000182035
pongo_abelii ENSPPYG00000011001
nomascus_leucogenys ENSNLEG00000027023
cebus_capucinus ENSCCAG00000037897
saimiri_boliviensis_boliviensis ENSSBOG00000019676
callithrix_jacchus ENSCJAG00000041176
aotus_nancymaae ENSANAG00000035948
carlito_syrichta ENSTSYG00000031836
microcebus_murinus ENSMICG00000032945
prolemur_simus ENSPSMG00000025219
tupaia_belangeri ENSTBEG00000000445
dasypus_novemcinctus ENSDNOG00000035389
procavia_capensis ENSPCAG00000005668
