chinchilla_lanigera ENSCLAG00000001198
dipodomys_ordii ENSDORG00000003698
macaca_nemestrina ENSMNEG00000028677
cercocebus_atys ENSCATG00000028631
papio_anubis ENSPANG00000022052
theropithecus_gelada ENSTGEG00000024340
cercocebus_atys ENSCATG00000031856
mandrillus_leucophaeus ENSMLEG00000016078
macaca_nemestrina ENSMNEG00000033249
papio_anubis ENSPANG00000036148
colobus_angolensis_palliatus ENSCANG00000000306
pan_troglodytes ENSPTRG00000041803
pan_paniscus ENSPPAG00000027085
homo_sapiens ENSG00000227471
gorilla_gorilla ENSGGOG00000012293
gorilla_gorilla ENSGGOG00000025461
macaca_mulatta ENSMMUG00000041872
macaca_nemestrina ENSMNEG00000041401
papio_anubis ENSPANG00000029566
mandrillus_leucophaeus ENSMLEG00000040171
colobus_angolensis_palliatus ENSCANG00000032448
mandrillus_leucophaeus ENSMLEG00000027846
mandrillus_leucophaeus ENSMLEG00000027724
theropithecus_gelada ENSTGEG00000013219
aotus_nancymaae ENSANAG00000028009
equus_asinus_asinus ENSEASG00005016500
ursus_americanus ENSUAMG00000002824
