anas_platyrhynchos ENSAPLG00000016671
anser_brachyrhynchus ENSABRG00000003752
gallus_gallus ENSGALG00000047589
cyanistes_caeruleus ENSCCEG00000020986
calidris_pugnax ENSCPUG00000013717
crocodylus_porosus ENSCPRG00005001798
peromyscus_maniculatus ENSPEMG00000029888
cricetulus_griseus ENSCGRG00015021540
pan_troglodytes ENSPTRG00000043674
nomascus_leucogenys ENSNLEG00000029633
piliocolobus_tephrosceles ENSPTEG00000008348
rhinopithecus_roxellana ENSRROG00000014074
macaca_fascicularis ENSMFAG00000022366
macaca_nemestrina ENSMNEG00000011383
mandrillus_leucophaeus ENSMLEG00000016267
equus_caballus ENSECAG00000032072
equus_asinus ENSEASG00005004154
panthera_pardus ENSPPRG00000014502
xenopus_tropicalis ENSXETG00000001329
paramormyrops_kingsleyae ENSPKIG00000021516
