macaca_fascicularis ENSMFAG00000028947
macaca_nemestrina ENSMNEG00000027386
cercocebus_atys ENSCATG00000019923
theropithecus_gelada ENSTGEG00000001673
mandrillus_leucophaeus ENSMLEG00000000828
papio_anubis ENSPANG00000035130
colobus_angolensis ENSCANG00000037395
pan_troglodytes ENSPTRG00000048418
pan_paniscus ENSPPAG00000032119
gorilla_gorilla ENSGGOG00000026367
rhinopithecus_bieti ENSRBIG00000029455
rhinopithecus_roxellana ENSRROG00000039558
pongo_abelii ENSPPYG00000004093
nomascus_leucogenys ENSNLEG00000033095
cebus_capucinus ENSCCAG00000025149
aotus_nancymaae ENSANAG00000022182
propithecus_coquereli ENSPCOG00000026023
microcebus_murinus ENSMICG00000042926
