parus_major ENSPMJG00000017662
cyanistes_caeruleus ENSCCEG00000023878
ficedula_albicollis ENSFALG00000000450
zonotrichia_albicollis ENSZALG00000011986
junco_hyemalis ENSJHYG00000005020
serinus_canaria ENSSCAG00000004593
lonchura_striata_domestica ENSLSDG00000017467
manacus_vitellinus ENSMVIG00005013158
lepidothrix_coronata ENSLCOG00000011893
calidris_pygmaea ENSCPGG00000002291
calidris_pugnax ENSCPUG00000014778
melopsittacus_undulatus ENSMUNG00000003646
anser_brachyrhynchus ENSABRG00000016525
anas_platyrhynchos_platyrhynchos ENSAPLG00000026645
coturnix_japonica ENSCJPG00005001806
meleagris_gallopavo ENSMGAG00000015146
numida_meleagris ENSNMEG00000019569
apteryx_owenii ENSAOWG00000005284
apteryx_rowi ENSARWG00000016972
apteryx_haastii ENSAHAG00000012493
dromaius_novaehollandiae ENSDNVG00000010854
nothoprocta_perdicaria ENSNPEG00000006861
crocodylus_porosus ENSCPRG00005013288
gopherus_agassizii ENSGAGG00000013868
chelonoidis_abingdonii ENSCABG00000002376
chrysemys_picta_bellii ENSCPBG00000021686
pogona_vitticeps ENSPVIG00000014690
notechis_scutatus ENSNSUG00000016553
anolis_carolinensis ENSACAG00000025912
salvator_merianae ENSSMRG00000010889
loxodonta_africana ENSLAFG00000008891
procavia_capensis ENSPCAG00000014893
echinops_telfairi ENSETEG00000011682
choloepus_hoffmanni ENSCHOG00000003052
dasypus_novemcinctus ENSDNOG00000018145
ovis_aries ENSOARG00000012541
capra_hircus ENSCHIG00000023120
bos_mutus ENSBMUG00000007079
bos_taurus ENSBTAG00000008253
bison_bison_bison ENSBBBG00000008187
tursiops_truncatus ENSTTRG00000006067
sus_scrofa ENSSSCG00000015010
vicugna_pacos ENSVPAG00000001820
ursus_americanus ENSUAMG00000014159
ursus_maritimus ENSUMAG00000007368
ailuropoda_melanoleuca ENSAMEG00000009285
mustela_putorius_furo ENSMPUG00000005933
neovison_vison ENSNVIG00000024504
canis_lupus_familiaris ENSCAFG00000014332
canis_lupus_dingo ENSCAFG00020007067
vulpes_vulpes ENSVVUG00000015475
equus_caballus ENSECAG00000008643
equus_asinus_asinus ENSEASG00005010113
pteropus_vampyrus ENSPVAG00000007369
myotis_lucifugus ENSMLUG00000008542
erinaceus_europaeus ENSEEUG00000003659
sorex_araneus ENSSARG00000004034
pan_paniscus ENSPPAG00000004529
pan_troglodytes ENSPTRG00000004254
homo_sapiens ENSG00000110723
gorilla_gorilla ENSGGOG00000001262
nomascus_leucogenys ENSNLEG00000007241
papio_anubis ENSPANG00000003385
theropithecus_gelada ENSTGEG00000016403
cercocebus_atys ENSCATG00000031656
mandrillus_leucophaeus ENSMLEG00000031409
macaca_nemestrina ENSMNEG00000005435
macaca_mulatta ENSMMUG00000000797
macaca_fascicularis ENSMFAG00000018860
chlorocebus_sabaeus ENSCSAG00000002951
rhinopithecus_roxellana ENSRROG00000013019
rhinopithecus_bieti ENSRBIG00000039020
piliocolobus_tephrosceles ENSPTEG00000029069
colobus_angolensis_palliatus ENSCANG00000027835
cebus_capucinus ENSCCAG00000026428
saimiri_boliviensis_boliviensis ENSSBOG00000028131
callithrix_jacchus ENSCJAG00000042417
aotus_nancymaae ENSANAG00000019766
carlito_syrichta ENSTSYG00000013893
microcebus_murinus ENSMICG00000044911
propithecus_coquereli ENSPCOG00000018196
prolemur_simus ENSPSMG00000011488
otolemur_garnettii ENSOGAG00000024459
tupaia_belangeri ENSTBEG00000005282
mus_spicilegus ENSMSIG00000002225
mus_musculus ENSMUSG00000034584
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033353
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032213
mus_pahari MGP_PahariEiJ_G0015081
rattus_norvegicus ENSRNOG00000025115
meriones_unguiculatus ENSMUGG00000007162
cricetulus_griseus_crigri ENSCGRG00000000250
cricetulus_griseus_chok1gshd ENSCGRG00001023400
cricetulus_griseus_crigri-picr ENSCGRG00015026572
mesocricetus_auratus ENSMAUG00000006496
peromyscus_maniculatus_bairdii ENSPEMG00000015667
microtus_ochrogaster ENSMOCG00000014944
nannospalax_galili ENSNGAG00000016578
jaculus_jaculus ENSJJAG00000021356
dipodomys_ordii ENSDORG00000015514
heterocephalus_glaber_female ENSHGLG00000014629
heterocephalus_glaber_male ENSHGLG00100010439
fukomys_damarensis ENSFDAG00000014294
chinchilla_lanigera ENSCLAG00000014388
cavia_porcellus ENSCPOG00000033722
octodon_degus ENSODEG00000012829
urocitellus_parryii ENSUPAG00010008610
ictidomys_tridecemlineatus ENSSTOG00000004543
spermophilus_dauricus ENSSDAG00000011285
marmota_marmota_marmota ENSMMMG00000000379
oryctolagus_cuniculus ENSOCUG00000016757
ochotona_princeps ENSOPRG00000004241
phascolarctos_cinereus ENSPCIG00000002845
notamacropus_eugenii ENSMEUG00000009030
sarcophilus_harrisii ENSSHAG00000010090
monodelphis_domestica ENSMODG00000014611
ornithorhynchus_anatinus ENSOANG00000014097
