dromaius_novaehollandiae ENSDNVG00000011792
anas_platyrhynchos_platyrhynchos ENSAPLG00000027301
chrysemys_picta_bellii ENSCPBG00000022501
anolis_carolinensis ENSACAG00000007286
apteryx_rowi ENSARWG00000010813
apteryx_owenii ENSAOWG00000006320
nothoprocta_perdicaria ENSNPEG00000002484
gallus_gallus ENSGALG00000028983
coturnix_japonica ENSCJPG00005012532
numida_meleagris ENSNMEG00000007771
lonchura_striata_domestica ENSLSDG00000000794
taeniopygia_guttata ENSTGUG00000002921
serinus_canaria ENSSCAG00000015054
junco_hyemalis ENSJHYG00000005781
zonotrichia_albicollis ENSZALG00000011304
ficedula_albicollis ENSFALG00000009435
parus_major ENSPMJG00000001476
lepidothrix_coronata ENSLCOG00000001688
calidris_pygmaea ENSCPGG00000004770
calidris_pugnax ENSCPUG00000010834
crocodylus_porosus ENSCPRG00005016101
chelonoidis_abingdonii ENSCABG00000019531
gopherus_agassizii ENSGAGG00000024739
notechis_scutatus ENSNSUG00000011828
notechis_scutatus ENSNSUG00000005653
pogona_vitticeps ENSPVIG00000015318
ornithorhynchus_anatinus ENSOANG00000009170
xenopus_tropicalis ENSXETG00000000724
latimeria_chalumnae ENSLACG00000017369
amphiprion_ocellaris ENSAOCG00000003903
acanthochromis_polyacanthus ENSAPOG00000017744
stegastes_partitus ENSSPAG00000012814
astatotilapia_calliptera ENSACLG00000003565
pundamilia_nyererei ENSPNYG00000015171
maylandia_zebra ENSMZEG00005014077
haplochromis_burtoni ENSHBUG00000017541
neolamprologus_brichardi ENSNBRG00000016323
oreochromis_niloticus ENSONIG00000002965
amphilophus_citrinellus ENSACIG00000016147
labrus_bergylta ENSLBEG00000009261
gasterosteus_aculeatus ENSGACG00000008310
monopterus_albus ENSMALG00000011214
mastacembelus_armatus ENSMAMG00000013458
anabas_testudineus ENSATEG00000005978
seriola_lalandi_dorsalis ENSSLDG00000014900
seriola_dumerili ENSSDUG00000001099
takifugu_rubripes ENSTRUG00000021837
tetraodon_nigroviridis ENSTNIG00000001769
mola_mola ENSMMOG00000001503
hippocampus_comes ENSHCOG00000000165
gambusia_affinis ENSGAFG00000005567
xiphophorus_maculatus ENSXMAG00000013906
poecilia_formosa ENSPFOG00000003793
poecilia_latipinna ENSPLAG00000015324
poecilia_mexicana ENSPMEG00000001446
poecilia_reticulata ENSPREG00000001346
fundulus_heteroclitus ENSFHEG00000015199
cyprinodon_variegatus ENSCVAG00000012142
kryptolebias_marmoratus ENSKMAG00000014986
oryzias_latipes ENSORLG00000007620
oryzias_latipes ENSORLG00020015298
oryzias_latipes_asm223469v1 ENSORLG00015021400
oryzias_melastigma ENSOMEG00000020924
cynoglossus_semilaevis ENSCSEG00000004783
scophthalmus_maximus ENSSMAG00000000069
periophthalmus_magnuspinnatus ENSPMGG00000011781
gadus_morhua ENSGMOG00000012111
esox_lucius ENSELUG00000007855
ictalurus_punctatus ENSIPUG00000003099
pygocentrus_nattereri ENSPNAG00000008979
danio_rerio ENSDARG00000056819
oryzias_melastigma ENSOMEG00000001501
poecilia_reticulata ENSPREG00000006760
neolamprologus_brichardi ENSNBRG00000009407
gasterosteus_aculeatus ENSGACG00000011902
stegastes_partitus ENSSPAG00000011535
scleropages_formosus ENSSFOG00015021639
paramormyrops_kingsleyae ENSPKIG00000009363
paramormyrops_kingsleyae ENSPKIG00000000219
scleropages_formosus ENSSFOG00015013564
danio_rerio ENSDARG00000105013
ictalurus_punctatus ENSIPUG00000011781
lepisosteus_oculatus ENSLOCG00000011824
eptatretus_burgeri ENSEBUG00000011857
eptatretus_burgeri ENSEBUG00000011200
