coturnix_japonica ENSCJPG00005019218
meleagris_gallopavo ENSMGAG00000012667
gallus_gallus ENSGALG00000010232
numida_meleagris ENSNMEG00000022360
anser_brachyrhynchus ENSABRG00000007556
anas_platyrhynchos_platyrhynchos ENSAPLG00000015007
lonchura_striata_domestica ENSLSDG00000002625
taeniopygia_guttata ENSTGUG00000012125
serinus_canaria ENSSCAG00000010157
junco_hyemalis ENSJHYG00000011119
zonotrichia_albicollis ENSZALG00000002495
ficedula_albicollis ENSFALG00000015230
cyanistes_caeruleus ENSCCEG00000004890
parus_major ENSPMJG00000016698
manacus_vitellinus ENSMVIG00005003048
lepidothrix_coronata ENSLCOG00000015996
melopsittacus_undulatus ENSMUNG00000010206
calidris_pygmaea ENSCPGG00000004986
calidris_pugnax ENSCPUG00000001927
apteryx_owenii ENSAOWG00000017042
apteryx_haastii ENSAHAG00000002744
apteryx_rowi ENSARWG00000010740
dromaius_novaehollandiae ENSDNVG00000001705
crocodylus_porosus ENSCPRG00005004144
gopherus_agassizii ENSGAGG00000012806
chelonoidis_abingdonii ENSCABG00000022701
chrysemys_picta_bellii ENSCPBG00000026225
pelodiscus_sinensis ENSPSIG00000000381
pogona_vitticeps ENSPVIG00000020047
anolis_carolinensis ENSACAG00000016464
notechis_scutatus ENSNSUG00000003032
salvator_merianae ENSSMRG00000012633
phascolarctos_cinereus ENSPCIG00000008700
monodelphis_domestica ENSMODG00000006340
sarcophilus_harrisii ENSSHAG00000018786
cavia_aperea ENSCAPG00000007058
cavia_porcellus ENSCPOG00000038635
heterocephalus_glaber_female ENSHGLG00000015977
heterocephalus_glaber_male ENSHGLG00100014681
chinchilla_lanigera ENSCLAG00000006514
octodon_degus ENSODEG00000015577
ictidomys_tridecemlineatus ENSSTOG00000021434
spermophilus_dauricus ENSSDAG00000019484
urocitellus_parryii ENSUPAG00010014491
marmota_marmota_marmota ENSMMMG00000016304
microtus_ochrogaster ENSMOCG00000011795
peromyscus_maniculatus_bairdii ENSPEMG00000020660
mesocricetus_auratus ENSMAUG00000017258
mesocricetus_auratus ENSMAUG00000012177
cricetulus_griseus_chok1gshd ENSCGRG00001013127
cricetulus_griseus_crigri-picr ENSCGRG00015000320
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018793
mus_musculus ENSMUSG00000071235
mus_spicilegus ENSMSIG00000004123
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017948
mus_pahari MGP_PahariEiJ_G0029707
rattus_norvegicus ENSRNOG00000048378
meriones_unguiculatus ENSMUGG00000014834
jaculus_jaculus ENSJJAG00000008057
dipodomys_ordii ENSDORG00000010914
oryctolagus_cuniculus ENSOCUG00000027081
ochotona_princeps ENSOPRG00000004716
prolemur_simus ENSPSMG00000017820
otolemur_garnettii ENSOGAG00000024981
macaca_fascicularis ENSMFAG00000011666
macaca_mulatta ENSMMUG00000012383
macaca_nemestrina ENSMNEG00000001103
cercocebus_atys ENSCATG00000016010
theropithecus_gelada ENSTGEG00000024075
mandrillus_leucophaeus ENSMLEG00000011469
chlorocebus_sabaeus ENSCSAG00000019573
colobus_angolensis_palliatus ENSCANG00000004586
piliocolobus_tephrosceles ENSPTEG00000027550
rhinopithecus_bieti ENSRBIG00000024397
rhinopithecus_roxellana ENSRROG00000010435
pan_paniscus ENSPPAG00000016158
pan_troglodytes ENSPTRG00000030698
homo_sapiens ENSG00000133980
gorilla_gorilla ENSGGOG00000000437
cebus_capucinus ENSCCAG00000019702
callithrix_jacchus ENSCJAG00000039224
equus_caballus ENSECAG00000038256
equus_asinus_asinus ENSEASG00005011680
pteropus_vampyrus ENSPVAG00000000649
sus_scrofa ENSSSCG00000002361
vicugna_pacos ENSVPAG00000000814
bos_taurus ENSBTAG00000005774
bison_bison_bison ENSBBBG00000003129
capra_hircus ENSCHIG00000022707
neovison_vison ENSNVIG00000016057
mustela_putorius_furo ENSMPUG00000019665
ursus_americanus ENSUAMG00000002095
canis_lupus_dingo ENSCAFG00020003595
canis_lupus_familiaris ENSCAFG00000016930
vulpes_vulpes ENSVVUG00000005086
panthera_tigris_altaica ENSPTIG00000016173
dasypus_novemcinctus ENSDNOG00000004174
dasypus_novemcinctus ENSDNOG00000040052
loxodonta_africana ENSLAFG00000026239
echinops_telfairi ENSETEG00000002054
latimeria_chalumnae ENSLACG00000018560
paramormyrops_kingsleyae ENSPKIG00000000527
scleropages_formosus ENSSFOG00015016789
mola_mola ENSMMOG00000015025
labrus_bergylta ENSLBEG00000024210
gasterosteus_aculeatus ENSGACG00000012930
scophthalmus_maximus ENSSMAG00000007125
cynoglossus_semilaevis ENSCSEG00000000482
seriola_dumerili ENSSDUG00000009896
seriola_lalandi_dorsalis ENSSLDG00000000562
monopterus_albus ENSMALG00000016693
mastacembelus_armatus ENSMAMG00000013669
anabas_testudineus ENSATEG00000001075
xiphophorus_couchianus ENSXCOG00000007562
xiphophorus_maculatus ENSXMAG00000013515
gambusia_affinis ENSGAFG00000006465
poecilia_mexicana ENSPMEG00000008576
