ictalurus_punctatus ENSIPUG00000001944
danio_rerio ENSDARG00000097776
danio_rerio ENSDARG00000097059
danio_rerio ENSDARG00000113299
danio_rerio ENSDARG00000094859
poecilia_reticulata ENSPREG00000019682
poecilia_formosa ENSPFOG00000022275
xiphophorus_couchianus ENSXCOG00000006324
oryzias_melastigma ENSOMEG00000020134
oryzias_melastigma ENSOMEG00000009369
amphiprion_percula ENSAPEG00000022166
amphiprion_percula ENSAPEG00000001457
cynoglossus_semilaevis ENSCSEG00000014423
paramormyrops_kingsleyae ENSPKIG00000010820
paramormyrops_kingsleyae ENSPKIG00000001910
amphiprion_percula ENSAPEG00000019115
eptatretus_burgeri ENSEBUG00000008285
eptatretus_burgeri ENSEBUG00000015184
eptatretus_burgeri ENSEBUG00000002716
