rhinopithecus_roxellana ENSRROG00000028548
rhinopithecus_bieti ENSRBIG00000035571
piliocolobus_tephrosceles ENSPTEG00000006144
colobus_angolensis_palliatus ENSCANG00000041265
theropithecus_gelada ENSTGEG00000003557
pan_troglodytes ENSPTRG00000051147
pan_paniscus ENSPPAG00000043061
gorilla_gorilla ENSGGOG00000042071
pongo_abelii ENSPPYG00000015635
aotus_nancymaae ENSANAG00000021287
saimiri_boliviensis_boliviensis ENSSBOG00000019818
tupaia_belangeri ENSTBEG00000012456
equus_asinus_asinus ENSEASG00005019494
equus_caballus ENSECAG00000031828
panthera_pardus ENSPPRG00000004551
panthera_tigris_altaica ENSPTIG00000010431
felis_catus ENSFCAG00000038510
