anabas_testudineus ENSATEG00000019051
gasterosteus_aculeatus ENSGACG00000019428
poecilia_mexicana ENSPMEG00000014706
poecilia_latipinna ENSPLAG00000000976
poecilia_reticulata ENSPREG00000014209
cyprinodon_variegatus ENSCVAG00000016169
kryptolebias_marmoratus ENSKMAG00000001414
oryzias_latipes ENSORLG00000006005
oryzias_latipes ENSORLG00020010930
cynoglossus_semilaevis ENSCSEG00000002457
periophthalmus_magnuspinnatus ENSPMGG00000018443
gadus_morhua ENSGMOG00000016671
ictalurus_punctatus ENSIPUG00000018526
pygocentrus_nattereri ENSPNAG00000018192
danio_rerio ENSDARG00000099518
scleropages_formosus ENSSFOG00015012850
