anabas_testudineus ENSATEG00000015902
mastacembelus_armatus ENSMAMG00000002140
haplochromis_burtoni ENSHBUG00000016518
maylandia_zebra ENSMZEG00005023227
astatotilapia_calliptera ENSACLG00000024988
neolamprologus_brichardi ENSNBRG00000006976
amphilophus_citrinellus ENSACIG00000023641
acanthochromis_polyacanthus ENSAPOG00000018280
labrus_bergylta ENSLBEG00000021640
seriola_dumerili ENSSDUG00000021478
periophthalmus_magnuspinnatus ENSPMGG00000000107
paramormyrops_kingsleyae ENSPKIG00000003123
sphenodon_punctatus ENSSPUG00000012730
gallus_gallus ENSGALG00000049171
bison_bison_bison ENSBBBG00000008951
bos_mutus ENSBMUG00000000279
capra_hircus ENSCHIG00000021811
sus_scrofa ENSSSCG00000039108
prolemur_simus ENSPSMG00000007223
