seriola_dumerili ENSSDUG00000022437
seriola_lalandi_dorsalis ENSSLDG00000004395
scophthalmus_maximus ENSSMAG00000010124
amphiprion_ocellaris ENSAOCG00000004270
amphiprion_percula ENSAPEG00000015057
stegastes_partitus ENSSPAG00000018293
poecilia_reticulata ENSPREG00000009196
poecilia_mexicana ENSPMEG00000015822
cyprinodon_variegatus ENSCVAG00000012621
kryptolebias_marmoratus ENSKMAG00000005663
maylandia_zebra ENSMZEG00005012751
haplochromis_burtoni ENSHBUG00000011642
astatotilapia_calliptera ENSACLG00000018046
pundamilia_nyererei ENSPNYG00000004427
monopterus_albus ENSMALG00000000508
labrus_bergylta ENSLBEG00000022733
labrus_bergylta ENSLBEG00000015670
periophthalmus_magnuspinnatus ENSPMGG00000012654
scleropages_formosus ENSSFOG00015009963
