urocitellus_parryii ENSUPAG00010008082
spermophilus_dauricus ENSSDAG00000019194
mus_spretus MGP_SPRETEiJ_G0023083
mus_spicilegus ENSMSIG00000001692
mus_musculus ENSMUSG00000046387
mus_caroli MGP_CAROLIEiJ_G0022173
mus_pahari MGP_PahariEiJ_G0018907
rattus_norvegicus ENSRNOG00000039471
cricetulus_griseus ENSCGRG00015000239
cricetulus_griseus ENSCGRG00001011841
castor_canadensis ENSCCNG00000009902
octodon_degus ENSODEG00000012330
panthera_pardus ENSPPRG00000013137
panthera_tigris ENSPTIG00000005336
ursus_americanus ENSUAMG00000000138
equus_caballus ENSECAG00000041102
bos_indicus ENSBIXG00000026368
bos_indicus ENSBIXG00005002460
tursiops_truncatus ENSTTRG00000004948
vicugna_pacos ENSVPAG00000000760
myotis_lucifugus ENSMLUG00000013737
pteropus_vampyrus ENSPVAG00000002363
sorex_araneus ENSSARG00000011724
canis_lupus ENSCAFG00000043743
oryctolagus_cuniculus ENSOCUG00000039460
pan_troglodytes ENSPTRG00000017338
pan_paniscus ENSPPAG00000030932
homo_sapiens ENSG00000272674
piliocolobus_tephrosceles ENSPTEG00000027672
rhinopithecus_bieti ENSRBIG00000040872
callithrix_jacchus ENSCJAG00000061354
aotus_nancymaae ENSANAG00000029635
prolemur_simus ENSPSMG00000020800
procavia_capensis ENSPCAG00000002871
