dipodomys_ordii ENSDORG00000026793
castor_canadensis ENSCCNG00000007550
peromyscus_maniculatus_bairdii ENSPEMG00000019341
microtus_ochrogaster ENSMOCG00000001550
cricetulus_griseus_crigri ENSCGRG00000016968
cricetulus_griseus_crigri-picr ENSCGRG00015018172
cricetulus_griseus_chok1gshd ENSCGRG00001019634
mus_musculus ENSMUSG00000094445
mus_spicilegus ENSMSIG00000011567
rattus_norvegicus ENSRNOG00000049297
meriones_unguiculatus ENSMUGG00000009567
nannospalax_galili ENSNGAG00000012966
jaculus_jaculus ENSJJAG00000018291
chinchilla_lanigera ENSCLAG00000002769
octodon_degus ENSODEG00000000686
cavia_porcellus ENSCPOG00000038407
ictidomys_tridecemlineatus ENSSTOG00000029735
spermophilus_dauricus ENSSDAG00000018336
urocitellus_parryii ENSUPAG00010003796
marmota_marmota_marmota ENSMMMG00000006624
pan_troglodytes ENSPTRG00000043842
homo_sapiens ENSG00000255359
gorilla_gorilla ENSGGOG00000042339
nomascus_leucogenys ENSNLEG00000017840
macaca_fascicularis ENSMFAG00000025211
macaca_mulatta ENSMMUG00000048281
chlorocebus_sabaeus ENSCSAG00000005178
papio_anubis ENSPANG00000007183
cercocebus_atys ENSCATG00000025676
theropithecus_gelada ENSTGEG00000007535
mandrillus_leucophaeus ENSMLEG00000027673
rhinopithecus_roxellana ENSRROG00000040641
rhinopithecus_bieti ENSRBIG00000035144
colobus_angolensis_palliatus ENSCANG00000026566
macaca_nemestrina ENSMNEG00000041862
piliocolobus_tephrosceles ENSPTEG00000021709
cebus_capucinus ENSCCAG00000021958
callithrix_jacchus ENSCJAG00000043187
saimiri_boliviensis_boliviensis ENSSBOG00000029408
aotus_nancymaae ENSANAG00000030477
carlito_syrichta ENSTSYG00000026140
prolemur_simus ENSPSMG00000019576
microcebus_murinus ENSMICG00000030596
propithecus_coquereli ENSPCOG00000002887
canis_lupus_familiaris ENSCAFG00000032293
vulpes_vulpes ENSVVUG00000009770
neovison_vison ENSNVIG00000016991
panthera_tigris_altaica ENSPTIG00000013494
panthera_pardus ENSPPRG00000015088
felis_catus ENSFCAG00000043118
bison_bison_bison ENSBBBG00000013691
