junco_hyemalis ENSJHYG00000017191
zonotrichia_albicollis ENSZALG00000009008
serinus_canaria ENSSCAG00000013481
taeniopygia_guttata ENSTGUG00000005861
lonchura_striata_domestica ENSLSDG00000006786
cyanistes_caeruleus ENSCCEG00000009175
parus_major ENSPMJG00000010939
ficedula_albicollis ENSFALG00000010220
lepidothrix_coronata ENSLCOG00000014536
manacus_vitellinus ENSMVIG00005008146
melopsittacus_undulatus ENSMUNG00000015763
calidris_pygmaea ENSCPGG00000019525
calidris_pugnax ENSCPUG00000007816
anser_brachyrhynchus ENSABRG00000005205
anas_platyrhynchos_platyrhynchos ENSAPLG00000003314
gallus_gallus ENSGALG00000009572
coturnix_japonica ENSCJPG00005013409
meleagris_gallopavo ENSMGAG00000009481
numida_meleagris ENSNMEG00000011252
apteryx_owenii ENSAOWG00000014105
apteryx_rowi ENSARWG00000018271
apteryx_haastii ENSAHAG00000007055
dromaius_novaehollandiae ENSDNVG00000001091
nothoprocta_perdicaria ENSNPEG00000004896
crocodylus_porosus ENSCPRG00005009043
chelonoidis_abingdonii ENSCABG00000004999
gopherus_agassizii ENSGAGG00000003550
chrysemys_picta_bellii ENSCPBG00000015412
pelodiscus_sinensis ENSPSIG00000013955
anolis_carolinensis ENSACAG00000003071
pogona_vitticeps ENSPVIG00000015931
salvator_merianae ENSSMRG00000015811
sphenodon_punctatus ENSSPUG00000009668
bos_mutus ENSBMUG00000020214
bos_taurus ENSBTAG00000000395
bison_bison_bison ENSBBBG00000015661
ovis_aries ENSOARG00000019717
capra_hircus ENSCHIG00000027074
tursiops_truncatus ENSTTRG00000010127
sus_scrofa ENSSSCG00000000795
vicugna_pacos ENSVPAG00000001499
equus_asinus_asinus ENSEASG00005023494
equus_caballus ENSECAG00000020835
ursus_maritimus ENSUMAG00000024203
ursus_americanus ENSUAMG00000001300
ailuropoda_melanoleuca ENSAMEG00000017294
mustela_putorius_furo ENSMPUG00000000352
neovison_vison ENSNVIG00000007207
canis_lupus_familiaris ENSCAFG00000009744
canis_lupus_dingo ENSCAFG00020010483
vulpes_vulpes ENSVVUG00000016835
panthera_tigris_altaica ENSPTIG00000017347
panthera_pardus ENSPPRG00000001433
felis_catus ENSFCAG00000010889
pteropus_vampyrus ENSPVAG00000015494
myotis_lucifugus ENSMLUG00000006566
sorex_araneus ENSSARG00000010775
erinaceus_europaeus ENSEEUG00000012986
chinchilla_lanigera ENSCLAG00000005016
octodon_degus ENSODEG00000003382
cavia_porcellus ENSCPOG00000005119
cavia_aperea ENSCAPG00000011728
heterocephalus_glaber_male ENSHGLG00100012253
heterocephalus_glaber_female ENSHGLG00000004720
fukomys_damarensis ENSFDAG00000007646
urocitellus_parryii ENSUPAG00010000990
ictidomys_tridecemlineatus ENSSTOG00000012059
spermophilus_dauricus ENSSDAG00000010303
marmota_marmota_marmota ENSMMMG00000022568
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021090
mus_spicilegus ENSMSIG00000020830
mus_musculus ENSMUSG00000022449
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020194
mus_pahari MGP_PahariEiJ_G0020198
rattus_norvegicus ENSRNOG00000033397
meriones_unguiculatus ENSMUGG00000020789
peromyscus_maniculatus_bairdii ENSPEMG00000017664
microtus_ochrogaster ENSMOCG00000002582
cricetulus_griseus_crigri ENSCGRG00000000218
cricetulus_griseus_chok1gshd ENSCGRG00001009652
cricetulus_griseus_crigri-picr ENSCGRG00015001465
mesocricetus_auratus ENSMAUG00000012674
nannospalax_galili ENSNGAG00000010724
jaculus_jaculus ENSJJAG00000019070
oryctolagus_cuniculus ENSOCUG00000012959
ochotona_princeps ENSOPRG00000000453
dipodomys_ordii ENSDORG00000013168
castor_canadensis ENSCCNG00000022437
tupaia_belangeri ENSTBEG00000013104
pan_troglodytes ENSPTRG00000004841
pan_paniscus ENSPPAG00000043703
homo_sapiens ENSG00000173157
gorilla_gorilla ENSGGOG00000002541
pongo_abelii ENSPPYG00000004425
nomascus_leucogenys ENSNLEG00000017936
rhinopithecus_bieti ENSRBIG00000034418
rhinopithecus_roxellana ENSRROG00000040368
piliocolobus_tephrosceles ENSPTEG00000018231
colobus_angolensis_palliatus ENSCANG00000030427
macaca_mulatta ENSMMUG00000013942
macaca_fascicularis ENSMFAG00000043872
macaca_nemestrina ENSMNEG00000032916
cercocebus_atys ENSCATG00000040417
papio_anubis ENSPANG00000015479
theropithecus_gelada ENSTGEG00000007333
theropithecus_gelada ENSTGEG00000008049
mandrillus_leucophaeus ENSMLEG00000037772
chlorocebus_sabaeus ENSCSAG00000006963
cebus_capucinus ENSCCAG00000023155
saimiri_boliviensis_boliviensis ENSSBOG00000019557
callithrix_jacchus ENSCJAG00000013458
aotus_nancymaae ENSANAG00000037642
carlito_syrichta ENSTSYG00000008499
prolemur_simus ENSPSMG00000015278
propithecus_coquereli ENSPCOG00000017667
microcebus_murinus ENSMICG00000014631
otolemur_garnettii ENSOGAG00000007508
choloepus_hoffmanni ENSCHOG00000000955
dasypus_novemcinctus ENSDNOG00000004700
loxodonta_africana ENSLAFG00000029229
loxodonta_africana ENSLAFG00000026033
procavia_capensis ENSPCAG00000010312
echinops_telfairi ENSETEG00000014201
ailuropoda_melanoleuca ENSAMEG00000001655
eptatretus_burgeri ENSEBUG00000012433
ornithorhynchus_anatinus ENSOANG00000004962
xenopus_tropicalis ENSXETG00000006802
pogona_vitticeps ENSPVIG00000015949
takifugu_rubripes ENSTRUG00000016748
tetraodon_nigroviridis ENSTNIG00000015984
mola_mola ENSMMOG00000014632
fundulus_heteroclitus ENSFHEG00000018727
poecilia_mexicana ENSPMEG00000013687
labrus_bergylta ENSLBEG00000013401
gasterosteus_aculeatus ENSGACG00000004063
hippocampus_comes ENSHCOG00000005964
hippocampus_comes ENSHCOG00000005779
scophthalmus_maximus ENSSMAG00000007900
cynoglossus_semilaevis ENSCSEG00000007625
seriola_dumerili ENSSDUG00000022977
seriola_lalandi_dorsalis ENSSLDG00000022994
