ovis_aries ENSOARG00000011899
capra_hircus ENSCHIG00000017459
bos_mutus ENSBMUG00000011463
bos_taurus ENSBTAG00000036257
bos_taurus ENSBTAG00000047954
bos_taurus ENSBTAG00000046047
bos_taurus ENSBTAG00000022837
bos_taurus ENSBTAG00000050385
bos_taurus ENSBTAG00000047939
bos_mutus ENSBMUG00000012537
bison_bison_bison ENSBBBG00000016067
vicugna_pacos ENSVPAG00000011401
equus_asinus_asinus ENSEASG00005007014
equus_caballus ENSECAG00000035658
myotis_lucifugus ENSMLUG00000023267
tursiops_truncatus ENSTTRG00000005688
sus_scrofa ENSSSCG00000012689
ursus_maritimus ENSUMAG00000012141
ursus_americanus ENSUAMG00000016813
ailuropoda_melanoleuca ENSAMEG00000011271
mustela_putorius_furo ENSMPUG00000012657
neovison_vison ENSNVIG00000003182
canis_lupus_dingo ENSCAFG00020000153
canis_lupus_familiaris ENSCAFG00000023406
vulpes_vulpes ENSVVUG00000010511
panthera_pardus ENSPPRG00000014668
panthera_tigris_altaica ENSPTIG00000013409
felis_catus ENSFCAG00000024904
equus_caballus ENSECAG00000000619
castor_canadensis ENSCCNG00000023931
peromyscus_maniculatus_bairdii ENSPEMG00000024956
urocitellus_parryii ENSUPAG00010000316
ictidomys_tridecemlineatus ENSSTOG00000013127
marmota_marmota_marmota ENSMMMG00000013437
spermophilus_dauricus ENSSDAG00000024800
oryctolagus_cuniculus ENSOCUG00000026439
ochotona_princeps ENSOPRG00000009355
prolemur_simus ENSPSMG00000001304
prolemur_simus ENSPSMG00000002200
prolemur_simus ENSPSMG00000006550
microcebus_murinus ENSMICG00000005209
otolemur_garnettii ENSOGAG00000032383
colobus_angolensis_palliatus ENSCANG00000039072
piliocolobus_tephrosceles ENSPTEG00000012095
rhinopithecus_roxellana ENSRROG00000028561
papio_anubis ENSPANG00000020112
theropithecus_gelada ENSTGEG00000002020
mandrillus_leucophaeus ENSMLEG00000037507
macaca_mulatta ENSMMUG00000018717
macaca_nemestrina ENSMNEG00000029945
macaca_fascicularis ENSMFAG00000000746
cercocebus_atys ENSCATG00000001056
rhinopithecus_bieti ENSRBIG00000024315
chlorocebus_sabaeus ENSCSAG00000007702
pan_troglodytes ENSPTRG00000022298
pan_paniscus ENSPPAG00000036875
homo_sapiens ENSG00000186376
gorilla_gorilla ENSGGOG00000008977
pongo_abelii ENSPPYG00000020747
nomascus_leucogenys ENSNLEG00000002170
cebus_capucinus ENSCCAG00000032240
saimiri_boliviensis_boliviensis ENSSBOG00000030951
callithrix_jacchus ENSCJAG00000014531
aotus_nancymaae ENSANAG00000027727
gorilla_gorilla ENSGGOG00000026279
pongo_abelii ENSPPYG00000003724
nomascus_leucogenys ENSNLEG00000030860
rhinopithecus_roxellana ENSRROG00000029807
tupaia_belangeri ENSTBEG00000013940
loxodonta_africana ENSLAFG00000028705
loxodonta_africana ENSLAFG00000027519
bison_bison_bison ENSBBBG00000022295
phascolarctos_cinereus ENSPCIG00000010628
notamacropus_eugenii ENSMEUG00000016060
monodelphis_domestica ENSMODG00000027730
phascolarctos_cinereus ENSPCIG00000033551
sarcophilus_harrisii ENSSHAG00000016146
phascolarctos_cinereus ENSPCIG00000017089
monodelphis_domestica ENSMODG00000027869
sarcophilus_harrisii ENSSHAG00000005659
junco_hyemalis ENSJHYG00000018388
