acanthochromis_polyacanthus ENSAPOG00000001272
amphiprion_percula ENSAPEG00000003199
poecilia_reticulata ENSPREG00000021096
amphiprion_ocellaris ENSAOCG00000008406
stegastes_partitus ENSSPAG00000008974
oryzias_latipes ENSORLG00020019364
oryzias_latipes ENSORLG00000024208
neolamprologus_brichardi ENSNBRG00000016626
labrus_bergylta ENSLBEG00000029079
seriola_lalandi_dorsalis ENSSLDG00000002284
pygocentrus_nattereri ENSPNAG00000017424
paramormyrops_kingsleyae ENSPKIG00000014860
scleropages_formosus ENSSFOG00015007999
