manacus_vitellinus ENSMVIG00005000677
lepidothrix_coronata ENSLCOG00000016224
junco_hyemalis ENSJHYG00000011902
zonotrichia_albicollis ENSZALG00000017745
serinus_canaria ENSSCAG00000000942
lonchura_striata_domestica ENSLSDG00000006221
taeniopygia_guttata ENSTGUG00000009384
parus_major ENSPMJG00000018362
cyanistes_caeruleus ENSCCEG00000023361
ficedula_albicollis ENSFALG00000003536
melopsittacus_undulatus ENSMUNG00000006635
calidris_pygmaea ENSCPGG00000002438
calidris_pugnax ENSCPUG00000005303
anser_brachyrhynchus ENSABRG00000004733
anas_platyrhynchos_platyrhynchos ENSAPLG00000011547
coturnix_japonica ENSCJPG00005016736
gallus_gallus ENSGALG00000041577
meleagris_gallopavo ENSMGAG00000009146
numida_meleagris ENSNMEG00000022166
apteryx_haastii ENSAHAG00000005200
apteryx_rowi ENSARWG00000011729
apteryx_owenii ENSAOWG00000003822
dromaius_novaehollandiae ENSDNVG00000013181
nothoprocta_perdicaria ENSNPEG00000014391
crocodylus_porosus ENSCPRG00005013472
chelonoidis_abingdonii ENSCABG00000012705
gopherus_agassizii ENSGAGG00000024233
chrysemys_picta_bellii ENSCPBG00000001693
pelodiscus_sinensis ENSPSIG00000002107
anolis_carolinensis ENSACAG00000008954
pogona_vitticeps ENSPVIG00000008493
salvator_merianae ENSSMRG00000018596
notechis_scutatus ENSNSUG00000015263
sphenodon_punctatus ENSSPUG00000018758
phascolarctos_cinereus ENSPCIG00000000473
notamacropus_eugenii ENSMEUG00000014477
sarcophilus_harrisii ENSSHAG00000014028
monodelphis_domestica ENSMODG00000010369
castor_canadensis ENSCCNG00000024287
dipodomys_ordii ENSDORG00000002412
mus_musculus ENSMUSG00000027009
mus_spicilegus ENSMSIG00000031526
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024619
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023698
mus_pahari MGP_PahariEiJ_G0025149
rattus_norvegicus ENSRNOG00000004861
meriones_unguiculatus ENSMUGG00000010577
cricetulus_griseus_crigri ENSCGRG00000006748
cricetulus_griseus_crigri-picr ENSCGRG00015020414
cricetulus_griseus_chok1gshd ENSCGRG00001014691
mesocricetus_auratus ENSMAUG00000016911
microtus_ochrogaster ENSMOCG00000019485
peromyscus_maniculatus_bairdii ENSPEMG00000013847
nannospalax_galili ENSNGAG00000023288
jaculus_jaculus ENSJJAG00000021734
chinchilla_lanigera ENSCLAG00000011154
octodon_degus ENSODEG00000011915
cavia_porcellus ENSCPOG00000009479
cavia_aperea ENSCAPG00000009715
heterocephalus_glaber_female ENSHGLG00000002811
heterocephalus_glaber_male ENSHGLG00100015828
heterocephalus_glaber_male ENSHGLG00100012544
fukomys_damarensis ENSFDAG00000017728
urocitellus_parryii ENSUPAG00010005643
ictidomys_tridecemlineatus ENSSTOG00000009849
spermophilus_dauricus ENSSDAG00000015369
marmota_marmota_marmota ENSMMMG00000007234
oryctolagus_cuniculus ENSOCUG00000003008
ochotona_princeps ENSOPRG00000008550
tupaia_belangeri ENSTBEG00000007061
pan_paniscus ENSPPAG00000036435
pan_troglodytes ENSPTRG00000012700
homo_sapiens ENSG00000115232
gorilla_gorilla ENSGGOG00000025254
pongo_abelii ENSPPYG00000012988
nomascus_leucogenys ENSNLEG00000006295
rhinopithecus_bieti ENSRBIG00000040641
rhinopithecus_roxellana ENSRROG00000014136
colobus_angolensis_palliatus ENSCANG00000010967
piliocolobus_tephrosceles ENSPTEG00000018146
theropithecus_gelada ENSTGEG00000026355
papio_anubis ENSPANG00000007919
mandrillus_leucophaeus ENSMLEG00000036700
cercocebus_atys ENSCATG00000029659
macaca_mulatta ENSMMUG00000000300
macaca_fascicularis ENSMFAG00000038317
macaca_nemestrina ENSMNEG00000043695
chlorocebus_sabaeus ENSCSAG00000012902
cebus_capucinus ENSCCAG00000033915
saimiri_boliviensis_boliviensis ENSSBOG00000000272
callithrix_jacchus ENSCJAG00000011542
aotus_nancymaae ENSANAG00000023637
carlito_syrichta ENSTSYG00000008313
prolemur_simus ENSPSMG00000010331
microcebus_murinus ENSMICG00000012605
propithecus_coquereli ENSPCOG00000005136
otolemur_garnettii ENSOGAG00000016121
bos_mutus ENSBMUG00000000702
bos_taurus ENSBTAG00000009256
bison_bison_bison ENSBBBG00000005904
capra_hircus ENSCHIG00000019338
ovis_aries ENSOARG00000016867
tursiops_truncatus ENSTTRG00000016731
sus_scrofa ENSSSCG00000016009
vicugna_pacos ENSVPAG00000003961
ursus_maritimus ENSUMAG00000016766
ursus_americanus ENSUAMG00000010232
ailuropoda_melanoleuca ENSAMEG00000003158
mustela_putorius_furo ENSMPUG00000002308
neovison_vison ENSNVIG00000007000
canis_lupus_dingo ENSCAFG00020007432
canis_lupus_familiaris ENSCAFG00000014175
vulpes_vulpes ENSVVUG00000016640
panthera_pardus ENSPPRG00000022623
panthera_tigris_altaica ENSPTIG00000017681
felis_catus ENSFCAG00000010843
pteropus_vampyrus ENSPVAG00000007218
myotis_lucifugus ENSMLUG00000014215
equus_asinus_asinus ENSEASG00005022220
equus_caballus ENSECAG00000010500
sorex_araneus ENSSARG00000004582
erinaceus_europaeus ENSEEUG00000003433
choloepus_hoffmanni ENSCHOG00000002382
dasypus_novemcinctus ENSDNOG00000019241
loxodonta_africana ENSLAFG00000000610
procavia_capensis ENSPCAG00000007410
echinops_telfairi ENSETEG00000018102
ornithorhynchus_anatinus ENSOANG00000003633
