callithrix_jacchus ENSCJAG00000041403
cebus_capucinus ENSCCAG00000029988
aotus_nancymaae ENSANAG00000021970
aotus_nancymaae ENSANAG00000024930
rhinopithecus_bieti ENSRBIG00000042142
rhinopithecus_roxellana ENSRROG00000019865
theropithecus_gelada ENSTGEG00000017927
meriones_unguiculatus ENSMUGG00000011965
cricetulus_griseus_crigri-picr ENSCGRG00015003548
octodon_degus ENSODEG00000009153
chelonoidis_abingdonii ENSCABG00000007881
urocitellus_parryii ENSUPAG00010009129
cynoglossus_semilaevis ENSCSEG00000008100
