canis_lupus ENSCAFG00020019071
myotis_lucifugus ENSMLUG00000011614
echinops_telfairi ENSETEG00000000966
echinops_telfairi ENSETEG00000014504
spermophilus_dauricus ENSSDAG00000014021
cricetulus_griseus ENSCGRG00015016201
myotis_lucifugus ENSMLUG00000012434
ovis_aries ENSOARG00000014950
dasypus_novemcinctus ENSDNOG00000035231
choloepus_hoffmanni ENSCHOG00000001923
dasypus_novemcinctus ENSDNOG00000040112
echinops_telfairi ENSETEG00000017828
echinops_telfairi ENSETEG00000017335
procavia_capensis ENSPCAG00000018784
pan_troglodytes ENSPTRG00000011403
pan_paniscus ENSPPAG00000018205
homo_sapiens ENSG00000142556
gorilla_gorilla ENSGGOG00000008538
pongo_abelii ENSPPYG00000010332
theropithecus_gelada ENSTGEG00000004555
papio_anubis ENSPANG00000010091
cercocebus_atys ENSCATG00000035563
macaca_mulatta ENSMMUG00000049187
macaca_fascicularis ENSMFAG00000032624
macaca_nemestrina ENSMNEG00000029606
mandrillus_leucophaeus ENSMLEG00000031634
chlorocebus_sabaeus ENSCSAG00000001997
rhinopithecus_roxellana ENSRROG00000033922
rhinopithecus_bieti ENSRBIG00000039249
piliocolobus_tephrosceles ENSPTEG00000024733
colobus_angolensis ENSCANG00000028410
pan_troglodytes ENSPTRG00000051433
pan_paniscus ENSPPAG00000043290
gorilla_gorilla ENSGGOG00000025493
mandrillus_leucophaeus ENSMLEG00000035401
cercocebus_atys ENSCATG00000013698
macaca_fascicularis ENSMFAG00000041191
papio_anubis ENSPANG00000031469
cebus_capucinus ENSCCAG00000033877
saimiri_boliviensis ENSSBOG00000027420
aotus_nancymaae ENSANAG00000031002
carlito_syrichta ENSTSYG00000019478
microcebus_murinus ENSMICG00000004052
microcebus_murinus ENSMICG00000027221
propithecus_coquereli ENSPCOG00000024278
prolemur_simus ENSPSMG00000026053
tupaia_belangeri ENSTBEG00000002386
urocitellus_parryii ENSUPAG00010008889
ictidomys_tridecemlineatus ENSSTOG00000031591
marmota_marmota ENSMMMG00000022497
castor_canadensis ENSCCNG00000000143
equus_asinus ENSEASG00005008522
equus_caballus ENSECAG00000041376
pteropus_vampyrus ENSPVAG00000024144
bos_indicus ENSBIXG00000016992
bos_indicus ENSBIXG00005017006
bos_taurus ENSBTAG00000003541
bos_mutus ENSBMUG00000010836
bison_bison ENSBBBG00000016193
capra_hircus ENSCHIG00000021135
ovis_aries ENSOARG00000015001
tursiops_truncatus ENSTTRG00000021412
sus_scrofa ENSSSCG00000003241
vicugna_pacos ENSVPAG00000015453
ursus_americanus ENSUAMG00000018484
ursus_americanus ENSUAMG00000018483
ursus_maritimus ENSUMAG00000010386
neovison_vison ENSNVIG00000023213
vulpes_vulpes ENSVVUG00000011122
panthera_pardus ENSPPRG00000005446
panthera_tigris ENSPTIG00000015067
panthera_pardus ENSPPRG00000022601
