haplochromis_burtoni ENSHBUG00000022940
pundamilia_nyererei ENSPNYG00000008136
astatotilapia_calliptera ENSACLG00000001099
maylandia_zebra ENSMZEG00005019209
neolamprologus_brichardi ENSNBRG00000018675
amphilophus_citrinellus ENSACIG00000008401
oryzias_latipes ENSORLG00020015864
oryzias_latipes ENSORLG00000030465
oryzias_latipes_asm223469v1 ENSORLG00015015929
oryzias_melastigma ENSOMEG00000000781
stegastes_partitus ENSSPAG00000023245
stegastes_partitus ENSSPAG00000023239
amphiprion_ocellaris ENSAOCG00000012268
amphiprion_percula ENSAPEG00000010564
acanthochromis_polyacanthus ENSAPOG00000024269
mola_mola ENSMMOG00000011654
takifugu_rubripes ENSTRUG00000025806
seriola_dumerili ENSSDUG00000016993
seriola_lalandi_dorsalis ENSSLDG00000023287
cynoglossus_semilaevis ENSCSEG00000014826
monopterus_albus ENSMALG00000019226
mastacembelus_armatus ENSMAMG00000010811
anabas_testudineus ENSATEG00000014177
