taeniopygia_guttata ENSTGUG00000008813
lonchura_striata ENSLSDG00000007619
serinus_canaria ENSSCAG00000005088
junco_hyemalis ENSJHYG00000000198
parus_major ENSPMJG00000008624
zonotrichia_albicollis ENSZALG00000017076
cyanistes_caeruleus ENSCCEG00000008937
manacus_vitellinus ENSMVIG00005011061
lepidothrix_coronata ENSLCOG00000013915
melopsittacus_undulatus ENSMUNG00000014379
calidris_pugnax ENSCPUG00000001906
calidris_pygmaea ENSCPGG00000002966
meleagris_gallopavo ENSMGAG00000007193
gallus_gallus ENSGALG00000028696
coturnix_japonica ENSCJPG00005010753
numida_meleagris ENSNMEG00000010624
anser_brachyrhynchus ENSABRG00000017331
anas_platyrhynchos ENSAPLG00000005561
dromaius_novaehollandiae ENSDNVG00000013355
nothoprocta_perdicaria ENSNPEG00000014437
apteryx_owenii ENSAOWG00000017180
apteryx_haastii ENSAHAG00000008108
apteryx_rowi ENSARWG00000009966
anolis_carolinensis ENSACAG00000000053
pogona_vitticeps ENSPVIG00000009833
salvator_merianae ENSSMRG00000014497
chelonoidis_abingdonii ENSCABG00000015905
gopherus_agassizii ENSGAGG00000000979
chrysemys_picta ENSCPBG00000017562
pelodiscus_sinensis ENSPSIG00000002528
crocodylus_porosus ENSCPRG00005000446
sphenodon_punctatus ENSSPUG00000001764
latimeria_chalumnae ENSLACG00000014515
clupea_harengus ENSCHAG00000016847
denticeps_clupeoides ENSDCDG00000006912
astyanax_mexicanus ENSAMXG00000037676
astyanax_mexicanus ENSAMXG00005011302
pygocentrus_nattereri ENSPNAG00000005729
ictalurus_punctatus ENSIPUG00000004699
danio_rerio ENSDARG00000045586
hucho_hucho ENSHHUG00000000023
paramormyrops_kingsleyae ENSPKIG00000002339
scleropages_formosus ENSSFOG00015001401
larimichthys_crocea ENSLCRG00005020203
labrus_bergylta ENSLBEG00000004893
cottoperca_gobio ENSCGOG00000007280
cottoperca_gobio ENSCGOG00000007083
scophthalmus_maximus ENSSMAG00000003685
cynoglossus_semilaevis ENSCSEG00000002238
lates_calcarifer ENSLCAG00010012212
seriola_lalandi ENSSLDG00000022358
seriola_dumerili ENSSDUG00000016873
amphiprion_ocellaris ENSAOCG00000017358
amphiprion_percula ENSAPEG00000016163
parambassis_ranga ENSPRNG00000025741
anabas_testudineus ENSATEG00000010861
periophthalmus_magnuspinnatus ENSPMGG00000000934
lepisosteus_oculatus ENSLOCG00000002153
callorhinchus_milii ENSCMIG00000012006
