seriola_dumerili ENSSDUG00000018715
seriola_lalandi ENSSLDG00000004196
monopterus_albus ENSMALG00000002205
mola_mola ENSMMOG00000005828
takifugu_rubripes ENSTRUG00000009611
acanthochromis_polyacanthus ENSAPOG00000014927
amphiprion_ocellaris ENSAOCG00000003638
stegastes_partitus ENSSPAG00000006816
fundulus_heteroclitus ENSFHEG00000015143
cyprinodon_variegatus ENSCVAG00000016004
kryptolebias_marmoratus ENSKMAG00000001163
oryzias_melastigma ENSOMEG00000011119
pundamilia_nyererei ENSPNYG00000022186
maylandia_zebra ENSMZEG00005023353
neolamprologus_brichardi ENSNBRG00000018142
oreochromis_niloticus ENSONIG00000020403
labrus_bergylta ENSLBEG00000013421
pygocentrus_nattereri ENSPNAG00000005738
