bison_bison_bison ENSBBBG00000006279
panthera_pardus ENSPPRG00000015011
colobus_angolensis_palliatus ENSCANG00000017425
piliocolobus_tephrosceles ENSPTEG00000039745
rhinopithecus_bieti ENSRBIG00000033609
macaca_fascicularis ENSMFAG00000019844
macaca_nemestrina ENSMNEG00000005480
cebus_capucinus ENSCCAG00000036683
callithrix_jacchus ENSCJAG00000043817
aotus_nancymaae ENSANAG00000025024
homo_sapiens ENSG00000284635
gorilla_gorilla ENSGGOG00000041588
pan_troglodytes ENSPTRG00000051510
pan_paniscus ENSPPAG00000016099
prolemur_simus ENSPSMG00000016504
