lonchura_striata_domestica ENSLSDG00000000588
taeniopygia_guttata ENSTGUG00000012490
serinus_canaria ENSSCAG00000007538
zonotrichia_albicollis ENSZALG00000014518
junco_hyemalis ENSJHYG00000009308
ficedula_albicollis ENSFALG00000002533
cyanistes_caeruleus ENSCCEG00000008572
parus_major ENSPMJG00000011324
manacus_vitellinus ENSMVIG00005012412
lepidothrix_coronata ENSLCOG00000004520
anser_brachyrhynchus ENSABRG00000009567
anas_platyrhynchos_platyrhynchos ENSAPLG00000020771
gallus_gallus ENSGALG00000036915
meleagris_gallopavo ENSMGAG00000012691
coturnix_japonica ENSCJPG00005006009
numida_meleagris ENSNMEG00000008507
calidris_pygmaea ENSCPGG00000007743
calidris_pugnax ENSCPUG00000008711
melopsittacus_undulatus ENSMUNG00000016732
apteryx_haastii ENSAHAG00000017100
apteryx_owenii ENSAOWG00000013078
apteryx_rowi ENSARWG00000002013
dromaius_novaehollandiae ENSDNVG00000007877
nothoprocta_perdicaria ENSNPEG00000013743
crocodylus_porosus ENSCPRG00005009064
gopherus_agassizii ENSGAGG00000006957
chelonoidis_abingdonii ENSCABG00000001328
chrysemys_picta_bellii ENSCPBG00000020605
pelodiscus_sinensis ENSPSIG00000008578
sphenodon_punctatus ENSSPUG00000017752
sphenodon_punctatus ENSSPUG00000017759
pogona_vitticeps ENSPVIG00000018331
anolis_carolinensis ENSACAG00000010117
notechis_scutatus ENSNSUG00000003716
salvator_merianae ENSSMRG00000000755
prolemur_simus ENSPSMG00000021473
prolemur_simus ENSPSMG00000006380
propithecus_coquereli ENSPCOG00000022680
microcebus_murinus ENSMICG00000017870
otolemur_garnettii ENSOGAG00000015778
colobus_angolensis_palliatus ENSCANG00000042332
piliocolobus_tephrosceles ENSPTEG00000031350
rhinopithecus_bieti ENSRBIG00000041064
rhinopithecus_roxellana ENSRROG00000032217
papio_anubis ENSPANG00000005609
cercocebus_atys ENSCATG00000033554
theropithecus_gelada ENSTGEG00000010498
macaca_nemestrina ENSMNEG00000038543
macaca_fascicularis ENSMFAG00000043907
macaca_mulatta ENSMMUG00000003535
mandrillus_leucophaeus ENSMLEG00000000512
chlorocebus_sabaeus ENSCSAG00000010159
gorilla_gorilla ENSGGOG00000007317
homo_sapiens ENSG00000104549
pan_troglodytes ENSPTRG00000020572
pan_paniscus ENSPPAG00000044116
pongo_abelii ENSPPYG00000018872
nomascus_leucogenys ENSNLEG00000005530
callithrix_jacchus ENSCJAG00000012744
cebus_capucinus ENSCCAG00000027661
saimiri_boliviensis_boliviensis ENSSBOG00000034968
aotus_nancymaae ENSANAG00000033204
aotus_nancymaae ENSANAG00000032384
carlito_syrichta ENSTSYG00000031675
tupaia_belangeri ENSTBEG00000003064
dipodomys_ordii ENSDORG00000009191
castor_canadensis ENSCCNG00000024358
mus_musculus ENSMUSG00000022351
mus_spicilegus ENSMSIG00000015013
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020722
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019825
mus_pahari MGP_PahariEiJ_G0019834
rattus_norvegicus ENSRNOG00000009550
meriones_unguiculatus ENSMUGG00000018741
cricetulus_griseus_crigri-picr ENSCGRG00015006478
cricetulus_griseus_chok1gshd ENSCGRG00001011940
mesocricetus_auratus ENSMAUG00000004073
microtus_ochrogaster ENSMOCG00000022832
peromyscus_maniculatus_bairdii ENSPEMG00000023154
nannospalax_galili ENSNGAG00000004521
jaculus_jaculus ENSJJAG00000018945
chinchilla_lanigera ENSCLAG00000001576
octodon_degus ENSODEG00000005923
cavia_porcellus ENSCPOG00000007368
cavia_aperea ENSCAPG00000006115
heterocephalus_glaber_female ENSHGLG00000008484
heterocephalus_glaber_male ENSHGLG00100017846
fukomys_damarensis ENSFDAG00000005944
urocitellus_parryii ENSUPAG00010008785
ictidomys_tridecemlineatus ENSSTOG00000008446
spermophilus_dauricus ENSSDAG00000023449
marmota_marmota_marmota ENSMMMG00000001908
oryctolagus_cuniculus ENSOCUG00000015771
ochotona_princeps ENSOPRG00000004956
ursus_maritimus ENSUMAG00000022439
ursus_americanus ENSUAMG00000008475
ailuropoda_melanoleuca ENSAMEG00000000303
neovison_vison ENSNVIG00000001505
mustela_putorius_furo ENSMPUG00000001318
canis_lupus_familiaris ENSCAFG00000001056
canis_lupus_dingo ENSCAFG00020006554
vulpes_vulpes ENSVVUG00000016857
panthera_pardus ENSPPRG00000023972
panthera_tigris_altaica ENSPTIG00000021719
felis_catus ENSFCAG00000031123
equus_caballus ENSECAG00000013998
equus_asinus_asinus ENSEASG00005022392
sorex_araneus ENSSARG00000008598
erinaceus_europaeus ENSEEUG00000001398
ovis_aries ENSOARG00000008478
capra_hircus ENSCHIG00000025130
bos_mutus ENSBMUG00000026668
bos_taurus ENSBTAG00000005498
bison_bison_bison ENSBBBG00000020002
tursiops_truncatus ENSTTRG00000015495
sus_scrofa ENSSSCG00000005970
vicugna_pacos ENSVPAG00000006530
myotis_lucifugus ENSMLUG00000000613
pteropus_vampyrus ENSPVAG00000005900
choloepus_hoffmanni ENSCHOG00000006858
dasypus_novemcinctus ENSDNOG00000038454
loxodonta_africana ENSLAFG00000003760
procavia_capensis ENSPCAG00000013678
echinops_telfairi ENSETEG00000002142
phascolarctos_cinereus ENSPCIG00000008224
notamacropus_eugenii ENSMEUG00000003249
sarcophilus_harrisii ENSSHAG00000005478
monodelphis_domestica ENSMODG00000001811
ornithorhynchus_anatinus ENSOANG00000014091
latimeria_chalumnae ENSLACG00000001320
lepisosteus_oculatus ENSLOCG00000009390
latimeria_chalumnae ENSLACG00000013323
latimeria_chalumnae ENSLACG00000012992
latimeria_chalumnae ENSLACG00000011395
latimeria_chalumnae ENSLACG00000012175
xenopus_tropicalis ENSXETG00000023050
cynoglossus_semilaevis ENSCSEG00000010244
periophthalmus_magnuspinnatus ENSPMGG00000022182
