pongo_abelii ENSPPYG00000000725
homo_sapiens ENSG00000260238
macaca_mulatta ENSMMUG00000000083
pteropus_vampyrus ENSPVAG00000016745
sorex_araneus ENSSARG00000011293
tursiops_truncatus ENSTTRG00000001399
tupaia_belangeri ENSTBEG00000002592
propithecus_coquereli ENSPCOG00000022530
microcebus_murinus ENSMICG00000002248
rhinopithecus_roxellana ENSRROG00000038103
piliocolobus_tephrosceles ENSPTEG00000011553
theropithecus_gelada ENSTGEG00000001109
rhinopithecus_bieti ENSRBIG00000036011
marmota_marmota_marmota ENSMMMG00000013758
bos_taurus ENSBTAG00000009432
bos_mutus ENSBMUG00000014459
bison_bison_bison ENSBBBG00000015627
capra_hircus ENSCHIG00000025721
ovis_aries ENSOARG00000005608
sus_scrofa ENSSSCG00000006493
vulpes_vulpes ENSVVUG00000005870
canis_lupus_dingo ENSCAFG00020006096
ailuropoda_melanoleuca ENSAMEG00000014403
ursus_americanus ENSUAMG00000013738
panthera_pardus ENSPPRG00000015181
felis_catus ENSFCAG00000011781
equus_caballus ENSECAG00000005938
dasypus_novemcinctus ENSDNOG00000048458
procavia_capensis ENSPCAG00000008311
choloepus_hoffmanni ENSCHOG00000004215
ochotona_princeps ENSOPRG00000007305
notamacropus_eugenii ENSMEUG00000012804
