amphiprion_ocellaris ENSAOCG00000006058
amphiprion_percula ENSAPEG00000014165
acanthochromis_polyacanthus ENSAPOG00000020344
stegastes_partitus ENSSPAG00000000843
stegastes_partitus ENSSPAG00000008703
maylandia_zebra ENSMZEG00005009539
haplochromis_burtoni ENSHBUG00000006358
astatotilapia_calliptera ENSACLG00000019529
pundamilia_nyererei ENSPNYG00000005667
oreochromis_niloticus ENSONIG00000011555
fundulus_heteroclitus ENSFHEG00000008799
fundulus_heteroclitus ENSFHEG00000008781
xiphophorus_couchianus ENSXCOG00000016391
poecilia_reticulata ENSPREG00000011826
poecilia_mexicana ENSPMEG00000009020
poecilia_formosa ENSPFOG00000005530
poecilia_latipinna ENSPLAG00000020548
xiphophorus_maculatus ENSXMAG00000007556
gambusia_affinis ENSGAFG00000008292
oryzias_latipes_asm223469v1 ENSORLG00015020787
oryzias_latipes ENSORLG00020006498
oryzias_latipes ENSORLG00000013124
oryzias_melastigma ENSOMEG00000018067
anabas_testudineus ENSATEG00000007883
mastacembelus_armatus ENSMAMG00000022689
monopterus_albus ENSMALG00000014145
mola_mola ENSMMOG00000010382
seriola_dumerili ENSSDUG00000019675
scophthalmus_maximus ENSSMAG00000008042
kryptolebias_marmoratus ENSKMAG00000015603
gasterosteus_aculeatus ENSGACG00000018307
amphilophus_citrinellus ENSACIG00000014058
cyprinodon_variegatus ENSCVAG00000021321
takifugu_rubripes ENSTRUG00000014090
tetraodon_nigroviridis ENSTNIG00000005926
cynoglossus_semilaevis ENSCSEG00000009468
poecilia_mexicana ENSPMEG00000022285
labrus_bergylta ENSLBEG00000023238
seriola_lalandi_dorsalis ENSSLDG00000021751
hippocampus_comes ENSHCOG00000013718
periophthalmus_magnuspinnatus ENSPMGG00000005744
gadus_morhua ENSGMOG00000006766
esox_lucius ENSELUG00000000844
paramormyrops_kingsleyae ENSPKIG00000008239
pygocentrus_nattereri ENSPNAG00000009935
astyanax_mexicanus ENSAMXG00000019807
ictalurus_punctatus ENSIPUG00000020861
danio_rerio ENSDARG00000014592
scleropages_formosus ENSSFOG00015014700
lepisosteus_oculatus ENSLOCG00000005271
neolamprologus_brichardi ENSNBRG00000002249
neolamprologus_brichardi ENSNBRG00000002231
seriola_lalandi_dorsalis ENSSLDG00000021744
pogona_vitticeps ENSPVIG00000025708
anolis_carolinensis ENSACAG00000017005
notechis_scutatus ENSNSUG00000017298
salvator_merianae ENSSMRG00000011462
sphenodon_punctatus ENSSPUG00000001235
calidris_pygmaea ENSCPGG00000012708
calidris_pugnax ENSCPUG00000016098
junco_hyemalis ENSJHYG00000003489
zonotrichia_albicollis ENSZALG00000011044
serinus_canaria ENSSCAG00000016165
lonchura_striata_domestica ENSLSDG00000004212
taeniopygia_guttata ENSTGUG00000007024
ficedula_albicollis ENSFALG00000002050
parus_major ENSPMJG00000000071
cyanistes_caeruleus ENSCCEG00000010523
