seriola_lalandi ENSSLDG00000013858
seriola_dumerili ENSSDUG00000003515
lates_calcarifer ENSLCAG00010002611
scophthalmus_maximus ENSSMAG00000003235
cynoglossus_semilaevis ENSCSEG00000007072
monopterus_albus ENSMALG00000018046
mastacembelus_armatus ENSMAMG00000013994
anabas_testudineus ENSATEG00000018649
betta_splendens ENSBSLG00000026293
amphiprion_percula ENSAPEG00000003171
amphiprion_ocellaris ENSAOCG00000017390
acanthochromis_polyacanthus ENSAPOG00000000880
stegastes_partitus ENSSPAG00000004661
parambassis_ranga ENSPRNG00000025299
astatotilapia_calliptera ENSACLG00000009947
maylandia_zebra ENSMZEG00005016416
haplochromis_burtoni ENSHBUG00000001481
pundamilia_nyererei ENSPNYG00000007396
neolamprologus_brichardi ENSNBRG00000013373
oreochromis_niloticus ENSONIG00000003744
amphilophus_citrinellus ENSACIG00000014589
gouania_willdenowi ENSGWIG00000021750
cyprinodon_variegatus ENSCVAG00000013256
fundulus_heteroclitus ENSFHEG00000007523
xiphophorus_maculatus ENSXMAG00000012503
xiphophorus_couchianus ENSXCOG00000003754
gambusia_affinis ENSGAFG00000011766
poecilia_reticulata ENSPREG00000012951
kryptolebias_marmoratus ENSKMAG00000015120
oryzias_latipes ENSORLG00015005120
oryzias_latipes ENSORLG00000004485
oryzias_latipes ENSORLG00020008741
oryzias_melastigma ENSOMEG00000021317
tetraodon_nigroviridis ENSTNIG00000008709
takifugu_rubripes ENSTRUG00000002765
mola_mola ENSMMOG00000005629
larimichthys_crocea ENSLCRG00005004042
labrus_bergylta ENSLBEG00000026965
gasterosteus_aculeatus ENSGACG00000001658
cottoperca_gobio ENSCGOG00000022792
hippocampus_comes ENSHCOG00000017475
periophthalmus_magnuspinnatus ENSPMGG00000014361
gadus_morhua ENSGMOG00000002498
hucho_hucho ENSHHUG00000001292
hucho_hucho ENSHHUG00000015047
esox_lucius ENSELUG00000004043
clupea_harengus ENSCHAG00000011945
denticeps_clupeoides ENSDCDG00000016464
ictalurus_punctatus ENSIPUG00000011455
electrophorus_electricus ENSEEEG00000023122
astyanax_mexicanus ENSAMXG00000043393
astyanax_mexicanus ENSAMXG00005021819
pygocentrus_nattereri ENSPNAG00000003023
danio_rerio ENSDARG00000076155
