cyprinodon_variegatus ENSCVAG00000000799
fundulus_heteroclitus ENSFHEG00000001336
kryptolebias_marmoratus ENSKMAG00000013224
xiphophorus_maculatus ENSXMAG00000015763
xiphophorus_couchianus ENSXCOG00000001159
gambusia_affinis ENSGAFG00000018697
poecilia_formosa ENSPFOG00000017536
poecilia_mexicana ENSPMEG00000013008
poecilia_latipinna ENSPLAG00000007064
poecilia_reticulata ENSPREG00000013570
oryzias_latipes ENSORLG00000008606
oryzias_latipes ENSORLG00020005151
oryzias_latipes_asm223469v1 ENSORLG00015001165
oryzias_melastigma ENSOMEG00000023698
haplochromis_burtoni ENSHBUG00000016082
pundamilia_nyererei ENSPNYG00000004880
astatotilapia_calliptera ENSACLG00000007866
maylandia_zebra ENSMZEG00005014756
neolamprologus_brichardi ENSNBRG00000010932
oreochromis_niloticus ENSONIG00000000985
amphilophus_citrinellus ENSACIG00000016389
amphiprion_percula ENSAPEG00000010096
amphiprion_ocellaris ENSAOCG00000019103
acanthochromis_polyacanthus ENSAPOG00000021009
stegastes_partitus ENSSPAG00000000492
seriola_dumerili ENSSDUG00000009483
seriola_lalandi_dorsalis ENSSLDG00000021531
scophthalmus_maximus ENSSMAG00000012977
hippocampus_comes ENSHCOG00000013866
tetraodon_nigroviridis ENSTNIG00000019283
takifugu_rubripes ENSTRUG00000023029
mola_mola ENSMMOG00000011224
labrus_bergylta ENSLBEG00000007921
anabas_testudineus ENSATEG00000004294
gasterosteus_aculeatus ENSGACG00000011289
cynoglossus_semilaevis ENSCSEG00000006956
mastacembelus_armatus ENSMAMG00000000271
monopterus_albus ENSMALG00000021109
periophthalmus_magnuspinnatus ENSPMGG00000017706
gadus_morhua ENSGMOG00000009119
esox_lucius ENSELUG00000021444
astyanax_mexicanus ENSAMXG00000039088
pygocentrus_nattereri ENSPNAG00000015603
ictalurus_punctatus ENSIPUG00000023687
danio_rerio ENSDARG00000060564
scleropages_formosus ENSSFOG00015020540
paramormyrops_kingsleyae ENSPKIG00000009692
lepisosteus_oculatus ENSLOCG00000013986
pogona_vitticeps ENSPVIG00000000071
anolis_carolinensis ENSACAG00000001391
notechis_scutatus ENSNSUG00000003271
salvator_merianae ENSSMRG00000012750
sphenodon_punctatus ENSSPUG00000001585
gallus_gallus ENSGALG00000010117
meleagris_gallopavo ENSMGAG00000012532
coturnix_japonica ENSCJPG00005019079
numida_meleagris ENSNMEG00000022331
anser_brachyrhynchus ENSABRG00000012960
anas_platyrhynchos_platyrhynchos ENSAPLG00000013311
taeniopygia_guttata ENSTGUG00000012017
lonchura_striata_domestica ENSLSDG00000002502
zonotrichia_albicollis ENSZALG00000002574
junco_hyemalis ENSJHYG00000010606
serinus_canaria ENSSCAG00000010410
parus_major ENSPMJG00000016676
cyanistes_caeruleus ENSCCEG00000019534
ficedula_albicollis ENSFALG00000006156
manacus_vitellinus ENSMVIG00005002499
lepidothrix_coronata ENSLCOG00000015974
calidris_pygmaea ENSCPGG00000005283
calidris_pugnax ENSCPUG00000002168
melopsittacus_undulatus ENSMUNG00000010236
apteryx_rowi ENSARWG00000011041
apteryx_owenii ENSAOWG00000002984
dromaius_novaehollandiae ENSDNVG00000001278
nothoprocta_perdicaria ENSNPEG00000007135
crocodylus_porosus ENSCPRG00005003789
gopherus_agassizii ENSGAGG00000015379
chelonoidis_abingdonii ENSCABG00000006852
chrysemys_picta_bellii ENSCPBG00000020785
pelodiscus_sinensis ENSPSIG00000011062
macaca_fascicularis ENSMFAG00000044432
macaca_nemestrina ENSMNEG00000034267
macaca_mulatta ENSMMUG00000009649
cercocebus_atys ENSCATG00000030129
papio_anubis ENSPANG00000000933
theropithecus_gelada ENSTGEG00000003576
mandrillus_leucophaeus ENSMLEG00000035400
chlorocebus_sabaeus ENSCSAG00000015457
piliocolobus_tephrosceles ENSPTEG00000007775
colobus_angolensis_palliatus ENSCANG00000030568
rhinopithecus_bieti ENSRBIG00000030161
rhinopithecus_roxellana ENSRROG00000003905
pan_troglodytes ENSPTRG00000006283
pan_paniscus ENSPPAG00000040612
homo_sapiens ENSG00000183032
gorilla_gorilla ENSGGOG00000001529
pongo_abelii ENSPPYG00000005756
nomascus_leucogenys ENSNLEG00000035940
cebus_capucinus ENSCCAG00000025527
callithrix_jacchus ENSCJAG00000016449
saimiri_boliviensis_boliviensis ENSSBOG00000031959
aotus_nancymaae ENSANAG00000028448
carlito_syrichta ENSTSYG00000003219
propithecus_coquereli ENSPCOG00000025493
microcebus_murinus ENSMICG00000010812
prolemur_simus ENSPSMG00000007077
otolemur_garnettii ENSOGAG00000013132
tupaia_belangeri ENSTBEG00000002662
cricetulus_griseus_crigri ENSCGRG00000000081
cricetulus_griseus_crigri-picr ENSCGRG00015010695
cricetulus_griseus_chok1gshd ENSCGRG00001013187
mesocricetus_auratus ENSMAUG00000003076
peromyscus_maniculatus_bairdii ENSPEMG00000006464
microtus_ochrogaster ENSMOCG00000013167
mus_musculus ENSMUSG00000035472
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018614
mus_spicilegus ENSMSIG00000006175
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017769
mus_pahari MGP_PahariEiJ_G0029525
rattus_norvegicus ENSRNOG00000008931
meriones_unguiculatus ENSMUGG00000012502
nannospalax_galili ENSNGAG00000013117
jaculus_jaculus ENSJJAG00000019302
chinchilla_lanigera ENSCLAG00000010113
octodon_degus ENSODEG00000005898
cavia_porcellus ENSCPOG00000010953
cavia_aperea ENSCAPG00000014801
heterocephalus_glaber_male ENSHGLG00100008033
heterocephalus_glaber_female ENSHGLG00000001239
fukomys_damarensis ENSFDAG00000016707
spermophilus_dauricus ENSSDAG00000011166
ictidomys_tridecemlineatus ENSSTOG00000025764
urocitellus_parryii ENSUPAG00010000420
marmota_marmota_marmota ENSMMMG00000005767
castor_canadensis ENSCCNG00000023454
oryctolagus_cuniculus ENSOCUG00000014333
ochotona_princeps ENSOPRG00000003295
ovis_aries ENSOARG00000008179
capra_hircus ENSCHIG00000017403
bos_taurus ENSBTAG00000019350
bos_mutus ENSBMUG00000002809
bison_bison_bison ENSBBBG00000009455
tursiops_truncatus ENSTTRG00000011561
vicugna_pacos ENSVPAG00000009930
sus_scrofa ENSSSCG00000039317
equus_asinus_asinus ENSEASG00005007565
equus_caballus ENSECAG00000002597
ursus_americanus ENSUAMG00000003555
ursus_maritimus ENSUMAG00000008477
ailuropoda_melanoleuca ENSAMEG00000002915
canis_lupus_familiaris ENSCAFG00000028962
canis_lupus_dingo ENSCAFG00020022293
vulpes_vulpes ENSVVUG00000020692
neovison_vison ENSNVIG00000005338
mustela_putorius_furo ENSMPUG00000016258
panthera_pardus ENSPPRG00000006887
panthera_tigris_altaica ENSPTIG00000018494
felis_catus ENSFCAG00000001025
pteropus_vampyrus ENSPVAG00000003730
myotis_lucifugus ENSMLUG00000011418
sorex_araneus ENSSARG00000000340
erinaceus_europaeus ENSEEUG00000007473
loxodonta_africana ENSLAFG00000017545
procavia_capensis ENSPCAG00000011562
echinops_telfairi ENSETEG00000002088
choloepus_hoffmanni ENSCHOG00000010703
dasypus_novemcinctus ENSDNOG00000037446
notamacropus_eugenii ENSMEUG00000002099
phascolarctos_cinereus ENSPCIG00000015479
monodelphis_domestica ENSMODG00000012677
ornithorhynchus_anatinus ENSOANG00000014067
xenopus_tropicalis ENSXETG00000012316
latimeria_chalumnae ENSLACG00000015314
petromyzon_marinus ENSPMAG00000002502
petromyzon_marinus ENSPMAG00000009834
eptatretus_burgeri ENSEBUG00000003609
ciona_intestinalis ENSCING00000019031
caenorhabditis_elegans_strain_n2 WBGene00011226
drosophila_melanogaster FBgn0040383
drosophila_melanogaster FBgn0032090
saccharomyces_cerevisiae YOR222W
saccharomyces_cerevisiae YPL134C
