mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0002395
mus_musculus ENSMUSG00000076873
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0002242
mus_pahari MGP_PahariEiJ_G0002101
rattus_norvegicus ENSRNOG00000033109
oryctolagus_cuniculus ENSOCUG00000025591
ailuropoda_melanoleuca ENSAMEG00000007139
mustela_putorius_furo ENSMPUG00000018887
canis_lupus_familiaris ENSCAFG00000029572
sus_scrofa ENSSSCG00000031495
ovis_aries ENSOARG00000011936
myotis_lucifugus ENSMLUG00000025256
pan_paniscus ENSPPAG00000011053
pan_troglodytes ENSPTRG00000050301
gorilla_gorilla ENSGGOG00000028378
homo_sapiens ENSG00000256590
pongo_abelii ENSPPYG00000005636
nomascus_leucogenys ENSNLEG00000014664
rhinopithecus_roxellana ENSRROG00000007769
rhinopithecus_bieti ENSRBIG00000001337
piliocolobus_tephrosceles ENSPTEG00000021462
macaca_mulatta ENSMMUG00000042135
macaca_nemestrina ENSMNEG00000012962
macaca_fascicularis ENSMFAG00000009822
theropithecus_gelada ENSTGEG00000017604
papio_anubis ENSPANG00000020912
cercocebus_atys ENSCATG00000019903
mandrillus_leucophaeus ENSMLEG00000025676
chlorocebus_sabaeus ENSCSAG00000016299
loxodonta_africana ENSLAFG00000032133
monodelphis_domestica ENSMODG00000005637
ornithorhynchus_anatinus ENSOANG00000010728
xenopus_tropicalis ENSXETG00000031721
xenopus_tropicalis ENSXETG00000030155
xenopus_tropicalis ENSXETG00000032485
xenopus_tropicalis ENSXETG00000030322
xenopus_tropicalis ENSXETG00000031983
xenopus_tropicalis ENSXETG00000033803
xenopus_tropicalis ENSXETG00000031636
xenopus_tropicalis ENSXETG00000029929
latimeria_chalumnae ENSLACG00000008771
