kryptolebias_marmoratus ENSKMAG00000011091
poecilia_latipinna ENSPLAG00000013739
maylandia_zebra ENSMZEG00005009858
neolamprologus_brichardi ENSNBRG00000011894
amphilophus_citrinellus ENSACIG00000013044
maylandia_zebra ENSMZEG00005007686
astatotilapia_calliptera ENSACLG00000027082
astatotilapia_calliptera ENSACLG00000027004
pundamilia_nyererei ENSPNYG00000003023
maylandia_zebra ENSMZEG00005025847
maylandia_zebra ENSMZEG00005027776
maylandia_zebra ENSMZEG00005025851
maylandia_zebra ENSMZEG00005025852
maylandia_zebra ENSMZEG00005027772
pundamilia_nyererei ENSPNYG00000005744
haplochromis_burtoni ENSHBUG00000008182
maylandia_zebra ENSMZEG00005027770
maylandia_zebra ENSMZEG00005009943
astatotilapia_calliptera ENSACLG00000011260
astatotilapia_calliptera ENSACLG00000011263
astatotilapia_calliptera ENSACLG00000011536
maylandia_zebra ENSMZEG00005025850
maylandia_zebra ENSMZEG00005027777
maylandia_zebra ENSMZEG00005009863
maylandia_zebra ENSMZEG00005027769
astatotilapia_calliptera ENSACLG00000011255
pundamilia_nyererei ENSPNYG00000002020
neolamprologus_brichardi ENSNBRG00000000557
neolamprologus_brichardi ENSNBRG00000012489
acanthochromis_polyacanthus ENSAPOG00000023603
anabas_testudineus ENSATEG00000006992
