castor_canadensis ENSCCNG00000006080
dipodomys_ordii ENSDORG00000001896
mus_spicilegus ENSMSIG00000014416
mus_spretus MGP_SPRETEiJ_G0024513
mus_musculus ENSMUSG00000035000
mus_caroli MGP_CAROLIEiJ_G0023591
mus_pahari MGP_PahariEiJ_G0025042
meriones_unguiculatus ENSMUGG00000013566
cricetulus_griseus ENSCGRG00000011614
cricetulus_griseus ENSCGRG00001011282
cricetulus_griseus ENSCGRG00015008203
mesocricetus_auratus ENSMAUG00000002786
microtus_ochrogaster ENSMOCG00000016136
peromyscus_maniculatus ENSPEMG00000002168
nannospalax_galili ENSNGAG00000024181
jaculus_jaculus ENSJJAG00000006583
chinchilla_lanigera ENSCLAG00000002709
cavia_porcellus ENSCPOG00000035727
octodon_degus ENSODEG00000013321
heterocephalus_glaber ENSHGLG00000013383
heterocephalus_glaber ENSHGLG00100001829
fukomys_damarensis ENSFDAG00000006605
spermophilus_dauricus ENSSDAG00000020852
ictidomys_tridecemlineatus ENSSTOG00000004878
urocitellus_parryii ENSUPAG00010010955
marmota_marmota ENSMMMG00000022753
tupaia_belangeri ENSTBEG00000004780
pan_troglodytes ENSPTRG00000024079
pan_paniscus ENSPPAG00000042565
homo_sapiens ENSG00000197635
gorilla_gorilla ENSGGOG00000005778
pongo_abelii ENSPPYG00000012884
nomascus_leucogenys ENSNLEG00000002355
cercocebus_atys ENSCATG00000029276
papio_anubis ENSPANG00000018066
theropithecus_gelada ENSTGEG00000011889
macaca_mulatta ENSMMUG00000008387
macaca_fascicularis ENSMFAG00000041945
macaca_nemestrina ENSMNEG00000036445
mandrillus_leucophaeus ENSMLEG00000021112
chlorocebus_sabaeus ENSCSAG00000015640
colobus_angolensis ENSCANG00000030711
piliocolobus_tephrosceles ENSPTEG00000032181
rhinopithecus_roxellana ENSRROG00000044466
rhinopithecus_bieti ENSRBIG00000043918
saimiri_boliviensis ENSSBOG00000033995
cebus_capucinus ENSCCAG00000037295
callithrix_jacchus ENSCJAG00000005739
aotus_nancymaae ENSANAG00000037927
carlito_syrichta ENSTSYG00000001960
propithecus_coquereli ENSPCOG00000028458
microcebus_murinus ENSMICG00000007707
prolemur_simus ENSPSMG00000014279
otolemur_garnettii ENSOGAG00000012601
equus_caballus ENSECAG00000017357
equus_asinus ENSEASG00005023055
erinaceus_europaeus ENSEEUG00000012778
sus_scrofa ENSSSCG00000015894
vicugna_pacos ENSVPAG00000010817
ovis_aries ENSOARG00000006454
capra_hircus ENSCHIG00000021048
bos_indicus ENSBIXG00000005276
bos_indicus ENSBIXG00005022213
bos_taurus ENSBTAG00000048246
bos_mutus ENSBMUG00000017564
bison_bison ENSBBBG00000007218
ursus_americanus ENSUAMG00000015764
ursus_maritimus ENSUMAG00000009096
ailuropoda_melanoleuca ENSAMEG00000005330
neovison_vison ENSNVIG00000006836
mustela_putorius ENSMPUG00000000555
canis_lupus ENSCAFG00000025002
canis_lupus ENSCAFG00020004680
vulpes_vulpes ENSVVUG00000018592
panthera_pardus ENSPPRG00000022728
panthera_tigris ENSPTIG00000020438
felis_catus ENSFCAG00000004460
choloepus_hoffmanni ENSCHOG00000009727
dasypus_novemcinctus ENSDNOG00000002630
loxodonta_africana ENSLAFG00000006363
procavia_capensis ENSPCAG00000002821
echinops_telfairi ENSETEG00000011366
vombatus_ursinus ENSVURG00010021580
phascolarctos_cinereus ENSPCIG00000030346
monodelphis_domestica ENSMODG00000005432
anolis_carolinensis ENSACAG00000014197
ornithorhynchus_anatinus ENSOANG00000010255
xenopus_tropicalis ENSXETG00000019672
eptatretus_burgeri ENSEBUG00000011110
ciona_intestinalis ENSCING00000002895
ciona_savignyi ENSCSAVG00000002252
ciona_savignyi ENSCSAVG00000008152
ciona_intestinalis ENSCING00000012852
drosophila_melanogaster FBgn0259175
ciona_savignyi ENSCSAVG00000000883
ciona_intestinalis ENSCING00000020507
ciona_intestinalis ENSCING00000006866
caenorhabditis_elegans WBGene00001054
saccharomyces_cerevisiae YHR028C
