anabas_testudineus ENSATEG00000015359
monopterus_albus ENSMALG00000002149
seriola_dumerili ENSSDUG00000002512
seriola_lalandi_dorsalis ENSSLDG00000013527
scophthalmus_maximus ENSSMAG00000012514
hippocampus_comes ENSHCOG00000015322
periophthalmus_magnuspinnatus ENSPMGG00000004691
cynoglossus_semilaevis ENSCSEG00000012337
mastacembelus_armatus ENSMAMG00000009409
labrus_bergylta ENSLBEG00000016389
astatotilapia_calliptera ENSACLG00000012412
maylandia_zebra ENSMZEG00005011304
pundamilia_nyererei ENSPNYG00000017427
haplochromis_burtoni ENSHBUG00000004937
neolamprologus_brichardi ENSNBRG00000022678
oreochromis_niloticus ENSONIG00000019955
amphilophus_citrinellus ENSACIG00000022991
poecilia_formosa ENSPFOG00000005103
poecilia_formosa ENSPFOG00000005030
poecilia_latipinna ENSPLAG00000007954
poecilia_mexicana ENSPMEG00000006156
poecilia_mexicana ENSPMEG00000006900
poecilia_latipinna ENSPLAG00000005703
poecilia_reticulata ENSPREG00000002148
xiphophorus_couchianus ENSXCOG00000000531
xiphophorus_maculatus ENSXMAG00000000753
gambusia_affinis ENSGAFG00000018044
cyprinodon_variegatus ENSCVAG00000015395
fundulus_heteroclitus ENSFHEG00000012498
kryptolebias_marmoratus ENSKMAG00000012087
oryzias_latipes_asm223469v1 ENSORLG00015008918
oryzias_latipes ENSORLG00020010458
oryzias_latipes ENSORLG00000030326
oryzias_melastigma ENSOMEG00000015788
amphiprion_percula ENSAPEG00000006596
amphiprion_ocellaris ENSAOCG00000012263
acanthochromis_polyacanthus ENSAPOG00000020304
stegastes_partitus ENSSPAG00000016536
cynoglossus_semilaevis ENSCSEG00000012308
mola_mola ENSMMOG00000002290
takifugu_rubripes ENSTRUG00000015698
gasterosteus_aculeatus ENSGACG00000008873
tetraodon_nigroviridis ENSTNIG00000012832
gadus_morhua ENSGMOG00000016657
esox_lucius ENSELUG00000010264
astyanax_mexicanus ENSAMXG00000008153
pygocentrus_nattereri ENSPNAG00000013435
ictalurus_punctatus ENSIPUG00000000624
danio_rerio ENSDARG00000062902
scleropages_formosus ENSSFOG00015022810
paramormyrops_kingsleyae ENSPKIG00000008249
