cynoglossus_semilaevis ENSCSEG00000002080
periophthalmus_magnuspinnatus ENSPMGG00000008344
takifugu_rubripes ENSTRUG00000010881
tetraodon_nigroviridis ENSTNIG00000010477
monopterus_albus ENSMALG00000021441
mola_mola ENSMMOG00000009042
anabas_testudineus ENSATEG00000007227
gasterosteus_aculeatus ENSGACG00000002948
xiphophorus_maculatus ENSXMAG00000016515
xiphophorus_couchianus ENSXCOG00000003080
gambusia_affinis ENSGAFG00000011210
poecilia_formosa ENSPFOG00000013021
poecilia_latipinna ENSPLAG00000009048
poecilia_mexicana ENSPMEG00000004541
poecilia_reticulata ENSPREG00000019559
fundulus_heteroclitus ENSFHEG00000011340
cyprinodon_variegatus ENSCVAG00000000109
kryptolebias_marmoratus ENSKMAG00000001578
oryzias_latipes_asm223469v1 ENSORLG00015002672
oryzias_latipes ENSORLG00000003073
oryzias_melastigma ENSOMEG00000007443
amphiprion_ocellaris ENSAOCG00000021917
amphiprion_percula ENSAPEG00000022230
acanthochromis_polyacanthus ENSAPOG00000009242
stegastes_partitus ENSSPAG00000015548
oreochromis_niloticus ENSONIG00000007263
neolamprologus_brichardi ENSNBRG00000016684
maylandia_zebra ENSMZEG00005003586
astatotilapia_calliptera ENSACLG00000003559
pundamilia_nyererei ENSPNYG00000001756
haplochromis_burtoni ENSHBUG00000012476
amphilophus_citrinellus ENSACIG00000012927
labrus_bergylta ENSLBEG00000011602
seriola_dumerili ENSSDUG00000018245
seriola_lalandi_dorsalis ENSSLDG00000012041
scophthalmus_maximus ENSSMAG00000018735
mastacembelus_armatus ENSMAMG00000022111
hippocampus_comes ENSHCOG00000010943
esox_lucius ENSELUG00000014515
pygocentrus_nattereri ENSPNAG00000017154
astyanax_mexicanus ENSAMXG00000006135
ictalurus_punctatus ENSIPUG00000024738
danio_rerio ENSDARG00000061865
scleropages_formosus ENSSFOG00015007982
paramormyrops_kingsleyae ENSPKIG00000015739
lepisosteus_oculatus ENSLOCG00000002074
phascolarctos_cinereus ENSPCIG00000003013
notamacropus_eugenii ENSMEUG00000001491
monodelphis_domestica ENSMODG00000014600
sarcophilus_harrisii ENSSHAG00000008417
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033352
mus_musculus ENSMUSG00000053289
mus_spicilegus ENSMSIG00000002113
