tupaia_belangeri ENSTBEG00000006081
dipodomys_ordii ENSDORG00000026897
propithecus_coquereli ENSPCOG00000022076
prolemur_simus ENSPSMG00000002083
microcebus_murinus ENSMICG00000009931
homo_sapiens ENSG00000144231
pan_troglodytes ENSPTRG00000012436
gorilla_gorilla ENSGGOG00000004723
pongo_abelii ENSPPYG00000012759
nomascus_leucogenys ENSNLEG00000027191
rhinopithecus_roxellana ENSRROG00000023289
rhinopithecus_bieti ENSRBIG00000039326
piliocolobus_tephrosceles ENSPTEG00000021617
colobus_angolensis ENSCANG00000043665
macaca_mulatta ENSMMUG00000001989
macaca_nemestrina ENSMNEG00000035505
macaca_fascicularis ENSMFAG00000031937
chlorocebus_sabaeus ENSCSAG00000016861
cercocebus_atys ENSCATG00000036749
papio_anubis ENSPANG00000018602
mandrillus_leucophaeus ENSMLEG00000035827
theropithecus_gelada ENSTGEG00000028930
callithrix_jacchus ENSCJAG00000042216
callithrix_jacchus ENSCJAG00000021814
cebus_capucinus ENSCCAG00000037709
aotus_nancymaae ENSANAG00000019959
chinchilla_lanigera ENSCLAG00000004449
cavia_porcellus ENSCPOG00000002571
heterocephalus_glaber ENSHGLG00100013785
heterocephalus_glaber ENSHGLG00000016570
fukomys_damarensis ENSFDAG00000007217
octodon_degus ENSODEG00000005262
spermophilus_dauricus ENSSDAG00000016748
urocitellus_parryii ENSUPAG00010005872
ictidomys_tridecemlineatus ENSSTOG00000023329
marmota_marmota ENSMMMG00000020710
castor_canadensis ENSCCNG00000008432
otolemur_garnettii ENSOGAG00000017118
ursus_americanus ENSUAMG00000024374
ursus_maritimus ENSUMAG00000008280
ailuropoda_melanoleuca ENSAMEG00000011746
mustela_putorius ENSMPUG00000016685
canis_lupus ENSCAFG00020003617
canis_lupus ENSCAFG00000004311
vulpes_vulpes ENSVVUG00000008616
panthera_tigris ENSPTIG00000018618
panthera_pardus ENSPPRG00000020222
felis_catus ENSFCAG00000027816
pteropus_vampyrus ENSPVAG00000004002
equus_caballus ENSECAG00000000556
equus_asinus ENSEASG00005007103
ovis_aries ENSOARG00000015995
capra_hircus ENSCHIG00000025995
bos_indicus ENSBIXG00005011703
bos_indicus ENSBIXG00000027975
bos_mutus ENSBMUG00000023239
bos_taurus ENSBTAG00000053244
bison_bison ENSBBBG00000005804
tursiops_truncatus ENSTTRG00000010055
sus_scrofa ENSSSCG00000039230
myotis_lucifugus ENSMLUG00000006862
vicugna_pacos ENSVPAG00000007239
cricetulus_griseus ENSCGRG00001013608
cricetulus_griseus ENSCGRG00015023768
cricetulus_griseus ENSCGRG00000012624
mesocricetus_auratus ENSMAUG00000014518
mus_spicilegus ENSMSIG00000031891
mus_musculus ENSMUSG00000024258
mus_spretus MGP_SPRETEiJ_G0022977
mus_caroli MGP_CAROLIEiJ_G0022066
mus_pahari MGP_PahariEiJ_G0018800
rattus_norvegicus ENSRNOG00000016231
peromyscus_maniculatus ENSPEMG00000018244
microtus_ochrogaster ENSMOCG00000019367
meriones_unguiculatus ENSMUGG00000011248
meriones_unguiculatus ENSMUGG00000011390
meriones_unguiculatus ENSMUGG00000026856
nannospalax_galili ENSNGAG00000014862
jaculus_jaculus ENSJJAG00000000783
jaculus_jaculus ENSJJAG00000005723
jaculus_jaculus ENSJJAG00000015053
carlito_syrichta ENSTSYG00000036021
ochotona_princeps ENSOPRG00000005327
sorex_araneus ENSSARG00000009037
dasypus_novemcinctus ENSDNOG00000008527
choloepus_hoffmanni ENSCHOG00000013850
loxodonta_africana ENSLAFG00000001848
procavia_capensis ENSPCAG00000001396
vombatus_ursinus ENSVURG00010012250
sarcophilus_harrisii ENSSHAG00000014817
monodelphis_domestica ENSMODG00000018653
monodelphis_domestica ENSMODG00000014862
monodelphis_domestica ENSMODG00000037168
monodelphis_domestica ENSMODG00000042166
monodelphis_domestica ENSMODG00000046091
monodelphis_domestica ENSMODG00000040998
monodelphis_domestica ENSMODG00000040992
monodelphis_domestica ENSMODG00000040841
monodelphis_domestica ENSMODG00000041102
monodelphis_domestica ENSMODG00000046473
monodelphis_domestica ENSMODG00000049514
monodelphis_domestica ENSMODG00000042223
ornithorhynchus_anatinus ENSOANG00000013216
chelonoidis_abingdonii ENSCABG00000019142
gopherus_agassizii ENSGAGG00000021308
chrysemys_picta ENSCPBG00000019132
pelodiscus_sinensis ENSPSIG00000002873
crocodylus_porosus ENSCPRG00005008860
pogona_vitticeps ENSPVIG00000024005
anolis_carolinensis ENSACAG00000005255
notechis_scutatus ENSNSUG00000012004
salvator_merianae ENSSMRG00000021977
sphenodon_punctatus ENSSPUG00000014915
apteryx_owenii ENSAOWG00000011813
apteryx_rowi ENSARWG00000002459
apteryx_haastii ENSAHAG00000016658
dromaius_novaehollandiae ENSDNVG00000000374
nothoprocta_perdicaria ENSNPEG00000013380
meleagris_gallopavo ENSMGAG00000001248
gallus_gallus ENSGALG00000002057
numida_meleagris ENSNMEG00000017108
anser_brachyrhynchus ENSABRG00000006794
lepidothrix_coronata ENSLCOG00000006411
manacus_vitellinus ENSMVIG00005011433
taeniopygia_guttata ENSTGUG00000005773
lonchura_striata ENSLSDG00000001532
serinus_canaria ENSSCAG00000008758
junco_hyemalis ENSJHYG00000017536
zonotrichia_albicollis ENSZALG00000000352
ficedula_albicollis ENSFALG00000003528
cyanistes_caeruleus ENSCCEG00000003901
parus_major ENSPMJG00000016458
coturnix_japonica ENSCJPG00005015890
melopsittacus_undulatus ENSMUNG00000014175
calidris_pygmaea ENSCPGG00000007258
calidris_pugnax ENSCPUG00000018865
xenopus_tropicalis ENSXETG00000000733
latimeria_chalumnae ENSLACG00000017253
callorhinchus_milii ENSCMIG00000013621
astyanax_mexicanus ENSAMXG00000008954
astyanax_mexicanus ENSAMXG00005020040
pygocentrus_nattereri ENSPNAG00000018246
electrophorus_electricus ENSEEEG00000019452
ictalurus_punctatus ENSIPUG00000011192
denticeps_clupeoides ENSDCDG00000009415
esox_lucius ENSELUG00000005928
hucho_hucho ENSHHUG00000038648
tetraodon_nigroviridis ENSTNIG00000011210
takifugu_rubripes ENSTRUG00000004740
gasterosteus_aculeatus ENSGACG00000004639
larimichthys_crocea ENSLCRG00005004059
amphiprion_percula ENSAPEG00000018714
amphiprion_ocellaris ENSAOCG00000007295
acanthochromis_polyacanthus ENSAPOG00000023553
stegastes_partitus ENSSPAG00000013386
parambassis_ranga ENSPRNG00000001574
poecilia_mexicana ENSPMEG00000005160
poecilia_formosa ENSPFOG00000008969
poecilia_reticulata ENSPREG00000021862
poecilia_latipinna ENSPLAG00000017210
xiphophorus_couchianus ENSXCOG00000012668
xiphophorus_maculatus ENSXMAG00000014031
gambusia_affinis ENSGAFG00000016932
cyprinodon_variegatus ENSCVAG00000000779
kryptolebias_marmoratus ENSKMAG00000010677
oryzias_latipes ENSORLG00015003222
oryzias_latipes ENSORLG00000005266
oryzias_latipes ENSORLG00020006647
oryzias_melastigma ENSOMEG00000018915
oreochromis_niloticus ENSONIG00000017290
astatotilapia_calliptera ENSACLG00000009919
lates_calcarifer ENSLCAG00010005698
lates_calcarifer ENSLCAG00010022217
seriola_dumerili ENSSDUG00000006060
seriola_lalandi ENSSLDG00000024485
cottoperca_gobio ENSCGOG00000017267
monopterus_albus ENSMALG00000018266
anabas_testudineus ENSATEG00000020416
cynoglossus_semilaevis ENSCSEG00000006147
gouania_willdenowi ENSGWIG00000009322
betta_splendens ENSBSLG00000002753
gadus_morhua ENSGMOG00000001823
danio_rerio ENSDARG00000076509
scleropages_formosus ENSSFOG00015024204
paramormyrops_kingsleyae ENSPKIG00000012166
hippocampus_comes ENSHCOG00000006425
lepisosteus_oculatus ENSLOCG00000009106
eptatretus_burgeri ENSEBUG00000007675
erpetoichthys_calabaricus ENSECRG00000016479
petromyzon_marinus ENSPMAG00000005021
clupea_harengus ENSCHAG00000017440
ciona_savignyi ENSCSAVG00000008353
ciona_intestinalis ENSCING00000011474
drosophila_melanogaster FBgn0263757
caenorhabditis_elegans WBGene00018391
saccharomyces_cerevisiae YJL140W
