tursiops_truncatus ENSTTRG00000004375
vicugna_pacos ENSVPAG00000011396
pteropus_vampyrus ENSPVAG00000014540
ovis_aries ENSOARG00000008678
capra_hircus ENSCHIG00000017444
bos_mutus ENSBMUG00000021738
bos_taurus ENSBTAG00000039316
bison_bison_bison ENSBBBG00000017406
sus_scrofa ENSSSCG00000035148
bos_mutus ENSBMUG00000010924
ursus_americanus ENSUAMG00000007487
ursus_maritimus ENSUMAG00000001011
neovison_vison ENSNVIG00000002089
mustela_putorius_furo ENSMPUG00000002721
canis_lupus_dingo ENSCAFG00020009762
canis_lupus_familiaris ENSCAFG00000002456
vulpes_vulpes ENSVVUG00000007830
panthera_tigris_altaica ENSPTIG00000015223
panthera_pardus ENSPPRG00000006326
felis_catus ENSFCAG00000030399
equus_asinus_asinus ENSEASG00005016761
equus_caballus ENSECAG00000012298
pan_paniscus ENSPPAG00000029987
pan_troglodytes ENSPTRG00000005663
homo_sapiens ENSG00000090612
pongo_abelii ENSPPYG00000029728
nomascus_leucogenys ENSNLEG00000012485
papio_anubis ENSPANG00000016428
theropithecus_gelada ENSTGEG00000001621
macaca_fascicularis ENSMFAG00000039263
macaca_mulatta ENSMMUG00000009789
macaca_nemestrina ENSMNEG00000034776
mandrillus_leucophaeus ENSMLEG00000042674
cercocebus_atys ENSCATG00000036120
chlorocebus_sabaeus ENSCSAG00000001809
piliocolobus_tephrosceles ENSPTEG00000030739
colobus_angolensis_palliatus ENSCANG00000037816
rhinopithecus_bieti ENSRBIG00000040195
rhinopithecus_roxellana ENSRROG00000042860
cebus_capucinus ENSCCAG00000030840
saimiri_boliviensis_boliviensis ENSSBOG00000026961
callithrix_jacchus ENSCJAG00000013112
aotus_nancymaae ENSANAG00000021793
carlito_syrichta ENSTSYG00000036148
microcebus_murinus ENSMICG00000034406
propithecus_coquereli ENSPCOG00000019246
prolemur_simus ENSPSMG00000016346
otolemur_garnettii ENSOGAG00000029953
tupaia_belangeri ENSTBEG00000015959
procavia_capensis ENSPCAG00000011272
