pundamilia_nyererei ENSPNYG00000023584
haplochromis_burtoni ENSHBUG00000016599
oreochromis_niloticus ENSONIG00000019953
oreochromis_niloticus ENSONIG00000007918
astatotilapia_calliptera ENSACLG00000013723
maylandia_zebra ENSMZEG00005020502
poecilia_mexicana ENSPMEG00000016785
poecilia_reticulata ENSPREG00000009774
poecilia_mexicana ENSPMEG00000018423
poecilia_reticulata ENSPREG00000002538
fundulus_heteroclitus ENSFHEG00000019831
cyprinodon_variegatus ENSCVAG00000005240
poecilia_latipinna ENSPLAG00000009574
poecilia_formosa ENSPFOG00000000968
poecilia_reticulata ENSPREG00000009781
poecilia_formosa ENSPFOG00000023965
poecilia_mexicana ENSPMEG00000005967
poecilia_formosa ENSPFOG00000008300
poecilia_formosa ENSPFOG00000024269
cyprinodon_variegatus ENSCVAG00000014648
fundulus_heteroclitus ENSFHEG00000000958
seriola_lalandi ENSSLDG00000007041
