poecilia_formosa ENSPFOG00000018447
poecilia_mexicana ENSPMEG00000001633
poecilia_latipinna ENSPLAG00000017832
poecilia_reticulata ENSPREG00000007160
xiphophorus_maculatus ENSXMAG00000002057
xiphophorus_couchianus ENSXCOG00000015022
gambusia_affinis ENSGAFG00000017652
fundulus_heteroclitus ENSFHEG00000020527
cyprinodon_variegatus ENSCVAG00000013540
kryptolebias_marmoratus ENSKMAG00000008797
oryzias_latipes ENSORLG00000020079
oryzias_latipes_asm223469v1 ENSORLG00015021063
oryzias_latipes ENSORLG00020010914
oryzias_melastigma ENSOMEG00000002951
takifugu_rubripes ENSTRUG00000007066
tetraodon_nigroviridis ENSTNIG00000013048
neolamprologus_brichardi ENSNBRG00000013847
hippocampus_comes ENSHCOG00000009956
cynoglossus_semilaevis ENSCSEG00000004599
mastacembelus_armatus ENSMAMG00000015888
labrus_bergylta ENSLBEG00000016252
gasterosteus_aculeatus ENSGACG00000016665
mola_mola ENSMMOG00000003991
amphiprion_percula ENSAPEG00000019431
amphiprion_ocellaris ENSAOCG00000008821
acanthochromis_polyacanthus ENSAPOG00000002921
stegastes_partitus ENSSPAG00000006094
maylandia_zebra ENSMZEG00005002532
astatotilapia_calliptera ENSACLG00000013032
pundamilia_nyererei ENSPNYG00000001054
oreochromis_niloticus ENSONIG00000001338
haplochromis_burtoni ENSHBUG00000019528
amphilophus_citrinellus ENSACIG00000018789
anabas_testudineus ENSATEG00000005793
monopterus_albus ENSMALG00000006835
seriola_lalandi_dorsalis ENSSLDG00000020748
seriola_dumerili ENSSDUG00000008091
scophthalmus_maximus ENSSMAG00000008532
periophthalmus_magnuspinnatus ENSPMGG00000014166
gadus_morhua ENSGMOG00000012712
esox_lucius ENSELUG00000002896
astyanax_mexicanus ENSAMXG00000013073
pygocentrus_nattereri ENSPNAG00000004098
ictalurus_punctatus ENSIPUG00000016508
danio_rerio ENSDARG00000011094
paramormyrops_kingsleyae ENSPKIG00000013895
scleropages_formosus ENSSFOG00015024112
lepisosteus_oculatus ENSLOCG00000002979
pogona_vitticeps ENSPVIG00000001432
anolis_carolinensis ENSACAG00000012630
notechis_scutatus ENSNSUG00000008848
salvator_merianae ENSSMRG00000015421
sphenodon_punctatus ENSSPUG00000010191
chelonoidis_abingdonii ENSCABG00000002956
gopherus_agassizii ENSGAGG00000022757
chrysemys_picta_bellii ENSCPBG00000024712
pelodiscus_sinensis ENSPSIG00000016550
calidris_pygmaea ENSCPGG00000017128
calidris_pugnax ENSCPUG00000012495
melopsittacus_undulatus ENSMUNG00000002737
taeniopygia_guttata ENSTGUG00000001941
lonchura_striata_domestica ENSLSDG00000015271
serinus_canaria ENSSCAG00000002315
junco_hyemalis ENSJHYG00000006393
zonotrichia_albicollis ENSZALG00000017814
cyanistes_caeruleus ENSCCEG00000023755
parus_major ENSPMJG00000007469
lepidothrix_coronata ENSLCOG00000004211
anser_brachyrhynchus ENSABRG00000005221
anas_platyrhynchos_platyrhynchos ENSAPLG00000005183
gallus_gallus ENSGALG00000011881
coturnix_japonica ENSCJPG00005003625
meleagris_gallopavo ENSMGAG00000010647
manacus_vitellinus ENSMVIG00005006098
apteryx_haastii ENSAHAG00000008003
apteryx_owenii ENSAOWG00000001201
apteryx_rowi ENSARWG00000005105
dromaius_novaehollandiae ENSDNVG00000007254
nothoprocta_perdicaria ENSNPEG00000008595
crocodylus_porosus ENSCPRG00005004544
urocitellus_parryii ENSUPAG00010003078
spermophilus_dauricus ENSSDAG00000003538
marmota_marmota_marmota ENSMMMG00000013774
ictidomys_tridecemlineatus ENSSTOG00000008011
dipodomys_ordii ENSDORG00000007686
myotis_lucifugus ENSMLUG00000027806
myotis_lucifugus ENSMLUG00000023844
myotis_lucifugus ENSMLUG00000005161
pteropus_vampyrus ENSPVAG00000001285
erinaceus_europaeus ENSEEUG00000013721
capra_hircus ENSCHIG00000017736
ovis_aries ENSOARG00000014176
bos_mutus ENSBMUG00000000074
bos_mutus ENSBMUG00000013952
bos_taurus ENSBTAG00000004943
bison_bison_bison ENSBBBG00000002866
tursiops_truncatus ENSTTRG00000001586
vicugna_pacos ENSVPAG00000012111
sorex_araneus ENSSARG00000002740
equus_asinus_asinus ENSEASG00005018324
equus_caballus ENSECAG00000024357
ursus_maritimus ENSUMAG00000003859
ursus_americanus ENSUAMG00000011143
ailuropoda_melanoleuca ENSAMEG00000006109
mustela_putorius_furo ENSMPUG00000017407
neovison_vison ENSNVIG00000013266
canis_lupus_familiaris ENSCAFG00000004133
canis_lupus_dingo ENSCAFG00020017712
vulpes_vulpes ENSVVUG00000013326
panthera_tigris_altaica ENSPTIG00000009997
panthera_pardus ENSPPRG00000013431
felis_catus ENSFCAG00000023290
pan_paniscus ENSPPAG00000039546
pan_troglodytes ENSPTRG00000016410
homo_sapiens ENSG00000145386
gorilla_gorilla ENSGGOG00000002166
pongo_abelii ENSPPYG00000015038
nomascus_leucogenys ENSNLEG00000009333
papio_anubis ENSPANG00000008601
theropithecus_gelada ENSTGEG00000007235
macaca_fascicularis ENSMFAG00000037740
macaca_nemestrina ENSMNEG00000012584
macaca_mulatta ENSMMUG00000009817
mandrillus_leucophaeus ENSMLEG00000041387
cercocebus_atys ENSCATG00000029547
chlorocebus_sabaeus ENSCSAG00000003701
piliocolobus_tephrosceles ENSPTEG00000036639
colobus_angolensis_palliatus ENSCANG00000038629
rhinopithecus_bieti ENSRBIG00000041921
rhinopithecus_roxellana ENSRROG00000035964
cebus_capucinus ENSCCAG00000035284
saimiri_boliviensis_boliviensis ENSSBOG00000032488
callithrix_jacchus ENSCJAG00000003023
aotus_nancymaae ENSANAG00000029372
aotus_nancymaae ENSANAG00000019547
carlito_syrichta ENSTSYG00000002684
prolemur_simus ENSPSMG00000009970
microcebus_murinus ENSMICG00000007007
propithecus_coquereli ENSPCOG00000014188
otolemur_garnettii ENSOGAG00000016107
tupaia_belangeri ENSTBEG00000012951
mus_musculus ENSMUSG00000027715
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025874
mus_spicilegus ENSMSIG00000010165
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024940
mus_pahari MGP_PahariEiJ_G0026380
rattus_norvegicus ENSRNOG00000015423
meriones_unguiculatus ENSMUGG00000012313
cricetulus_griseus_crigri-picr ENSCGRG00015026532
cricetulus_griseus_chok1gshd ENSCGRG00001021415
cricetulus_griseus_crigri ENSCGRG00000003248
mesocricetus_auratus ENSMAUG00000018247
peromyscus_maniculatus_bairdii ENSPEMG00000009831
microtus_ochrogaster ENSMOCG00000000111
nannospalax_galili ENSNGAG00000022010
jaculus_jaculus ENSJJAG00000014491
castor_canadensis ENSCCNG00000029161
chinchilla_lanigera ENSCLAG00000003880
octodon_degus ENSODEG00000002082
cavia_porcellus ENSCPOG00000010373
cavia_aperea ENSCAPG00000015889
heterocephalus_glaber_male ENSHGLG00100010382
heterocephalus_glaber_female ENSHGLG00000002374
heterocephalus_glaber_male ENSHGLG00100006632
heterocephalus_glaber_male ENSHGLG00100006644
heterocephalus_glaber_female ENSHGLG00000001667
heterocephalus_glaber_male ENSHGLG00100018737
heterocephalus_glaber_female ENSHGLG00000002599
fukomys_damarensis ENSFDAG00000003127
oryctolagus_cuniculus ENSOCUG00000028042
oryctolagus_cuniculus ENSOCUG00000003051
oryctolagus_cuniculus ENSOCUG00000027327
ochotona_princeps ENSOPRG00000001183
dasypus_novemcinctus ENSDNOG00000010635
choloepus_hoffmanni ENSCHOG00000000782
loxodonta_africana ENSLAFG00000009517
procavia_capensis ENSPCAG00000011389
echinops_telfairi ENSETEG00000015197
phascolarctos_cinereus ENSPCIG00000025510
notamacropus_eugenii ENSMEUG00000008916
monodelphis_domestica ENSMODG00000024140
monodelphis_domestica ENSMODG00000013735
sarcophilus_harrisii ENSSHAG00000001634
phascolarctos_cinereus ENSPCIG00000011191
notamacropus_eugenii ENSMEUG00000000128
monodelphis_domestica ENSMODG00000018931
ornithorhynchus_anatinus ENSOANG00000030739
ornithorhynchus_anatinus ENSOANG00000015115
xenopus_tropicalis ENSXETG00000001016
latimeria_chalumnae ENSLACG00000001133
eptatretus_burgeri ENSEBUG00000001753
