danio_rerio ENSDARG00000037965
ictalurus_punctatus ENSIPUG00000007551
gambusia_affinis ENSGAFG00000005377
xiphophorus_maculatus ENSXMAG00000024957
poecilia_mexicana ENSPMEG00000007144
poecilia_formosa ENSPFOG00000004799
poecilia_latipinna ENSPLAG00000021014
poecilia_reticulata ENSPREG00000005305
cyprinodon_variegatus ENSCVAG00000003520
fundulus_heteroclitus ENSFHEG00000015944
oryzias_latipes_asm223469v1 ENSORLG00015008453
oryzias_latipes ENSORLG00020017264
oryzias_melastigma ENSOMEG00000015409
astatotilapia_calliptera ENSACLG00000018660
haplochromis_burtoni ENSHBUG00000019295
oreochromis_niloticus ENSONIG00000009442
amphiprion_ocellaris ENSAOCG00000016847
amphiprion_percula ENSAPEG00000006482
acanthochromis_polyacanthus ENSAPOG00000008228
stegastes_partitus ENSSPAG00000006319
mastacembelus_armatus ENSMAMG00000019210
monopterus_albus ENSMALG00000014782
anabas_testudineus ENSATEG00000019224
seriola_dumerili ENSSDUG00000005697
takifugu_rubripes ENSTRUG00000019812
tetraodon_nigroviridis ENSTNIG00000011301
mola_mola ENSMMOG00000020139
scophthalmus_maximus ENSSMAG00000011752
hippocampus_comes ENSHCOG00000006524
gasterosteus_aculeatus ENSGACG00000014910
gadus_morhua ENSGMOG00000014987
paramormyrops_kingsleyae ENSPKIG00000018936
caenorhabditis_elegans_strain_n2 WBGene00013260
