equus_asinus_asinus ENSEASG00005014046
felis_catus ENSFCAG00000036859
sus_scrofa ENSSSCG00000033143
papio_anubis ENSPANG00000032406
mandrillus_leucophaeus ENSMLEG00000028144
cercocebus_atys ENSCATG00000019588
macaca_fascicularis ENSMFAG00000013894
macaca_nemestrina ENSMNEG00000007927
theropithecus_gelada ENSTGEG00000025830
piliocolobus_tephrosceles ENSPTEG00000035275
rhinopithecus_bieti ENSRBIG00000039255
colobus_angolensis_palliatus ENSCANG00000004256
saimiri_boliviensis_boliviensis ENSSBOG00000022060
