heterocephalus_glaber ENSHGLG00100007784
cavia_aperea ENSCAPG00000007671
cricetulus_griseus ENSCGRG00001006888
cricetulus_griseus ENSCGRG00000019843
cricetulus_griseus ENSCGRG00015022908
peromyscus_maniculatus ENSPEMG00000030478
mus_musculus ENSMUSG00000056350
mus_spretus MGP_SPRETEiJ_G0021817
mus_spicilegus ENSMSIG00000012169
mus_caroli MGP_CAROLIEiJ_G0020911
mus_pahari MGP_PahariEiJ_G0016615
rattus_norvegicus ENSRNOG00000042531
meriones_unguiculatus ENSMUGG00000003615
peromyscus_maniculatus ENSPEMG00000022962
rattus_norvegicus ENSRNOG00000001570
ochotona_princeps ENSOPRG00000000947
oryctolagus_cuniculus ENSOCUG00000005599
ochotona_princeps ENSOPRG00000000943
homo_sapiens ENSG00000182816
pan_troglodytes ENSPTRG00000023953
gorilla_gorilla ENSGGOG00000024092
pongo_abelii ENSPPYG00000011331
pongo_abelii ENSPPYG00000011332
pan_troglodytes ENSPTRG00000013832
pan_paniscus ENSPPAG00000032574
homo_sapiens ENSG00000198390
gorilla_gorilla ENSGGOG00000009907
pongo_abelii ENSPPYG00000011333
macaca_mulatta ENSMMUG00000014971
macaca_mulatta ENSMMUG00000061111
theropithecus_gelada ENSTGEG00000027751
chlorocebus_sabaeus ENSCSAG00000018699
piliocolobus_tephrosceles ENSPTEG00000027095
rhinopithecus_roxellana ENSRROG00000012812
rhinopithecus_roxellana ENSRROG00000032843
piliocolobus_tephrosceles ENSPTEG00000027078
chlorocebus_sabaeus ENSCSAG00000019466
theropithecus_gelada ENSTGEG00000027762
piliocolobus_tephrosceles ENSPTEG00000027059
callithrix_jacchus ENSCJAG00000046623
callithrix_jacchus ENSCJAG00000022702
carlito_syrichta ENSTSYG00000005534
microcebus_murinus ENSMICG00000000669
propithecus_coquereli ENSPCOG00000008176
prolemur_simus ENSPSMG00000007133
prolemur_simus ENSPSMG00000007138
prolemur_simus ENSPSMG00000007128
propithecus_coquereli ENSPCOG00000023297
prolemur_simus ENSPSMG00000007143
microcebus_murinus ENSMICG00000000670
otolemur_garnettii ENSOGAG00000029888
otolemur_garnettii ENSOGAG00000026011
otolemur_garnettii ENSOGAG00000003655
equus_caballus ENSECAG00000038494
dasypus_novemcinctus ENSDNOG00000008617
equus_caballus ENSECAG00000038254
pteropus_vampyrus ENSPVAG00000005921
bos_indicus ENSBIXG00005028473
bos_mutus ENSBMUG00000006847
bos_taurus ENSBTAG00000037933
bos_indicus ENSBIXG00000007545
bison_bison ENSBBBG00000008108
ovis_aries ENSOARG00000000872
sus_scrofa ENSSSCG00000031696
sus_scrofa ENSSSCG00000037128
erinaceus_europaeus ENSEEUG00000014828
neovison_vison ENSNVIG00000004564
neovison_vison ENSNVIG00000004572
neovison_vison ENSNVIG00000004567
panthera_pardus ENSPPRG00000012034
panthera_tigris ENSPTIG00000005126
felis_catus ENSFCAG00000014479
panthera_pardus ENSPPRG00000012028
panthera_tigris ENSPTIG00000005146
tupaia_belangeri ENSTBEG00000017203
tupaia_belangeri ENSTBEG00000017221
urocitellus_parryii ENSUPAG00010006997
spermophilus_dauricus ENSSDAG00000012817
marmota_marmota ENSMMMG00000018322
marmota_marmota ENSMMMG00000018332
macaca_mulatta ENSMMUG00000054122
theropithecus_gelada ENSTGEG00000027729
piliocolobus_tephrosceles ENSPTEG00000027120
callithrix_jacchus ENSCJAG00000058029
cebus_capucinus ENSCCAG00000019354
theropithecus_gelada ENSTGEG00000027735
pongo_abelii ENSPPYG00000011335
homo_sapiens ENSG00000186971
pongo_abelii ENSPPYG00000011334
nomascus_leucogenys ENSNLEG00000018503
macaca_mulatta ENSMMUG00000053840
theropithecus_gelada ENSTGEG00000027718
chlorocebus_sabaeus ENSCSAG00000018698
piliocolobus_tephrosceles ENSPTEG00000027143
callithrix_jacchus ENSCJAG00000008784
choloepus_hoffmanni ENSCHOG00000005930
choloepus_hoffmanni ENSCHOG00000009314
echinops_telfairi ENSETEG00000018558
