stegastes_partitus ENSSPAG00000020996
acanthochromis_polyacanthus ENSAPOG00000001286
astatotilapia_calliptera ENSACLG00000002811
maylandia_zebra ENSMZEG00005002659
astatotilapia_calliptera ENSACLG00000017907
maylandia_zebra ENSMZEG00005015366
pundamilia_nyererei ENSPNYG00000003002
maylandia_zebra ENSMZEG00005014393
maylandia_zebra ENSMZEG00005000142
maylandia_zebra ENSMZEG00005025723
maylandia_zebra ENSMZEG00005021581
pundamilia_nyererei ENSPNYG00000014826
mola_mola ENSMMOG00000007991
mola_mola ENSMMOG00000001675
mola_mola ENSMMOG00000001775
