takifugu_rubripes ENSTRUG00000009693
tetraodon_nigroviridis ENSTNIG00000015449
oryzias_latipes_asm223469v1 ENSORLG00015011538
oryzias_latipes ENSORLG00020015775
oryzias_latipes ENSORLG00000016794
oryzias_melastigma ENSOMEG00000008094
labrus_bergylta ENSLBEG00000018989
gasterosteus_aculeatus ENSGACG00000011570
mastacembelus_armatus ENSMAMG00000002551
anabas_testudineus ENSATEG00000004400
xiphophorus_maculatus ENSXMAG00000013288
gambusia_affinis ENSGAFG00000016415
poecilia_formosa ENSPFOG00000018563
poecilia_mexicana ENSPMEG00000007706
poecilia_latipinna ENSPLAG00000006060
poecilia_reticulata ENSPREG00000011302
fundulus_heteroclitus ENSFHEG00000022429
cyprinodon_variegatus ENSCVAG00000019157
kryptolebias_marmoratus ENSKMAG00000000665
maylandia_zebra ENSMZEG00005008390
haplochromis_burtoni ENSHBUG00000008101
pundamilia_nyererei ENSPNYG00000022457
astatotilapia_calliptera ENSACLG00000000216
oreochromis_niloticus ENSONIG00000002195
neolamprologus_brichardi ENSNBRG00000001409
amphilophus_citrinellus ENSACIG00000013379
amphiprion_percula ENSAPEG00000023914
amphiprion_ocellaris ENSAOCG00000007692
acanthochromis_polyacanthus ENSAPOG00000001660
stegastes_partitus ENSSPAG00000002676
mola_mola ENSMMOG00000020440
scophthalmus_maximus ENSSMAG00000008611
cynoglossus_semilaevis ENSCSEG00000000281
seriola_lalandi_dorsalis ENSSLDG00000003318
seriola_dumerili ENSSDUG00000008836
monopterus_albus ENSMALG00000019469
periophthalmus_magnuspinnatus ENSPMGG00000015945
hippocampus_comes ENSHCOG00000019544
gadus_morhua ENSGMOG00000014969
esox_lucius ENSELUG00000017550
pygocentrus_nattereri ENSPNAG00000009816
pygocentrus_nattereri ENSPNAG00000010120
astyanax_mexicanus ENSAMXG00000017810
danio_rerio ENSDARG00000056530
scleropages_formosus ENSSFOG00015003170
paramormyrops_kingsleyae ENSPKIG00000017483
lepisosteus_oculatus ENSLOCG00000005716
anolis_carolinensis ENSACAG00000001905
pogona_vitticeps ENSPVIG00000017102
notechis_scutatus ENSNSUG00000016103
salvator_merianae ENSSMRG00000006096
propithecus_coquereli ENSPCOG00000016554
microcebus_murinus ENSMICG00000000327
carlito_syrichta ENSTSYG00000035600
urocitellus_parryii ENSUPAG00010021611
ictidomys_tridecemlineatus ENSSTOG00000023702
spermophilus_dauricus ENSSDAG00000008308
marmota_marmota_marmota ENSMMMG00000023266
castor_canadensis ENSCCNG00000019847
pan_paniscus ENSPPAG00000037601
pan_troglodytes ENSPTRG00000050719
pan_troglodytes ENSPTRG00000046649
pan_paniscus ENSPPAG00000035236
gorilla_gorilla ENSGGOG00000041886
homo_sapiens ENSG00000160111
pongo_abelii ENSPPYG00000009699
nomascus_leucogenys ENSNLEG00000032239
macaca_fascicularis ENSMFAG00000039543
macaca_mulatta ENSMMUG00000017254
macaca_nemestrina ENSMNEG00000040985
mandrillus_leucophaeus ENSMLEG00000039413
papio_anubis ENSPANG00000017790
cercocebus_atys ENSCATG00000030894
theropithecus_gelada ENSTGEG00000011374
chlorocebus_sabaeus ENSCSAG00000005682
rhinopithecus_roxellana ENSRROG00000030302
